"gene","p-adj-G2-G1","p-adj-G3-G1","p-adj-G3-G2","p-adj-GX-G1","p-adj-GX-G2","p-adj-GX-G3","mean-G1","mean-G2","mean-G3","mean-GX","SEM-G1","SEM-G2","SEM-G3","SEM-GX","Q1-G1","Q1-G2","Q1-G3","Q1-GX","Q3-G1","Q3-G2","Q3-G3","Q3-GX","count-G1","count-G2","count-G3","count-GX"
"ZIK1",0.996677029729027,0.347004144819275,0.149190150247622,0.962321441908637,0.975597687026283,0.441956810272093,18.1950722222222,20.2044416666667,35.1329928571429,23.175075,4.43276844649579,2.6331700272391,8.43372774699919,5.98405165009434,7.7754,7.49215,8.2528,7.51225,16.551675,23.7278,29.966725,23.49225,18,72,42,40
"ZNF540",0.222400055367306,0.415539676269718,0.982083486985921,0.983109541166121,0.176907926885623,0.443495125316736,14.1258777777778,27.3818236111111,25.4814833333333,16.8477975,3.56131980632351,3.96467334243224,3.93572805656849,1.6141933986554,4.258675,8.25045,9.199325,8.696525,18.77735,38.481875,30.012825,24.401875,18,72,42,40
"ZNF570",0.334221579502007,0.958793283248372,0.403230921193617,0.997134707743312,0.0572413432286983,0.806850742140077,27.9032944444444,41.5711402777778,32.2426333333333,26.1524875,6.49412097133186,4.44400112625714,4.02241657087041,3.32430441988493,5.909825,13.31935,9.73265,8.7002,44.6836,67.731575,48.5301,37.93835,18,72,42,40
"ZNF57",0.879213416417542,0.968722728030573,0.985192542688444,0.809888687291228,0.107970623154756,0.314988018725885,176.054383333333,159.6278,165.328919047619,197.2332725,31.8059033546506,7.38575076397324,13.9311344975276,12.8474655639317,89.068775,116.16755,106.7907,129.513725,186.49835,210.66485,189.878,261.451925,18,72,42,40
"ZNF556",0.941895090689597,0.971113839319651,0.999251396640813,0.966932678600959,0.999736028411766,0.999988391424583,18.6360388888889,22.9040041666667,22.1944285714286,22.3953775,5.05298848549888,3.12455138543515,5.52374858135862,4.16721183563975,2.171825,1.99905,2.769425,1.12885,24.89735,33.6202,23.502575,32.657875,18,72,42,40
"ZNF554",0.905621254608951,0.771961508419439,0.964569170099558,0.820694606360637,0.985695697667304,0.999546061995346,85.6402277777778,94.4256138888889,98.9625761904762,97.78665,14.4022496255159,5.74635800285681,8.23562157204837,6.10237152635487,46.9506,60.955325,64.38035,69.25865,90.4754,116.75835,122.9488,119.6877,18,72,42,40
"ZNF738",0.13008330117239,0.128345670063803,0.996509716975674,0.629842541756126,0.62460257785922,0.587191746860248,72.8868388888889,179.456818055556,187.139626190476,135.588925,13.8496029757802,28.7699622656176,24.7076623064597,15.712982963083,31.50675,67.1773,75.803975,62.403425,97.504325,216.3578,250.721575,172.9919,18,72,42,40
"ZNF596",0.578308422262718,0.943215614750742,0.794586084831292,0.999997628135246,0.309124746124791,0.880638167625027,46.4003388888889,61.2491402777778,53.3785071428571,46.16587,9.02128355081789,6.49155421434289,5.81232672126804,4.24953452906557,19.977975,29.867725,24.538,27.89165,68.9781,78.747525,63.787925,59.2268,18,72,42,40
"ZNF621",0.802456852136235,0.026281643648897,0.0227886641087897,0.0404560715837724,0.0441632801720977,0.998055634041526,520.431744444444,586.491591666667,741.706123809524,730.92862,67.1942316451609,23.7725211509392,60.9448597336883,37.8723998014898,358.12305,460.3634,494.00415,527.071775,567.25155,736.462475,875.812475,860.66755,18,72,42,40
"ZNF680",0.069222408713275,0.00380488976620785,0.341278766447017,0.342957417283348,0.809527635531178,0.110355430072639,181.3937,295.513913888889,352.572938095238,264.6460925,21.2978907310305,18.4910840175842,38.2759478248427,22.2906032010523,122.6066,205.66275,180.582375,139.569875,230.6185,355.56855,432.3483,358.616,18,72,42,40
"ZNF483",0.468033575625242,0.0823410134395933,0.440198247892989,0.856513485704848,0.855405713767398,0.181257792284565,16.8098777777778,37.6168388888889,53.4309214285714,29.07153,2.76881443817437,5.4015589079573,13.5104585717702,4.38262918902013,4.495625,9.63445,12.551425,9.440975,26.6092,45.689575,59.776625,32.496275,18,72,42,40
