"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZIM3",0.480389874037343,0.0680307692307692,0.60891835443038,0.0331456699895062,0.309532250816623,0,0,0,0,26,158
"ZFP14",0.570430843202959,141.414023076923,153.76393164557,20.9642099364859,8.11172627960286,78.56365,80.88035,188.703425,196.7218,26,158
"ZNF473",0.64584072216411,348.482311538462,333.930948734177,27.2941143893147,12.0071334158116,242.13605,227.5307,418.4173,408.53565,26,158
"ZNF614",0.64844201528806,269.239676923077,248.860633544304,39.1782345852943,16.9104282518758,117.088075,112.1982,337.1238,323.47755,26,158
"POGK",0.404554314241575,1894.89377692308,2018.37730379747,136.432642182585,55.5940521782367,1404.388,1577.408,2245.75635,2352.21565,26,158
"ZNF514",0.644655939693612,277.002296153846,263.567284177215,28.6005560931911,10.8216097924887,170.8987,166.314475,422.1514,317.8525,26,158
"ZNF300",0.362475993385043,93.6481730769231,117.078857594937,12.3701627391665,10.1924254812384,48.134425,40.72945,142.64545,147.995125,26,158
"RBAK",0.856629525157319,818.705980769231,830.094794303797,57.1586773483015,23.7375261644657,598.762475,639.59955,1041.875675,964.611625,26,158
"ZNF92",0.536991446779328,306.753242307692,340.868870253165,28.5007904901489,21.8407993387662,160.748525,216.064625,416.5179,393.3483,26,158
"ZNF157",0.601250979580091,1.76117692307692,2.16313734177215,0.492117945003109,0.300369181469334,0.30205,0.2483,2.126625,2.110075,26,158
"ZNF182",0.939574437880003,184.343846153846,185.999858227848,25.0255189701677,7.8452277819858,110.60905,117.34025,212.846275,230.9168,26,158
"ZNF673",0.504321123007904,165.134738461538,176.465748734177,15.768953771766,6.36161549734566,123.87565,123.5988,198.51365,208.59005,26,158
"ZNF41",0.826551077155303,301.336669230769,294.282392405063,44.7126042347393,10.8114585147003,201.468025,200.206275,323.196475,354.844075,26,158
"ZNF7",0.312024491240914,467.261734615385,506.482411392405,26.6042739117718,15.0537663765692,371.31285,373.21165,585.96485,595.476075,26,158
"ZNF214",0.102867719272758,36.8908730769231,27.5970525316456,7.7538846536659,1.92074667070156,14.6317,8.826475,58.95925,39.931825,26,158
"ZNF215",0.00686182240454847,97.3314807692308,61.1259,14.3492720831932,4.82878351557798,34.5781,10.103775,152.145925,96.357825,26,158
