"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","count-NO","count-YES"
"ZNF621",0.003574750767524,594.621901369863,792.043196774194,28.9787523891746,75.5612129399628,427.0087,591.23045,763.2584,872.6562,73,31
"ZNF680",0.0326112179203782,267.344983561644,357.854264516129,17.1779723913204,49.9798685342709,143.3317,173.5804,357.4476,452.7712,73,31
"ZNF483",0.41173017362011,25.4050684931507,30.7993838709677,3.2023402144112,6.65311471028387,7.1336,8.87725,35.7586,34.29845,73,31
"ZNF417",0.00144239681410119,218.552767123288,331.170464516129,15.4202298378257,38.4396352188701,126.3441,191.4833,261.2202,420.0638,73,31
"ZNF791",0.707396682403781,349.25455890411,338.578729032258,16.024176520422,21.6476322485568,252.7941,246.12605,435.7777,411.56425,73,31
"ZNF519",0.479349678735069,68.5389876712329,77.075735483871,6.32504881796453,10.9066153840464,36.1366,37.2523,94.7292,118.7983,73,31
"ZNF25",0.876797581654992,178.909982191781,175.582596774194,10.287635100449,22.2647825737841,110.6315,95.34835,252.1212,208.70905,73,31
"ZNF77",0.0967384029102872,85.1576109589041,101.127487096774,5.53429158860945,6.5954724004544,59.0482,73.83855,98.8659,126.3334,73,31
"ZNF169",0.0247195373614255,103.915115068493,129.603719354839,6.55243706402443,7.77430236347408,64.5161,97.02705,138.5798,151.3078,73,31
"ZNF613",0.0175178933791184,72.865398630137,105.345048387097,5.73166581619255,15.6852640890672,39.6989,43.7691,86.0039,137.01135,73,31
"ZNF404",0.0685615282869774,32.4066095890411,45.8979193548387,3.62191907965839,7.35233499566659,14.8771,19.93715,35.8171,57.81165,73,31
"ZNF135",0.213164905443335,28.5971863013699,19.7581129032258,4.45277481671728,2.59928832021937,7.2806,7.6666,36.2443,30.7064,73,31
"ZNF620",6.28356875420621e-08,50.5666931506849,107.549841935484,5.1238328003157,8.88334762198989,17.9076,82.92905,68.2419,123.52315,73,31
"ZNF619",0.000359223829533017,68.5091780821918,99.8784935483871,4.31629955184845,8.18403300494445,41.0946,70.07975,81.7025,125.0358,73,31
"ZNF354C",0.19452823589729,40.2304602739726,24.5842032258065,7.32706620319378,6.25942679463953,6.7568,4.6706,44.2557,26.0146,73,31
"ZNF114",0.671090090490971,46.0566054794521,55.2561870967742,6.89277853962233,29.0701528415672,3.6265,3.6494,57.381,24.04595,73,31
"ZNF454",0.692116567953032,7.76855342465753,8.63885483870968,1.23187064796375,1.69893116371111,1.9185,1.92765,7.9681,13.4081,73,31
"ZNF543",0.225228793529837,208.555295890411,183.761141935484,12.243532044325,11.7598838012837,134.1795,143.11575,259.6628,229.539,73,31
"ZNF354B",0.660425208661684,131.201120547945,121.071222580645,14.1382725054215,11.4771150680304,70.8123,66.0792,146.7263,156.0877,73,31
"ZNF223",0.0560410140211955,60.0108726027397,76.5832612903226,4.01720409552701,9.17929436346811,34.9629,43.57445,80.1389,90.10725,73,31
"ZNF713",0.471285867381594,76.822201369863,88.2948483870968,8.3408167958786,14.4087782159714,31.1346,42.85935,90.8321,100.06775,73,31
"ZNF552",0.00124580715043565,177.750553424658,251.836993548387,12.047230442842,19.1710155274845,117.0128,181.97955,219.1458,314.67865,73,31
"ZNF154",0.0540616064375685,57.8024534246575,78.8128225806452,6.20504750525059,7.73198139843163,26.0138,48.0948,73.0237,109.7673,73,31
"ZNF571",0.440729613370165,57.1779945205479,64.7882193548387,4.61691077303224,10.5003628717271,32.3077,20.9748,71.3359,77.96045,73,31
"ZNF443",0.00378247741533855,53.7880082191781,76.7131322580645,4.49361586178596,5.35419360147874,27.8222,58.54505,73.7383,93.21285,73,31
"ZNF792",0.00192595339830126,140.499378082192,213.52704516129,12.7592956967818,18.3108241396538,62.8524,141.15415,212.6639,268.3912,73,31
"ZFP82",0.542619442524759,38.5787082191781,31.6897451612903,6.35453969011365,8.6754236102812,8.0193,8.06225,47.8119,37.3179,73,31
"ZNF707",0.621687942233425,200.247368493151,208.76285483871,8.60895130269048,16.956129381469,152.8698,140.8663,241.6854,272.55855,73,31
"ZNF746",0.0983487168457751,660.665826027397,557.348083870968,37.6780688551096,33.6348409877228,443.5798,454.55215,739.8297,686.1627,73,31
"ZNF678",0.104702471033138,70.8516739726027,85.2950580645161,4.73152933140784,7.69733572138958,39.2661,52.91875,91.5684,115.18415,73,31
"HKR1",0.0400230616489926,435.881957534247,559.022225806452,25.1260817316159,69.2514702226946,294.5928,376.985,542.5101,653.9849,73,31
"ZNF101",0.58169787418337,155.129501369863,166.536161290323,12.1407881437809,13.5485808756193,96.95,126.1365,170.7157,201.68195,73,31
"ZNF716",0.643939127273908,5.61068630136986,7.70117741935484,2.5489595373742,3.43682575892946,0,0,0.5253,1.2054,73,31
"ZNF708",0.00166375862362933,135.402526027397,213.283793548387,11.357706348344,25.6519798102892,65.6733,121.7067,165.9089,248.6254,73,31
"ZNF721",0.0143659459288176,491.411954794521,655.223593548387,31.0729689436766,69.7640805143209,310.3974,425.2638,590.2529,731.7582,73,31
"ZNF662",0.802385746353085,58.015004109589,62.5134709677419,9.16323241075454,17.1043499680085,14.4615,8.6394,70.5978,67.0187,73,31
"ZNF320",0.000936684175031677,320.13085890411,521.229332258064,31.3327220757541,52.5288596072058,103.4908,323.5215,486.8114,633.81225,73,31
"ZNF530",0.066565896015533,63.7940767123288,80.8711935483871,4.22286557568061,10.0796961015302,38.1509,44.14245,78.6048,112.5165,73,31
"ZFP1",0.0998341316286357,246.49592739726,210.697629032258,12.2819083729515,16.0111647732753,178.5697,137.48745,275.167,251.1305,73,31
"KRBA2",0.435379885813574,69.337804109589,61.6617225806452,5.81871760035266,6.16055897754767,38.6381,40.35245,87.4791,76.24695,73,31
"ZNF93",0.961225317336969,72.171797260274,72.9931129032258,8.81296296869316,15.4544628047024,24.8528,14.5682,100.3106,96.8721,73,31
"ZFP90",0.111875357934796,510.843904109589,425.503341935484,31.6508484934484,33.1164202818234,337.2503,293.4066,653.211,565.37635,73,31
"ZNF479",0.0567149143103923,0.401741095890411,3.39681935483871,0.201429172959911,2.35239213470637,0,0,0,0.4818,73,31
"ZNF445",0.00248798997748045,563.366504109589,726.513274193548,28.358679739406,45.356989739287,378.18,546.84945,670.0405,911.77185,73,31
"ZNF74",0.179038816481223,401.488138356164,336.57945483871,24.8025054144317,44.8968613123638,269.4899,205.2683,430.431,362.5457,73,31
