"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma, NOS","mean-Esophagus Adenocarcinoma, NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma, NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma, NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma, NOS","Q3-Esophagus Squamous Cell Carcinoma","count-Esophagus Adenocarcinoma, NOS","count-Esophagus Squamous Cell Carcinoma"
"ZNF264",0.0344977212289598,1261.43537159091,1084.96361041667,59.8607363125186,57.2713369170071,919.135,666.045425,1448.316575,1470.765825,88,96
"ZNF213",2.49447191125185e-05,635.667485227273,808.897892708333,24.9323094568709,30.7742796918465,467.0236,607.45075,785.41935,952.974125,88,96
"ZNF343",0.831689817687427,300.874125,303.963389583333,10.6403164362408,9.89867398575629,223.21095,222.72725,365.639725,359.1627,88,96
"ZNF302",0.0245853880845464,444.330731818182,363.747572916667,29.8572484141038,20.2401410549257,280.941275,227.15,502.040875,451.280975,88,96
"ZNF268",0.587158594162077,366.069429545455,382.856972916667,22.9387372835463,20.762185969165,218.37395,263.797575,473.53305,471.310675,88,96
"ZNF184",0.812667342277241,227.203365909091,230.784590625,10.925370250005,10.412656396123,163.48365,173.9994,258.06805,272.99855,88,96
"ZNF500",0.000153426208241325,224.323317045455,269.017429166667,8.57945997261733,7.78612889382274,164.03895,216.98645,270.2659,312.126,88,96
"ZNF419",0.0782417820408816,88.4302977272727,75.775053125,5.37143111866402,4.75054365015527,58.1575,44.830325,113.027325,97.76995,88,96
"ZNF175",0.209873006812776,153.677613636364,136.020464583333,11.3132925498112,8.54154535469575,86.652875,83.944375,193.1866,186.10965,88,96
"ZNF14",0.302670880812723,164.075388636364,148.443782291667,9.91621562723851,11.269244471957,101.406675,92.384525,202.2485,179.7464,88,96
"ZNF85",0.516786436384673,50.9803693181818,57.3936375,6.12090684884837,7.60668190360156,12.887275,14.68565,65.548,79.893175,88,96
"ZKSCAN1",3.59742170898958e-05,2511.82147045455,1553.59409895833,219.13668743891,80.9673436667534,1436.54055,980.75395,2759.8633,1995.7075,88,96
"ZNF862",0.769273118139822,407.775897727273,395.387510416667,29.3132751018642,30.1352632979212,195.08895,189.6367,537.982375,499.928625,88,96
"ZNF684",0.0267681398352854,64.1309659090909,54.0229020833333,2.60239632410375,3.61793531552158,45.182925,31.56365,78.113225,67.619475,88,96
"ZNF430",0.430988540879605,170.210829545455,180.783257291667,8.61220309138614,10.1066747742033,125.2856,107.6036,200.905,235.374825,88,96
"ZFP30",5.56736486245768e-06,87.8116909090909,156.730798958333,9.50327121911894,11.0825932076097,22.967175,82.82835,132.28735,216.403925,88,96
"ZNF549",0.0617836104152147,137.720345454545,108.759470833333,13.152567711845,8.50534992162839,46.084075,47.69905,188.437475,161.552975,88,96
"ZNF211",2.70196482110574e-06,243.300179545455,165.503142708333,12.9054344419735,9.82053663223221,168.146825,96.028875,298.08245,214.656975,88,96
"ZNF205",6.05404426192724e-05,237.477677272727,290.885541666667,8.10827792307422,9.9883510411498,177.565525,219.86155,282.653475,360.44515,88,96
"ZNF45",0.000549947404794304,260.2657125,201.837757291667,14.8704692909144,8.19518861267764,190.1635,149.514825,291.838325,246.66155,88,96
"ZNF133",0.00234365283836291,295.417179545455,361.068105208333,11.7931912479529,17.2581664659306,217.4229,256.1087,378.6583,404.07,88,96
"ZNF436",3.39728245535298e-14,461.410857954545,973.614402083333,22.00629042361,42.2471052008313,337.7593,666.7702,543.43045,1232.97995,88,96
"ZNF484",0.00950585551963112,152.667663636364,182.524565625,5.83981466220132,9.5004310035618,119.33445,110.242525,178.57395,238.7317,88,96
"ZNF780B",3.94556343152885e-09,445.443278409091,273.9123625,23.4690185522807,15.550927122984,311.74085,172.811625,563.505825,346.202875,88,96
"ZNF557",0.848741029593311,190.780185227273,192.8013625,6.59637013199749,8.12883504048597,144.373425,143.8597,214.849425,233.878,88,96
"ZNF337",0.0496415019537354,399.480146590909,457.749622916667,19.2178698166837,22.0575538519503,271.887375,355.748425,493.632925,534.9508,88,96
"ZNF317",0.148759507516405,955.950542045455,905.174628125,26.9278641061935,22.6875914385244,749.781425,731.736,1076.819575,1029.629375,88,96
"ZNF426",0.588164740038831,211.533860227273,227.886740625,20.6480898801425,21.7887489555555,117.415375,110.01495,223.974575,281.514725,88,96
"ZNF331",0.446269315686638,259.094760227273,290.458598958333,34.6908872956477,23.1661491454204,43.820625,122.973975,317.23165,382.22385,88,96
"ZNF227",0.00286844589740021,284.231114772727,231.987504166667,14.7734873835708,9.51438773789994,197.3743,169.597175,309.676025,274.2968,88,96
"ZNF141",0.009005247457743,59.9007227272727,82.272540625,6.18500500060739,5.80289769766946,12.341575,50.319725,87.3952,94.92765,88,96
"ZNF304",0.495539810376516,310.183057954545,295.8153375,12.8031395823024,16.3698999660383,240.850025,177.855625,362.48345,378.327825,88,96
"ZNF132",0.238072084610746,50.8077886363636,58.0013354166667,3.65920793086991,4.75373008245155,30.005225,28.5357,63.42745,67.23125,88,96
"ZNF20",9.21297294926848e-05,109.692094318182,87.7205666666667,4.10972663705478,3.67017006908658,86.278175,65.346075,126.320925,107.267,88,96
"ZNF670",0.0424454089368805,98.6783772727273,84.5820885416667,4.72277349755001,4.98748583772928,66.0803,54.68755,128.696275,104.88745,88,96
"ZFP37",0.00250360500739333,49.4071045454545,71.6141666666667,4.82785382943828,5.33994769055147,18.7596,36.985425,59.73575,94.9338,88,96
"ZNF189",3.45268258428177e-12,602.511602272727,384.363579166667,24.6168984584976,16.5741108196452,432.64835,274.44905,764.3135,465.258075,88,96
"ZNF434",0.426424075650067,344.821698863636,355.629061458333,9.47723159272437,9.64507385823112,287.43005,287.255075,395.90715,429.526675,88,96
"ZNF287",2.39364084109184e-12,34.7459670454545,81.4115854166667,3.63457593628278,4.91479912915725,9.92,50.434425,48.6697,97.8064,88,96
"ZIM3",0.07958685311172,0.0453431818181818,0.979038541666667,0.0173988548004885,0.506706121570261,0,0,0,0,88,96
"ZFP14",0.430195678783475,158.262960227273,146.295055208333,10.7876797156659,10.5951233383245,81.7415,74.626725,210.7816,181.282,88,96
"ZNF473",4.56447476482325e-08,396.484229545455,280.531435416667,15.270051827414,13.5026885220722,282.651675,200.2201,484.5036,317.97345,88,96
"ZNF614",0.0134536915819025,291.608244318182,215.194647916667,25.7775268801729,17.3496468292442,121.076575,100.226575,400.155275,298.5039,88,96
"POGK",0.0792283502092129,1906.63461363636,2087.36464791667,59.9986230370683,81.1426800464307,1482.830675,1633.278675,2293.7855,2363.605975,88,96
"ZNF514",0.00982082273812834,292.590088636364,240.601695833333,15.1882343628996,13.0387760661323,190.39505,143.08625,368.589175,288.42095,88,96
"ZNF300",0.544900499683099,108.097064772727,118.966357291667,10.3340998003125,14.302760937804,30.0472,54.683125,154.52275,147.769775,88,96
"RBAK",0.00359835917639673,762.483286363636,888.987539583333,27.2480856608433,32.5874994419036,606.5425,655.10065,905.685825,1063.612725,88,96
"ZNF92",0.0812609336551119,370.971296590909,304.035330208333,17.7323221961996,32.7368584510101,254.868275,189.148675,447.826775,366.1528,88,96
"ZNF157",0.0425465002892396,1.54178295454545,2.62384791666667,0.377961450760216,0.370456051933867,0,0.37215,1.293725,2.95355,88,96
"ZNF182",5.26514407628298e-08,227.313529545455,147.680489583333,12.6659437423812,6.7417457436287,158.18605,103.103225,273.43325,183.039625,88,96
"ZNF673",0.228762959081485,182.285244318182,168.062395833333,9.0698997083383,7.61825009280835,125.07015,116.16005,217.6222,185.705925,88,96
"ZNF41",0.000131301434357134,339.183053409091,255.033986458333,16.7659256201915,13.7447377319295,239.8479,188.86645,400.791575,290.227025,88,96
"ZNF7",0.00232614250516971,458.4443625,539.895022916667,18.8074256439092,18.4461262448772,338.402125,424.7674,563.942125,637.586725,88,96
"ZNF214",0.000106441695130299,36.8095636363636,21.6693270833333,2.79085225555865,2.61507490447109,20.605225,6.091775,49.575225,24.268475,88,96
"ZNF215",0.00697272955499362,79.3889090909091,54.1904864583333,7.42263892737393,5.64426672183501,14.2334,10.418525,137.159375,76.75505,88,96
"ZNF547",1.05999173216631e-07,56.8291840909091,34.0851010416667,3.23513318510708,2.58287467253759,37.03305,16.7795,71.7041,44.664175,88,96
"ZNF773",0.0483097142429872,78.8768181818182,65.1469552083333,5.56924067572101,4.20299263028473,39.93135,37.504875,107.2873,80.258525,88,96
"ZNF776",1.62662154035154e-06,461.9541625,343.641584375,17.9915943536528,15.8139029157227,347.632775,229.05555,544.066825,449.869425,88,96
"ZNF256",5.20860021779868e-08,44.0028113636364,100.430058333333,6.08441454880905,7.70027011994941,8.470425,48.84665,49.0973,141.2174,88,96
"ZNF599",3.44404141205956e-07,55.2193397727273,88.2524895833333,4.06019436877309,4.67486025702427,28.249675,59.123425,71.394725,107.819425,88,96
"ZNF18",1.47992729182533e-13,138.790739772727,214.274497916667,5.32400365173523,7.54831245896706,97.975925,169.4446,169.95985,245.637,88,96
"ZKSCAN2",0.139048655156971,150.388873863636,168.88980625,9.54147591652522,8.10105828090031,91.6568,111.330075,170.326775,198.851875,88,96
"ZNF689",0.0682698241178998,202.506664772727,178.180389583333,11.2735334988679,7.3816618074768,141.9064,130.527475,225.764025,217.416525,88,96
"ZNF19",0.00162819029892447,51.4885852272727,41.00381875,2.64470308145811,1.99304695657381,31.440425,26.924575,69.10955,52.269675,88,96
"ZNF230",0.000151072907331629,87.4814579545454,66.0643822916667,4.59899173782741,3.20856155539602,64.898,45.4961,101.954125,78.671225,88,96
"ZNF222",2.20634441935319e-05,34.7289465909091,24.0348135416667,2.1075607435389,1.33901456295441,24.1585,15.875425,39.358625,29.837175,88,96
"ZNF221",0.171841477896285,34.9878443181818,28.908990625,3.72843125049677,2.51483389451692,12.693025,10.435625,41.3168,41.173175,88,96
"ZNF233",3.74672521896713e-08,42.9133863636364,17.7613416666667,4.29027548665744,1.4468337124204,19.26505,9.2932,45.88225,22.56545,88,96
"ZNF235",0.000163696560138371,98.3025545454545,71.4642010416667,5.90213023349158,3.91053001253562,63.15305,46.98875,114.617275,82.97785,88,96
"ZNF208",0.84769152290815,38.6733306818182,35.444103125,13.7933734490808,9.92755177733402,3.613425,3.328575,22.66565,22.3842,88,96
"ZNF714",0.00602780313638063,397.882677272727,303.865478125,26.217418724546,21.7209682241314,225.0586,139.858975,512.954775,419.48685,88,96
"ZNF394",0.190858984883545,589.751310227273,505.900764583333,40.6157360643713,48.5007073992066,406.927125,348.472775,656.597025,534.555625,88,96
