"gene","p-adj-Low grade dysplasia-High grade dysplasia","p-adj-Negative/no dysplasia-High grade dysplasia","p-adj-Negative/no dysplasia-Low grade dysplasia","mean-High grade dysplasia","mean-Low grade dysplasia","mean-Negative/no dysplasia","SEM-High grade dysplasia","SEM-Low grade dysplasia","SEM-Negative/no dysplasia","Q1-High grade dysplasia","Q1-Low grade dysplasia","Q1-Negative/no dysplasia","Q3-High grade dysplasia","Q3-Low grade dysplasia","Q3-Negative/no dysplasia","count-High grade dysplasia","count-Low grade dysplasia","count-Negative/no dysplasia"
"ZNF789",0.54951762692326,0.713647921672286,0.285154044828296,138.220633333333,185.463216666667,118.491678947368,15.3806194909387,85.5401051701653,14.4331643603494,86.63675,61.65515,57.290575,152.46125,197.9546,138.12305,27,6,38
"ZNF534",0.567901322521691,0.314165158051451,0.976658613672177,4.06335555555556,0.218616666666667,0.979336842105263,2.55937679306865,0.12366205674247,0.336339909784029,0,0,0.255725,0.5989,0.281225,0.9813,27,6,38
"ZNF525",0.941601646304135,0.903806003653334,0.995143427476933,211.475711111111,184.862766666667,192.226889473684,38.424811742385,95.7672767149499,24.6191937896914,37.8255,16.730725,106.148325,294.96995,233.7406,224.439125,27,6,38
"ZNF814",0.998750871594606,0.0176385098238399,0.228919030613647,477.467,482.520483333333,311.26685,52.2613928256148,70.4258018044354,34.7116897184198,267.38585,405.85125,167.058375,559.7028,612.1249,387.04905,27,6,38
"ZNF551",0.154235852969195,0.00407816699391261,0.999734570206599,257.051285185185,181.4676,182.329297368421,17.5978687187863,32.2227327942557,14.4808164554241,219.798,144.512575,132.890875,270.3918,218.079675,214.09095,27,6,38
"ZNF805",0.495272824955135,0.766583481273171,0.723421908540282,498.790237037037,416.793466666667,470.778626315789,30.2529755441188,52.3238485896929,26.8496288050852,420.61925,322.485175,370.1924,546.7844,477.0701,557.229825,27,6,38
"ZNF468",0.988979164709648,0.0270155778735572,0.362199415910658,592.5695,572.747216666667,386.322152631579,70.7520659710912,100.973523728218,43.8550037016618,332.55425,438.963425,205.37275,699.51455,729.015975,517.82815,27,6,38
"ZNF616",0.915986653456859,0.205723527632263,0.349262607376133,157.083303703704,167.015316666667,133.244521052632,12.6298042814681,8.81250591021709,8.09968633827756,125.854,153.7573,102.512425,180.2195,169.4499,157.699675,27,6,38
"ZFP57",0.520073388497739,0.187425438818562,0.993164563292443,61.2042925925926,6.31391666666667,11.7533526315789,32.8654817252525,5.26116356302904,7.4875403950007,0.2656,0.121575,0.0827,7.0433,3.120675,4.396275,27,6,38
"ZNF155",0.244853131276236,0.595518122936014,0.0747935514484558,103.746162962963,142.076616666667,90.8784763157895,11.8143568152956,35.2537478446516,6.0789390026679,67.031,96.253025,70.585475,125.4168,197.737775,116.199,27,6,38
"ZNF425",0.577085035605417,0.799693165102828,0.784144799498415,39.7698148148148,55.7868833333333,45.4482236842105,7.14269317250663,25.683109063837,4.57327459646498,16.97,19.668125,21.489675,44.28375,58.28415,55.70225,27,6,38
"ZNF611",0.800482642689297,0.260707976114903,0.269941610873247,269.646581481481,310.207516666667,213.470389473684,26.3152533116244,60.5483522428503,23.2319153947159,168.4754,208.35715,131.454875,338.14635,361.9903,278.798425,27,6,38
"ZNF254",0.137412422658302,0.994750742242396,0.110149441972971,206.403911111111,358.266,202.121786842105,28.6880323950217,131.864620694099,26.1592093757337,82.88585,119.26935,90.107675,366.192,609.141375,278.864925,27,6,38
"ZNF625",0.928084649038449,0.0301939708416108,0.155555461370919,7.96081481481481,5.44121666666667,17.8902815789474,1.54404357584044,1.39145722593658,3.1444191137813,2.5317,2.670125,3.888175,11.43375,7.17825,26.95755,27,6,38
"ZNF845",0.539356422478818,0.670521325463313,0.818527414527451,249.229725925926,200.359333333333,227.344889473684,21.9775133869159,56.5204059399651,13.8301872400296,174.5433,91.175075,162.022925,324.5008,269.07975,282.1682,27,6,38
"ZNF90",0.647994067966094,0.647597617498069,0.333471728189766,338.268303703704,238.930716666667,393.706065789474,29.8553766288126,68.5513701151548,49.0702449802576,236.5255,113.617225,220.318425,413.6607,366.76705,450.642625,27,6,38
"ZNF788",0.999968403910626,0.453281317133168,0.773775969044197,34.1132481481482,34.2989166666667,50.6195,8.55725196321505,11.0174457492475,10.1815054570987,10.1444,22.0353,13.5612,36.47125,36.489,54.869,27,6,38
"ZNF880",0.982315070851592,0.351480299539422,0.590934561253657,44.3427740740741,37.8329666666667,72.3996578947368,11.9084450582039,9.91374571201241,15.4233480962474,8.39305,19.228325,9.782575,54.95455,54.87505,87.2027,27,6,38
"ZNF630",0.334047094384821,0.674196157168493,0.132703345721351,61.5106111111111,88.71025,52.4740842105263,5.45683320846659,32.5906439999452,7.00085984942171,36.5969,48.2532,32.360175,78.033,74.914425,61.0609,27,6,38
"ZNF844",0.973399062716847,0.737412783834201,0.790546569385235,72.5637185185185,64.4197833333333,87.8690105263158,16.5917951675286,26.3815503521485,13.0210232853372,15.31965,33.059625,16.574325,89.1107,66.40295,149.792575,27,6,38
"ZNF717",0.97934022069897,0.0165929728610564,0.335426898304969,76.2746703703704,72.2148333333333,43.3453184210526,10.8576959829068,25.9832353042838,5.48100607896366,28.32515,17.629975,12.0373,103.8849,122.752025,63.029625,27,6,38
"ZNF492",0.602380824241692,0.67810933469814,0.868148760690401,4.7189037037037,0.58185,2.70138947368421,2.62833808960911,0.331280044423647,0.962825849465075,0.2481,0.0608,0.591175,1.47185,0.702425,2.31055,27,6,38
"ZNF688",0.23438439715847,0.927938250406116,0.30779520979341,154.432444444444,203.91665,160.61885,13.0019007316959,31.7710455854777,10.4467978703814,119.918,144.0564,114.23955,165.1815,249.6253,190.645075,27,6,38
"ZNF879",0.99989492047419,0.999526276828982,0.999996236054755,36.4242333333333,36.6959166666667,36.7459631578947,11.3586554285714,13.9409760881467,4.83513746039514,3.8064,10.4146,15.4506,32.62185,54.065225,50.003575,27,6,38
"ZNF737",0.0416562014157438,0.999965964592614,0.03566362580301,117.473014814815,330.5678,117.850721052632,31.4423291184196,112.420561296164,31.6367926278179,14.3586,145.278025,21.103225,139.77315,562.054575,103.843425,27,6,38
"ZNF709",0.869159445801226,0.993294817551743,0.830124477642792,58.6318407407407,67.7116333333333,57.5241052631579,6.29353931593376,19.8679444785256,6.96834698221137,37.8712,33.81955,24.502875,81.06615,108.88885,72.5422,27,6,38
"ZNF585B",0.857575853791785,0.158585545846236,0.249138018426751,76.4621407407407,88.3885666666667,53.0746421052632,12.1529529026533,24.3321457152285,5.87026690005569,23.89905,47.98815,26.104125,123.9211,105.070925,71.7139,27,6,38
"ZNF324B",0.571308758842472,0.956735185849962,0.45549503416228,143.953177777778,114.777233333333,148.50465,9.19825597666382,22.0335941083106,12.0154965610185,117.79685,76.01725,103.51945,163.4774,124.15855,181.43205,27,6,38
"ZNF564",0.618903924602336,0.0114502847201816,0.742686876667807,246.388874074074,211.07895,184.063165789474,13.9891360124482,40.4267411675222,14.3017884439761,190.12865,149.4296,125.243575,304.2841,271.168075,242.37985,27,6,38
"ZNF674",0.429385990154187,0.866504325098056,0.263468669268972,70.1798814814815,95.5410666666667,64.3949578947368,5.31619666114531,28.2444498444286,8.1795609370437,53.20865,60.262875,40.629975,95.15835,112.17,67.42175,27,6,38
"ZNF432",0.570148946561111,0.0379137354342235,0.917357903693675,236.60437037037,184.119583333333,164.191831578947,23.780720731748,40.786592610803,17.8111963909455,157.7413,114.595625,91.59435,272.25425,199.992275,204.817975,27,6,38
"ZNF10",0.15977256561932,0.941799717006463,0.0984304373780632,163.268059259259,245.345933333333,155.126047368421,13.7460673144699,94.2122073142211,13.4562056791984,123.5499,97.5859,90.823625,187.26,371.869525,210.631425,27,6,38
"ZNF486",0.918923379671293,0.457064094352238,0.956211396833414,116.760988888889,89.2844166666667,69.8298473684211,27.2180241478264,70.8682377034,26.2658885641793,9.46905,12.352375,8.640975,170.4831,39.31235,40.795425,27,6,38
