"gene","p-adj-stage I-N","p-adj-stage II-N","p-adj-stage II-stage I","p-adj-stage III-N","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-N","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-N","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-N","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-N","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-N","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-N","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF17",0.827306833285708,0.26308713413962,0.956560798886678,0.596656927897466,0.999809109497932,0.9422815641357,0.191864887724975,0.666826676080965,0.840123015324005,0.640341817089806,170.426033333333,151.618252631579,141.964806410256,149.168,122.337888888889,15.712117391732,11.7383760100192,5.99744622636416,7.1519291807628,15.3631740485473,127.4359,124.482,107.8048,110.8799,83.7338,195.480275,175.0942,165.882025,178.712,167.1812,18,19,78,55,9
"ZNF555",0.996298503066766,0.999985181390715,0.995813808086623,0.999999998991876,0.992214492825124,0.999951631571059,0.998833084313819,0.979754576179395,0.995576912086558,0.99792478980003,72.5785,68.9035263157895,71.8542576923077,72.51026,75.9727888888889,3.76990484876716,9.46283734317784,3.06786317481007,4.37204514752659,15.545769790261,62.6799,47.08145,52.212425,53.27555,51.4517,82.915875,72.7171,86.64075,83.42585,75.6402,18,19,78,55,9
"ZNF75D",0.996369819388044,0.99717201023381,0.999956038841146,0.986415253706131,0.870686131820179,0.6999735159486,0.869730336199666,0.711062277208513,0.646389462676465,0.953222081247922,324.169027777778,307.021357894737,311.385428205128,344.159554545455,381.276688888889,33.3263897448406,28.0450059411678,16.1639043394702,18.6468853682865,77.5210153970243,208.103275,214.20175,201.094825,221.76705,221.6535,433.5265,392.7441,383.8537,413.32525,503.2174,18,19,78,55,9
"ZNF197",0.848821500930386,0.482245782187773,0.996392285618811,0.883150442041582,0.998234866097004,0.866076143791672,0.764631169709097,0.996250210560032,0.999865179010393,0.96996335580934,357.561938888889,321.252152631579,311.230366666667,329.929489090909,305.242144444444,28.2630722067679,21.4265961197588,12.4847009597086,14.791497712302,32.5410219915405,276.671275,272.33685,247.6811,242.88235,250.5581,407.65075,378.96325,373.222575,409.47885,344.3308,18,19,78,55,9
"ZNF732",0.995301287426815,0.612562722489996,0.872106069930358,0.578523273715811,0.840427730474363,0.999841974054922,0.99990316811997,0.990865909713026,0.736847534318014,0.704514716267161,6.90074444444444,9.99072631578947,15.9887243589744,16.6869236363636,5.46944444444444,2.79493214126263,2.96141032988998,2.61460263664158,4.35479786899435,3.25659172406568,1.2792,2.17125,1.615075,1.3202,1.3255,8.02795,12.42895,23.932325,17.0506,3.677,18,19,78,55,9
"ZNF546",0.701462269417445,0.801527483869945,0.985574426039568,0.991433850426184,0.791880335901457,0.875650829433423,0.67219957613815,0.998236433281786,0.951719379435367,0.767780581761059,73.9912777777778,56.3690105263158,61.8878935897436,68.8877254545455,51.3141222222222,8.30501554186139,7.91316426432589,4.92603684943882,6.1616740417123,5.23284572605729,52.582875,24.4064,31.3634,35.8478,37.9331,104.365375,79.2504,79.377725,91.21675,60.3098,18,19,78,55,9
"ZNF286A",0.64277682212903,0.999999999215801,0.389117988277296,0.879541060604745,0.946711351564806,0.585847695212709,0.863919279292238,0.999933079913578,0.783789340151981,0.994538739576743,353.610566666667,271.054436842105,353.974937179487,306.94444,280.711377777778,32.0751012011862,29.5002425081996,26.871801714435,15.9584665902994,31.1181072547613,237.7041,191.2863,219.632425,216.75265,192.9871,431.676475,333.51955,424.1983,381.4135,356.4742,18,19,78,55,9
"ZKSCAN4",0.854415084071456,0.999609244238952,0.81724073560371,0.946249529868358,0.272722522250073,0.597704027140079,0.943680234393821,0.999997870545974,0.951547961944791,0.61927599424433,84.48515,73.3560052631579,82.680908974359,91.2937545454545,74.1111222222222,8.24270653686988,6.34204443122023,2.93334447358981,6.12344789190102,3.79688871763513,57.62,54.44305,65.530925,67.69655,69.4441,110.180675,81.67395,94.918425,112.9633,80.1499,18,19,78,55,9
"ZNF643",0.993944828023193,0.958929442936344,0.999792811547845,0.999888079057065,0.964447931386817,0.721301512091379,0.987191984100941,0.999807042082153,0.999994506131917,0.960293633138674,70.6357944444444,59.7799947368421,56.20765,73.8833345454545,54.2300111111111,10.4690213918949,6.86014416251977,3.71519558017299,18.1597265216172,10.6821086878357,45.582825,31.99165,32.99635,28.6216,28.4981,77.571425,79.20715,71.554225,65.58265,89.2401,18,19,78,55,9
"ZNF642",0.961949392542419,0.999999772080887,0.897423573539458,0.937678743038258,0.485259479907884,0.781023079996683,0.999442009516391,0.9976629695038,0.998592865375105,0.918239391105914,103.418972222222,82.8764210526316,104.185219230769,122.928729090909,94.9548111111111,20.5063338833624,6.54396555347914,6.39197315358365,19.2677404253155,9.51737921264807,60.9893,62.1006,74.177975,71.4907,70.8661,110.307475,94.754,122.257475,111.55935,109.2041,18,19,78,55,9
"ZNF490",0.480376973587475,0.923622512132211,0.71862337535363,0.997865210850911,0.440402120480448,0.947874623868397,0.938915543845043,0.982045149856902,0.998596278146638,0.968861775583983,250.597422222222,201.531594736842,230.93095,242.785336363636,221.831488888889,15.5363231866373,11.4437707260925,12.1282156292951,11.9817120302757,20.0579721453109,212.6,160.33065,157.553825,181.0381,172.3548,300.6331,238.23285,268.012275,298.60195,264.2952,18,19,78,55,9
"ZNF626",0.984486252919799,0.923375337843802,0.551968056968186,0.999941039759971,0.985038218501498,0.617391396598013,0.984471313743427,0.99997386765526,0.738368824195454,0.987006550951991,67.0021222222222,36.0407105263158,105.414652564103,60.8484618181818,28.5633888888889,29.2209792313601,10.4795031007677,27.8191942400514,14.154817682802,10.2210779764504,16.12855,12.22915,12.3374,16.1018,12.5401,65.0801,34.4257,69.824825,59.87485,29.4225,18,19,78,55,9
"ZNF793",0.869250547913801,0.769202523855134,0.110002629120793,0.941381705280146,0.283775964946343,0.98026706640955,0.999740521168054,0.974794402920523,0.815787660206727,0.93506243247918,59.7730833333333,27.3209631578947,90.9264576923077,80.8340109090909,52.1077555555556,20.4440606578755,8.48606847551809,13.20320503077,13.4755872545242,31.0618683601378,12.362975,6.47625,9.494525,16.6434,11.598,48.661225,32.71045,137.3638,91.87735,28.8714,18,19,78,55,9
"ZNF383",0.755627889370252,0.999061296494798,0.380435565049729,0.998474158036575,0.395309888565572,0.999995581635819,0.972801550873521,0.996738571477495,0.896257067086534,0.891058263369374,99.3897611111111,80.6865684210526,102.568330769231,103.124910909091,87.4482555555555,8.81476232233689,6.26790484299353,6.3752609727412,5.75260388587308,14.8804494845876,69.561975,58.7588,65.887175,73.47925,57.9946,117.992775,96.1541,129.5129,119.1845,93.6133,18,19,78,55,9
"ZNF669",0.204599934390374,0.255250571966199,0.959393369381047,0.353412081057598,0.937010127636545,0.999773722438242,0.999998313889228,0.377505118010078,0.518881825511268,0.596526531761185,160.161655555556,117.326331578947,127.956733333333,129.855805454545,161.450888888889,16.4696491137411,11.0233980909457,6.92259733645781,8.19868575358534,19.4693344754103,104.228125,88.38385,87.0694,91.4007,134.7268,210.155225,143.3658,145.98745,162.3559,207.6407,18,19,78,55,9
"ZNF559",0.976919054198969,0.175755634941202,0.0234782688294111,0.291255155539669,0.0546583640016066,0.998571048308229,0.834510507743763,0.544421839556418,0.992070800181034,0.998374727163534,114.109938888889,92.2603263157895,179.963729487179,174.307023636364,162.369555555556,26.1671922508576,16.5215132198074,13.9795138289598,15.0877210318603,33.011058658085,26.79865,30.89175,82.27065,91.93175,98.4802,141.1295,135.4883,250.281475,265.41565,232.6986,18,19,78,55,9
"ZNF177",0.837194973565038,0.915109472060558,0.183980219368299,0.939576893615243,0.23937965688645,0.999992516862395,0.999995291158785,0.937210941314321,0.954463673552166,0.965303868251026,28.5010611111111,16.0689210526316,36.5721346153846,36.0873018181818,27.4999888888889,8.63936301830758,5.96228611622503,4.86157603129938,4.04472779930383,8.34987012068725,4.191825,3.64595,9.331525,11.2261,6.1242,47.63715,17.61295,45.970075,49.81255,35.1937,18,19,78,55,9
"ZNF548",0.109456123741904,0.0166408341645577,0.999993185345624,0.0764372296522833,0.995844972388812,0.962345038910399,0.0208581566483513,0.80075926735726,0.738032355898769,0.547040466344003,316.057905555556,227.530436842105,225.445928205128,238.47686,177.974011111111,33.7299880799848,17.3846296200149,13.3020276262636,13.8677712507335,20.4566172459579,196.502325,198.23465,140.444625,169.65045,129.848,437.7448,254.2977,289.1989,278.4071,223.6804,18,19,78,55,9
"ZNF563",0.152114815435965,0.752490558079323,0.422392622470378,0.914726775328117,0.286239414765451,0.98994246561765,0.40529659728083,0.999980228123804,0.784235258423178,0.661835353644594,40.9834944444444,25.4604842105263,34.5351948717949,36.2378454545455,26.2640888888889,4.47599448255625,2.52399381766167,2.34301193550234,3.26817855063857,3.14543787220496,29.73995,19.5659,21.9212,18.922,19.5392,48.178425,30.0083,45.744425,45.2146,36.4191,18,19,78,55,9
"ZNF567",0.598548779280815,0.999827205699159,0.442955582698315,0.999681392762694,0.505827293182368,0.999998296611647,0.700157506089559,0.99995007554217,0.649004837524403,0.683118047494254,203.698716666667,151.842210526316,198.960317948718,197.957936363636,146.474455555556,27.2707175448945,13.8765025504914,14.2990721070498,13.341979545608,15.3459668009049,135.72,107.6635,108.15675,131.51495,120.5506,237.008575,181.59115,275.5396,259.36115,160.591,18,19,78,55,9
"ZNF573",0.470015384082014,0.208394427231192,0.99999459873989,0.717031319403096,0.943973126658934,0.730168503807772,0.811337347664753,0.999282074948147,0.997584552695135,0.998490027046592,67.7689777777778,47.2438789473684,46.5678371794872,54.8184672727273,50.8970555555556,9.53296648409265,8.11040759994745,4.4746359250322,4.90562836081145,10.502506907627,34.340975,21.45545,22.91795,32.3987,35.4569,83.25415,69.76595,53.6459,70.1723,70.0756,18,19,78,55,9
"ZNF527",0.405287624665466,0.752587063793548,0.842248013373062,0.961375278827471,0.579820884166812,0.947649632432479,0.988715667690403,0.882804465075067,0.997475176282693,0.999999448871947,98.0115944444444,70.8588789473684,83.2497628205128,89.3613272727273,88.6939,10.1918712443658,7.67356385600954,5.77283934792029,6.39781534283539,13.3245137417427,70.6748,50.6867,46.640725,59.7705,60.9726,116.15205,87.01475,110.266775,106.57545,116.5412,18,19,78,55,9
"ZNF33A",0.735447693374747,0.114699035120527,0.898038317931441,0.97434047895282,0.896225341231916,0.0636996094195179,0.991314581636583,0.982830221351136,0.707660807281234,0.999997545024861,1309.5563,1109.09622105263,995.26056025641,1228.1405,1217.92161111111,94.5595205529245,90.1197146483666,54.1783523554112,74.1200698483709,218.706645973132,931.5638,826.0388,602.0527,845.56455,612.2017,1541.54755,1450.7712,1297.856575,1628.63095,1670.1185,18,19,78,55,9
"ZKSCAN3",0.97803009196412,0.999867608546675,0.977116951676332,0.873973092466713,0.441756232299408,0.432754793308188,0.988008996777152,0.869585401377707,0.959237538336213,0.999837533225141,67.1742666666667,59.5674789473684,65.5498602564103,77.5538090909091,75.2020555555556,6.92623187958676,9.51668132390975,3.35147854626259,7.2285173454429,11.463251557539,49.1785,35.86565,43.79665,46.528,55.149,84.26865,73.08015,85.84905,92.5455,115.2512,18,19,78,55,9
"ZNF676",0.996025946829795,0.877375612924477,0.600390044698891,0.995201489870366,0.914085393325697,0.926826115544328,0.999987429145058,0.995227868519837,0.974205846039979,0.999677028172402,3.93417222222222,1.96785789473684,7.95474615384615,5.63864909090909,4.5042,2.94810421532749,1.00702098470896,2.51763151263356,1.12456619981671,3.5153837577773,0,0,0.303625,0.43535,0,1.6451,1.87715,6.03275,7.34135,1.5605,18,19,78,55,9
"ZNF699",0.983147454239948,0.57824908027558,0.924918263023658,0.848696871634727,0.996035494152967,0.969865008678142,0.955699263868755,0.998811867088574,0.998583808562831,0.999999764012918,42.2661,51.0380526315789,61.3901730769231,55.89176,56.4586888888889,5.10008071746326,8.23277738700605,5.45205850208208,8.13996741729951,16.5358329403269,28.3101,19.47455,32.435975,20.94885,34.6684,54.21965,69.0074,79.416675,73.1341,61.7391,18,19,78,55,9
"ZNF250",0.998176427274271,0.923208889082771,0.734211164355942,0.689295715633427,0.434483674609328,0.933761011864138,0.987786543691128,0.999081521837207,0.760032927627524,0.534080756703333,194.189377777778,179.023936842105,227.056682051282,248.249961818182,163.356411111111,12.0806963431743,15.316615425862,15.9611556156927,28.2122390780658,23.2228210860594,152.677175,133.2566,147.95815,170.37315,116.4275,235.732325,227.085,251.505275,247.3046,206.6308,18,19,78,55,9
