"tumor.median","tumor.mean","Gene.Id","healthy.median","healthy.mean","log2median","log2mean","tumor.name"
172.3219,191.566172972973,"ZNF566",222.5225,217.542775,-0.368845157152895,-0.18345627266613,"STES"
166.2451,191.598275675676,"ZNF224",180.7297,179.88970625,-0.120521790807227,0.0909719430862913,"STES"
318.0601,355.294375225225,"ZNF529",397.4753,412.6686625,-0.3215658108644,-0.215969037094674,"STES"
39.4855,44.3605072072072,"ZNF284",45.0969,47.06233125,-0.191705305633617,-0.0852969257484467,"STES"
112.3022,125.71535990991,"ZNF749",88.7762,89.79939375,0.339141328813676,0.485383318842594,"STES"
135.8437,145.037195045045,"ZNF17",172.9044,162.3870625,-0.348026923066293,-0.16301376711429,"STES"
69.1495,71.6070518018018,"ZNF555",81.3953,81.84636875,-0.235226671809316,-0.192816740687965,"STES"
321.7433,335.8894,"ZNF75D",405.6968,412.02803125,-0.334491817096801,-0.29475622302226,"STES"
321.9178,328.585355855856,"ZNF197",386.1763,386.93359375,-0.262567276613798,-0.235817804879224,"STES"
4.4992,12.7806603603604,"ZNF732",7.0768,8.12819375,-0.653428647826118,0.65295568357382,"STES"
54.972,64.4400045045045,"ZNF546",106.3063,108.17801875,-0.951458223625776,-0.747378880287111,"STES"
281.462,312.740663963964,"ZNF286A",206.0962,206.65251875,0.449622253418159,0.597759869363058,"STES"
80.0908,83.401527027027,"ZKSCAN4",91.0853,86.57878125,-0.185581710008456,-0.0539396934923904,"STES"
48.7954,61.8161594594595,"ZNF643",29.0887,30.20518125,0.746286327084483,1.03318798093773,"STES"
88.5214,102.595621171171,"ZNF642",68.1371,62.1905125,0.377585722256784,0.722202746062358,"STES"
232.0086,244.310591891892,"ZNF490",215.3153,216.02065,0.107727444562222,0.177547181746184,"STES"
38.7132,97.6619454954955,"ZNF626",280.8855,323.66306875,-2.85908468131213,-1.72862433477995,"STES"
36.5323,85.7665031531532,"ZNF793",139.6396,156.135075,-1.93446363854001,-0.864308462424688,"STES"
93.6133,102.78342972973,"ZNF383",138.8713,145.08313125,-0.56896305517073,-0.49727208901575,"STES"
116.9468,130.527618918919,"ZNF669",100.7483,99.6383,0.215096890648143,0.389582793296942,"STES"
149.2098,168.157251351351,"ZNF559",253.2745,232.0712375,-0.763359538031842,-0.464756735942768,"STES"
23.1348,35.4415036036036,"ZNF177",59.7218,51.97603125,-1.3681930217126,-0.552406666261879,"STES"
218.9749,238.390346846847,"ZNF548",220.699,252.47215625,-0.0113145823266139,-0.0827984719698743,"STES"
32.8656,36.7430797297297,"ZNF563",36.036,40.940125,-0.132860557352376,-0.156042951998833,"STES"
164.0326,187.526990990991,"ZNF567",160.5438,166.6865375,0.0310156148997786,0.169960670199674,"STES"
45.7579,54.6126855855856,"ZNF573",82.8613,79.2559125,-0.856677611745546,-0.537282461215109,"STES"
81.9846,90.5768977477478,"ZNF527",130.7655,125.48293125,-0.673557119049694,-0.470276102539241,"STES"
1108.193,1172.45162567568,"ZNF33A",1725.6286,1616.589925,-0.638912833290612,-0.463425361919834,"STES"
65.7688,70.8869355855856,"ZKSCAN3",118.2171,123.24195625,-0.845963482588491,-0.797901818573279,"STES"
1.5605,13.7461644144144,"ZNF676",8.6647,16.5047375,-2.47314144221432,-0.263851073072439,"STES"
45.0426,55.5144265765766,"ZNF699",51.9975,58.42651875,-0.207152154548091,-0.073760596732137,"STES"
196.6874,222.980003603604,"ZNF250",216.2162,226.38193125,-0.136570081028817,-0.0218444756060725,"STES"
108.9956,109.265608558559,"ZNF79",124.7061,127.34929375,-0.194262139738725,-0.22095157578845,"STES"
45.5241,99.1425234234234,"ZNF681",121.8248,119.64385625,-1.42010545317825,-0.27117043137044,"STES"
355.579,366.686537387387,"ZNF766",332.7399,354.8080125,0.0957752479460263,0.0475087097262645,"STES"
21.6058,46.1753004504505,"ZNF471",160.5438,215.26498125,-2.89347639523324,-2.22092039111209,"STES"
104.5699,115.098227477477,"ZNF836",132.4737,131.4716875,-0.341238332174246,-0.191886531783173,"STES"
133.9424,169.651524774775,"ZNF493",280.5623,346.592225,-1.06670843888974,-1.03066489471518,"STES"
21.5501,32.1672283783784,"ZNF167",70.7364,68.66331875,-1.71475823363623,-1.0939479551626,"STES"
76.0824,80.1266833333333,"ZNF565",108.0421,105.14854375,-0.505958925226769,-0.392074203792914,"STES"
88.6806,94.200131981982,"ZNF34",102.7027,122.74554375,-0.211783673433958,-0.381869662479978,"STES"
291.4168,309.992185135135,"ZNF140",328.187,337.97453125,-0.171434042292855,-0.124682687626103,"STES"
53.8874,64.8285833333333,"ZNF658",78.8741,86.2055,-0.549603658021578,-0.411149870916982,"STES"
252.996,280.268778828829,"ZNF765",226.4785,223.02831875,0.159740476122368,0.329584134833662,"STES"
87.117,101.84348018018,"ZNF124",69.3177,68.99463125,0.329730487753109,0.561797615291328,"STES"
38.1538,59.2720234234234,"ZNF569",127.3816,127.44058125,-1.73925824115274,-1.10440153798689,"STES"
556.8417,600.660274774775,"ZNF777",520.9945,534.13049375,0.0959991113687956,0.169357002353072,"STES"
327.4707,379.031314414414,"ZNF605",445.3788,432.5577375,-0.443667058348057,-0.190575671116628,"STES"
58.7509,72.3510432432432,"ZNF799",53.4455,52.7171375,0.136542471232672,0.456741784154819,"STES"
75.4372,82.3241463963964,"ZNF782",77.9297,83.9159375,-0.0468971339756766,-0.0276291886486017,"STES"
70.3336,81.9155563063063,"ZNF846",116.0221,114.3525,-0.722113669318154,-0.481278546282779,"STES"
185.0336,192.383171621622,"ZNF136",233.9886,232.82770625,-0.3386509713909,-0.275280140216161,"STES"
369.2053,432.845248198198,"ZKSCAN5",315.6429,314.755575,0.226129963436033,0.459619390163664,"STES"
638.2008,712.437841891892,"ZNF33B",932.2869,1021.92234375,-0.546763578058302,-0.520449515655482,"STES"
236.9942,284.77465990991,"ZNF431",209.9099,285.59065625,0.175081542036485,-0.00412800232782811,"STES"
14.1662,37.7262121621622,"ZNF418",73.9251,75.95101875,-2.38361147423563,-1.00950206007276,"STES"
289.977,315.710624774775,"ZNF700",297.7901,325.46209375,-0.0383573174136066,-0.0438867106639478,"STES"
33.6811,62.8133702702703,"ZFP28",135.4598,169.43408125,-2.00785360915331,-1.43158051366636,"STES"
97.1741,107.498549099099,"ZNF585A",146.8612,147.4995875,-0.595809547475455,-0.456393731827878,"STES"
198.9442,230.161348648649,"ZNF138",198.5764,195.6823625,0.00266966485487368,0.234131852862268,"STES"
73.3544,107.228503603604,"ZNF429",176.6504,202.8173875,-1.26794160556285,-0.919492884019281,"STES"
