"gene","p-adj-C10-GBM-C1-LUAD-enriched","p-adj-C12-small-various-C1-LUAD-enriched","p-adj-C12-small-various-C10-GBM","p-adj-C2-Squamous-like-C1-LUAD-enriched","p-adj-C2-Squamous-like-C10-GBM","p-adj-C2-Squamous-like-C12-small-various","p-adj-C4-BRCA/Basal-C1-LUAD-enriched","p-adj-C4-BRCA/Basal-C10-GBM","p-adj-C4-BRCA/Basal-C12-small-various","p-adj-C4-BRCA/Basal-C2-Squamous-like","p-adj-C6-UCEC-C1-LUAD-enriched","p-adj-C6-UCEC-C10-GBM","p-adj-C6-UCEC-C12-small-various","p-adj-C6-UCEC-C2-Squamous-like","p-adj-C6-UCEC-C4-BRCA/Basal","p-adj-C8-BLCA-C1-LUAD-enriched","p-adj-C8-BLCA-C10-GBM","p-adj-C8-BLCA-C12-small-various","p-adj-C8-BLCA-C2-Squamous-like","p-adj-C8-BLCA-C4-BRCA/Basal","p-adj-C8-BLCA-C6-UCEC","mean-C1-LUAD-enriched","mean-C10-GBM","mean-C12-small-various","mean-C2-Squamous-like","mean-C4-BRCA/Basal","mean-C6-UCEC","mean-C8-BLCA","SEM-C1-LUAD-enriched","SEM-C10-GBM","SEM-C12-small-various","SEM-C2-Squamous-like","SEM-C4-BRCA/Basal","SEM-C6-UCEC","SEM-C8-BLCA","Q1-C1-LUAD-enriched","Q1-C10-GBM","Q1-C12-small-various","Q1-C2-Squamous-like","Q1-C4-BRCA/Basal","Q1-C6-UCEC","Q1-C8-BLCA","Q3-C1-LUAD-enriched","Q3-C10-GBM","Q3-C12-small-various","Q3-C2-Squamous-like","Q3-C4-BRCA/Basal","Q3-C6-UCEC","Q3-C8-BLCA","count-C1-LUAD-enriched","count-C10-GBM","count-C12-small-various","count-C2-Squamous-like","count-C4-BRCA/Basal","count-C6-UCEC","count-C8-BLCA"
"ZNF460",0.999999671398943,0.999591223773842,0.999982055436804,8.58202398035246e-13,0.476082649871765,0.497011329769471,0.964353512836898,0.994714427105051,0.999775801851633,0.196935953876978,0.999998626453755,0.999994475154279,0.999790853085444,0.97627833743758,0.993678110999362,0.998984333896471,0.999287036461053,0.99529653302991,0.960488212141309,0.949272202425832,0.999998891781283,54.3013409090909,51.9836333333333,44.84885,87.3251778301887,32.8384,59.384,65.3786,1.52225057246829,9.72749983721979,3.11743164600284,2.67577486708431,9.02635184353753,0,21.3325150962875,32.3763,33.2191,39.4493,52.69665,17.2043,59.384,28.4296,65.8277,72.327325,50.2484,105.508575,48.4725,59.384,102.3276,572,6,4,424,4,2,4
"ZNF81",0.99764798445935,0.999281859097239,0.991423444569606,0.000177673490476704,0.86831082283222,0.999999852236188,0.999997452171173,0.999989482855719,0.999355264965192,0.989581849453724,0.651308783850284,0.60615977246251,0.933834313793958,0.877317196568528,0.774335570969369,0.999915213874909,0.999999819853536,0.997972250229772,0.974279936551179,0.999999908881206,0.725207044922058,104.400036013986,93.5135,115.1953,117.765751415094,100.265,158.8744,96.9276,1.96595301444115,16.9730131755482,21.4918060355569,2.26651457198555,3.25700607357944,0,6.77104848700209,73.5465,58.526275,77.9704,86.46845,94.6237,158.8744,85.1998,129.4266,128.236525,152.4202,142.417625,105.9063,158.8744,108.6554,572,6,4,424,4,2,4
"ZNF780A",0.999998690463693,0.963331244068403,0.980411590491943,7.66520769079904e-09,0.914102584589772,0.999999192869851,0.522333116685448,0.72712219323249,0.995936386624916,0.947478153796235,0.998809252129194,0.999834778794131,0.961322412691324,0.935154320677155,0.758610699276735,0.659807319969851,0.905227624513576,0.523096726192539,0.182951940866674,0.173584225142509,0.998322426826817,271.926847202797,279.123233333333,218.7474,226.870648584906,169.50155,311.5444,363.0064,4.29534960768081,9.22184511062967,33.9423645906312,5.96889162954216,19.0193323752658,0,23.1839042044979,199.6286,259.8779,159.9575,146.21985,136.5591,311.5444,322.8507,322.8615,296.51315,277.5373,270.54465,202.444,311.5444,403.1621,572,6,4,424,4,2,4
"ZNF461",0.4044225720108,0.458288086546454,0.0795666047079145,0.999862412565578,0.441510103311445,0.430898784509502,0.999798605585248,0.701729671602013,0.925252207913597,0.999614648333202,0.105505265998457,0.848572208607296,0.0167985225647387,0.114476256311655,0.19831506800922,0.999403962682451,0.966769802947541,0.623782202716454,0.999676091724887,0.997387498029063,0.460784367676583,118.34358006993,196.527133333333,26.698,120.441167924528,100.81245,297.3632,139.48955,4.01630630713371,29.747339547985,11.662764112765,4.53871419821866,27.1637816826162,0,12.3273808751427,71.5055,144.6687,6.4975,72.711925,53.7634,297.3632,118.1379,137.9941,257.4426,46.8985,149.2476,147.8615,297.3632,160.8412,572,6,4,424,4,2,4
"ZNF181",0.999996123118166,0.882227578785013,0.981138856080237,0.983756047985802,0.999920294473574,0.836511527367827,0.879994639815509,0.980641284632356,1,0.833833814270219,0.650304146442456,0.72925359595579,0.376521974823471,0.698729163454218,0.374578903492669,0.999971670674347,0.999903218973201,0.939150549082148,0.999998533320878,0.938108753324016,0.896030355731059,176.169056993007,169.518433333333,123.3508,180.621774056604,123.1161,276.0913,187.5378,3.34555178992831,12.7895946284122,10.7771665348551,4.55139887489766,13.3460865576143,0,19.0108164587952,127.8351,143.2639,104.6842,125.18905,100,276.0913,154.6101,205.8824,195.8023,142.0174,201.225675,146.2322,276.0913,220.4655,572,6,4,424,4,2,4
"ZNF44",0.998342021745186,0.603488788697255,0.954781919534824,1.90365501140377e-10,0.998180511235516,0.981118721453279,0.998370888235769,0.989057004869959,0.684102861394607,0.795348460844322,0.999991190472171,0.999999978060552,0.983154153754047,0.999650596639774,0.999024541064365,0.952291951579478,0.921150909209177,0.457634799985514,0.489373570493566,0.999882370713894,0.988388877761939,186.802446503496,170.191366666667,121.4296,153.273303301887,207.0484,175.1252,225.1315,3.45565106957729,8.59472242967224,3.38696761917402,3.23424969516756,25.7976266081462,0,30.0324908326521,132.8304,152.253,115.5632,115.00335,162.3656,175.1252,173.1137,219.5452,187.286475,127.296,180.352625,251.7312,175.1252,277.1493,572,6,4,424,4,2,4
"ZNF790",0.999999994265982,0.87851738116643,0.968902165908908,4.27517303780434e-08,0.975600840318649,0.999231940424337,0.989504528002221,0.998226570225556,0.99985587372694,0.999999999977463,0.130920616852229,0.256429750491924,0.0698188067124385,0.0294453161610047,0.143191367725993,0.999267047079031,0.999682472806578,0.891247573564545,0.880924689140395,0.97839993515691,0.515649848894344,86.1355171328671,84.9773333333333,58.59065,68.9659240566038,69.52895,167.2945,96.4139,1.87998859097109,9.41676589963054,2.88233461638883,2.13948024380316,2.89417029690722,0,7.74220937480596,57.0175,68.917725,53.5983,39.116025,64.5161,167.2945,83.004,103.0894,104.12235,63.583,88.7538,74.5418,167.2945,109.8238,572,6,4,424,4,2,4
"ZNF677",0.0762667646158065,0.990263392047804,0.89108322780167,0.0329203181333924,0.0185251588300341,0.918557467014558,0.696709156972389,0.0428792855007818,0.654682044509625,0.901383081361169,0.952160716605822,0.253289000955936,0.87346719046074,0.990884821797774,0.999999956624692,0.128104168922166,0.99998530494008,0.842937437050964,0.0453589579474939,0.0489371635845322,0.23110234314962,25.7834062937063,58.0102666666667,36.1475,20.2215910377358,3.59265,5.7611,62.2999,1.2019170031957,8.21267540381601,19.2620215609196,1.3234745502916,1.4533927001445,0,5.61455816278835,6.266,42.31225,2.7847,4.345125,1.0753,5.7611,52.5752,35.0485,75.175975,69.5103,25.44905,6.11,5.7611,72.0246,572,6,4,424,4,2,4
"ZNF823",0.999916002693533,0.841315824368598,0.982316462032607,0.780873579088497,0.999999941967582,0.916356345074964,0.998736308809996,0.996872529731869,0.852173765548299,0.993059084871545,0.999999966711291,0.999986312443869,0.981116615830812,0.999991667107807,0.999989230266103,8.13010517797252e-08,3.38920314747471e-05,6.34271305277601e-06,2.83946436363536e-08,0.00235570852106493,0.0135964350962398,105.549984615385,99.0173333333333,72.383,100.943916037736,118.3113,108.5752,254.52755,2.1026568507705,12.5498999325271,6.97722026812971,2.42129029339977,35.4043309422731,0,18.114335828311,72.1584,74.1911,60.2981,67.885,56.9892,108.5752,223.1526,127.7461,118.9052,84.4679,120.15525,179.6334,108.5752,285.9025,572,6,4,424,4,2,4
"ZNF311",0.943837036296417,0.99999274429752,0.982194564497893,0.881651060672689,0.881137376532556,0.999999998084425,0.954284980155468,0.999999820501565,0.978453209574193,0.9106111517052,0.942008194527839,0.999738688435822,0.958092774822099,0.908466759116221,0.999960402933024,0.248254543826407,0.180866527087983,0.758154107449466,0.333870963238622,0.227902398861854,0.303115584375815,47.2347363636364,28.2153666666667,51.9272,50.7425462264151,24.9677,14.1813,98.3535,1.91835397892641,8.72283187520607,10.1516075181881,2.08380233344166,10.4171886420153,0,22.832586565696,14.3204,10.29605,34.3441,20.1685,6.9246,14.1813,58.8063,61.5952,46.128725,69.5103,74.758,43.0108,14.1813,137.9007,572,6,4,424,4,2,4
"ZNF347",0.999831527297254,0.790277211486132,0.975964124314164,0.000121285884593481,0.99985079013167,0.980790527018502,0.844354321757881,0.985454968258159,0.999999985359252,0.990451785409245,0.966693249488702,0.995773469929895,0.999999996736387,0.998512528487698,1,0.0721104886878366,0.190389943530163,0.0423974587328481,0.0124057932670989,0.0525594657129219,0.199212349996857,108.674453146853,99.2043333333333,62.80015,89.9123400943396,66.18925,66.0315,199.7604,2.35499035166968,12.5903150218641,31.4344993588387,3.60372815367419,7.17406784240991,0,37.3098755057335,67.8337,74.09935,8.354,31.612925,53.7634,66.0315,135.1378,146.2636,125.467825,117.2463,129.93825,78.6151,66.0315,264.383,572,6,4,424,4,2,4
"ZNF273",0.0138190931762417,0.995833710696005,0.648783196394369,9.17044218340379e-13,0.516930216102539,0.996484282020308,0.999945094940796,0.211883125291892,0.994743821364158,0.722914319703675,0.821694896988483,0.99871132248323,0.989358311834694,0.99906630708338,0.858464789380118,0.999999999998218,0.321888793339168,0.999299817670241,0.871283423183308,0.999994896881058,0.920787438021039,148.037931118881,293.662233333333,181.3453,213.682090566038,132.37195,249.723,147.15415,3.45615520661885,13.2047357959349,54.8603999286674,6.35363098481879,36.6933520207794,0,18.020343204487,86.5986,266.042575,86.3243,130.921225,68.8172,249.723,115.942,188.0356,319.3237,276.3663,243.2557,195.9267,249.723,178.3663,572,6,4,424,4,2,4
"ZNF84",0.996508956922288,0.99999999987745,0.999823023684776,1.59512317509103e-05,0.999998220830777,0.996789924158214,0.940879692064776,0.999506153803715,0.991105130646796,0.999585946324971,0.349890247820294,0.33363749799894,0.587904129250902,0.141492630257824,0.229045741595912,0.999897737579557,0.999999554208491,0.999992859988501,0.99993434821645,0.998655171471628,0.471892570553346,546.4976,486.255966666667,542.44605,469.812858018868,419.1884,905.3844,506.73185,10.2340727272606,83.8424404076784,12.9181834056044,11.5266503109886,60.9351639910268,0,97.3225203691357,367.6806,327.9082,520.0711,317.02555,313.6456,905.3844,338.1643,682.0276,661.266175,564.821,551.461025,524.7312,905.3844,675.2994,572,6,4,424,4,2,4
"ZNF667",0.224886517260531,0.999999521028981,0.686969450633758,0.842713642438772,0.144931403534515,0.999999999839718,0.799889421821809,0.133036193722908,0.972363895660919,0.88092271744364,0.300656233306654,0.991115568954043,0.500719800527514,0.240052570351522,0.125082880588307,0.999990454573195,0.642635532082019,0.999999995259279,0.999999998344306,0.980714354780595,0.466989138025296,47.9336975524476,104.957066666667,43.9622,42.9163099056604,6.15045,140.0399,41.37265,2.35551283623279,19.9633725127572,22.9699959297631,3.09437614360017,0.446955710893149,0,15.0120018918475,9.922,63.20725,4.177,6.717375,5.3763,140.0399,15.3711,67.9855,143.999725,83.7474,52.2699,6.9246,140.0399,67.3742,572,6,4,424,4,2,4
"ZNF649",0.999991834075603,0.863719382031669,0.97898311702593,0.0504724241270107,0.999981858709243,0.973157771609925,0.972831644547018,0.997794521700946,0.999970507464838,0.998559676848469,0.996042390620249,0.999494845155123,0.999988418400309,0.999836445669185,1,0.988089289129329,0.999303459938366,0.999825275296962,0.999733884309464,0.999999939878564,0.999999992241292,194.736718531469,179.904133333333,87.1205,162.904348584906,118.8621,120.3191,130.08945,8.36037699756099,7.52631763182442,17.8766695899991,5.66243757804697,9.59660070441612,0,14.3985672308335,97.0499,165.3258,56.1572,87.130825,102.2403,120.3191,105.1504,211.2254,195.6462,118.0838,207.145275,135.4839,120.3191,155.0285,572,6,4,424,4,2,4
"ZNF248",0.95101683599174,0.19395692615587,0.15310997748353,1.20210519316544e-09,0.387564211875755,0.704505607151679,0.99999814940599,0.987342988644934,0.686518250811395,0.993791399673021,0.0215278408010394,0.247371160053237,0.00111518999259463,0.00260243406655469,0.0894160681637826,0.998561211905158,0.999984392572698,0.364232626119732,0.820366417691185,0.999002055493364,0.225011305686485,261.926365384615,307.7241,128.58445,215.188673584906,252.6805,514.0705,290.69995,4.99337150769778,84.6549878012709,24.398908978494,4.63703833391787,23.5950930662147,0,25.082838107376,180.5122,170.846975,86.3243,154.385675,211.8126,514.0705,247.2552,316.053,476.51585,170.8446,259.8731,293.5484,514.0705,334.1447,572,6,4,424,4,2,4
"ZNF544",0.99968962737004,0.999954892927398,0.999135438026077,1.93425579817497e-05,0.90636225732955,0.999869770780943,0.97529862905637,0.999505934200463,0.981960250939866,0.738884893023198,0.993603645261402,0.999722469448254,0.991176152225015,0.919756462185917,0.999999999118584,0.0678280286686694,0.173401272183967,0.537879822687503,0.289830732074698,0.114049036617366,0.293246562251429,560.001361188811,517.229433333333,597.6099,642.714045283019,444.3181,433.7558,933.34025,10.5474765841308,37.718954682252,5.29765060003019,13.4016958243862,157.036675143367,0,105.303464080252,412.0215,450.332,588.4341,463.196725,172.3226,433.7558,750.9493,681.8182,594.8711,606.7857,787.584725,716.3136,433.7558,1115.7312,572,6,4,424,4,2,4
"ZNF251",0.987866915459817,0.99975273555786,0.986290969968632,0.40783983893936,0.93388550166026,0.999999658124756,0.116110286445253,0.70712369250197,0.328171439447127,0.0598722384795077,0.0802968340628044,0.397852706110358,0.161185351946669,0.0488847880605859,0.989479394879856,0.999999997218776,0.999417186369167,0.999925660281413,0.999924187647151,0.527238029896084,0.273615811366646,327.695126223776,386.7168,291.69675,303.558951886792,575.41665,696.6541,333.0012,8.06670784197633,44.2604200775817,101.686018233617,8.6609054921004,199.814432976001,0,15.2752447470845,198.5714,300.683525,115.5714,191.989425,229.3279,696.6541,306.5437,386.9455,479.293925,467.8221,374.9844,921.5054,696.6541,359.4587,572,6,4,424,4,2,4
"ZNF607",0.99177602011438,0.940445775774488,0.863404538840917,0.760775680085734,0.965558734868825,0.977291293902161,0.999293968237992,0.999999930241602,0.935212310715778,0.995180350175339,9.14046616173891e-13,1.07591713316424e-12,9.24482712605368e-13,9.15933995315754e-13,3.35353966818275e-12,0.37779233014966,0.913242585157141,0.29038454432023,0.272382613694757,0.917114200567316,1.41608502701729e-09,171.549303146853,202.840233333333,114.9515,161.466422641509,196.17415,892.0895,281.91395,4.17021242724969,8.92682023614481,5.44429756840433,5.67992523623666,41.247606414201,0,39.3222010014805,112.8658,187.321125,105.5217,72.59905,124.7312,892.0895,213.8059,208.3735,221.104275,124.3813,227.3678,267.6171,892.0895,350.022,572,6,4,424,4,2,4
"ZNF334",0.197422997698573,0.959291763661132,0.987626022415722,0.00847583987343015,0.512001301273124,0.998473910357671,0.938639755284513,0.219040493602282,0.776383500164921,0.739207894724132,0.972265662762552,0.420759723746821,0.850765585498796,0.886919598265208,0.999999720326442,0.142120105194472,0.999333532444792,0.922315238836974,0.352452783195028,0.13784692247636,0.287380012721074,61.556527972028,149.788666666667,105.2959,81.6641481132075,13.8734,4.4316,176.04275,3.19110406498568,47.1742932389571,0.836696010109604,5.06964083507721,3.04332873895236,0,71.7185370412757,14.295,60.90665,103.8467,17.065,8.6022,4.4316,51.8226,84.3001,248.226125,106.7451,111.32525,19.1446,4.4316,300.2629,572,6,4,424,4,2,4
