"gene","p-adj-Lung Squamous Cell Carcinoma-Lung Adenocarcinoma","mean-Lung Adenocarcinoma","mean-Lung Squamous Cell Carcinoma","SEM-Lung Adenocarcinoma","SEM-Lung Squamous Cell Carcinoma","Q1-Lung Adenocarcinoma","Q1-Lung Squamous Cell Carcinoma","Q3-Lung Adenocarcinoma","Q3-Lung Squamous Cell Carcinoma","count-Lung Adenocarcinoma","count-Lung Squamous Cell Carcinoma"
"ZNF14",0.00625652071981653,179.222100775194,167.7690092,2.7725488165381,3.14411334362465,121.682625,111.564425,221.067125,209.1011,1032,1000
"ZNF85",5.14323028610875e-11,102.78013624031,70.570252,2.62673100083863,2.20775166777662,58.875475,25.33025,125.6531,96.617025,1032,1000
"ZKSCAN1",5.14562836784194e-11,662.645556589147,804.0597234,13.5190640794829,12.5474479665031,384.766,543.7059,829.494575,969.6735,1032,1000
"ZNF862",5.14317477495752e-11,442.437024224806,332.7188148,8.14701932697881,6.57802899443322,261.00055,188.877,565.17225,415.9436,1032,1000
"ZNF684",5.1429305258921e-11,60.6432282945736,47.954379,1.11615858328524,0.892099877826512,39.338925,30.587375,71.0391,57.538075,1032,1000
"ZNF430",2.34849587266162e-06,120.929761821705,137.7059326,2.30133382689376,2.70503958923088,78.277425,86.66465,149.996025,169.9369,1032,1000
"ZFP30",0.00201586574750112,194.304854844961,211.6431178,3.28041918795882,4.58162074452385,130.248,120.37735,233.90565,261.4444,1032,1000
"ZNF549",0.183831269798807,158.962659302326,153.3756116,2.54407109904895,3.36627880069742,101.27575,73.390825,203.61625,206.57615,1032,1000
"ZNF211",1.08830771049506e-05,230.033047093023,206.6963926,3.8051316701057,3.67147130817286,143.4113,127.117775,290.3424,257.83435,1032,1000
"ZNF205",5.14330800172047e-11,304.137414728682,258.6022076,4.1766237039025,3.42230634344752,217.90795,187.440275,359.252875,308.096425,1032,1000
"ZNF45",1.64065672159097e-09,229.728976937984,256.1510672,2.59515194365925,3.52516737026414,177.166525,181.583575,271.2118,309.095225,1032,1000
"ZNF133",5.14126519135516e-11,290.305590310077,382.1672814,4.28717986602487,5.1131762188283,197.12565,269.5739,347.0448,443.960625,1032,1000
"ZNF436",5.14126519135516e-11,427.701379457364,764.8953912,5.42923452157293,11.9698085108925,306.56645,506.949475,496.225125,931.971825,1032,1000
"ZNF484",2.5200552533633e-08,116.737831395349,98.1979146,2.54022557285287,2.11238133720301,67.99795,67.310575,135.393525,113.2056,1032,1000
"ZNF780B",1.98281715313442e-06,248.245725775194,287.931597,3.7177908091161,7.53289146185371,164.092375,164.719125,300.9423,330.59325,1032,1000
"ZNF557",5.14319697941801e-11,148.41806375969,180.451739,1.76646105303928,2.75085758822246,107.17305,121.7905,178.648175,219.775875,1032,1000
"ZNF337",5.16209297529713e-11,452.400109302326,538.1982422,7.59335080264376,8.78779631116744,284.705825,354.78535,570.51545,661.09605,1032,1000
"ZNF317",5.14126519135516e-11,591.895425387597,760.8305896,4.83282985052817,8.80825263713174,486.898025,582.382825,684.06015,899.3364,1032,1000
"ZNF426",5.14315257049702e-11,100.26609496124,123.3071102,1.39772714243172,2.15426690916479,71.067725,78.1579,125.352725,155.78515,1032,1000
