"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-T4a-T1","p-adj-T4a-T2","p-adj-T4a-T3","p-adj-T4a-T4","p-adj-T4b-T1","p-adj-T4b-T2","p-adj-T4b-T3","p-adj-T4b-T4","p-adj-T4b-T4a","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","p-adj-TX-T4a","p-adj-TX-T4b","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4a","mean-T4b","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4a","SEM-T4b","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4a","Q1-T4b","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4a","Q3-T4b","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.997791145276672,0.738491705606756,0.726816758251071,0.743438584559182,0.835632329032282,0.998965663238257,0.913087919168965,0.962985469077656,0.996545979557793,0.981950643648582,0.930325943191227,0.964747960493414,0.995639420006958,0.999506143093678,0.988593844776473,0.999291001514891,0.977656277324836,0.767551972312686,0.709268047877147,0.882482713291303,0.871454587136573,43.5036771428571,40.1966344370861,34.5081644444444,31.152468,36.760387012987,22.8758,48.329425,5.94614902969527,2.86220012353054,2.47438406472255,5.04412196967824,2.36079364388025,5.30074270299298,10.8672754663501,16.9904,16.8892,14.6461,13.6157,15.9417,19.45475,24.4113,70.65695,53.65955,47.856,43.4986,49.2244,28.09285,61.615825,71.5563227272727,37.6604419230769,51.77685,28.38575,32.69825,89.531425,16.182575,52.28895,8.69174001825681,1.37530345560673,0.526304881074096,0.54823246296366,-0.926029320104674,-0.867140336643334,"HNSC"
"ZNF416",0.998504530532869,0.996348491411996,0.999998844208037,0.998158410110492,0.999993929825136,0.99999976507423,0.938071074926602,0.97507312733566,0.992454443052842,0.999971811002224,0.614669698734895,0.690096900685986,0.711140291222709,0.777906879004597,0.793675115161297,0.999999377689828,0.999056765824417,0.99819450792584,0.998262588581198,0.982809033578058,0.643843804627132,153.898105714286,147.70900794702,146.556620740741,144.934044,141.343772077922,89.3973,156.832191666667,8.38772754693702,5.3764235551305,5.6840452043653,8.86283435372507,5.05259058563349,24.7102979245496,17.2922608451289,117.6933,110.941,102.7603,100.353,100.1952,64.7543,128.055425,185.03335,173.26975,170.15825,171.875,166.2092,103.2971,168.413375,162.653415909091,146.052340769231,157.04165,135.6883,115.9805,195.4433,105.8172,173.39775,8.39018553256519,2.75354932029258,0.897935896107225,0.864027472966566,-0.155315640643991,-0.210850909254996,"HNSC"
"ZNF586",0.748800111179475,0.828715291414191,0.999993511720461,0.999801068977393,0.979372734780622,0.990639472355383,0.992577849062787,0.851024346124953,0.940041365681345,0.999998577270234,0.802007809285931,0.961463213565977,0.952932854931584,0.886295641272325,0.886469334063517,0.83696501684489,0.998014889123501,0.995827678588241,0.955383769026892,0.942255112874906,0.996353876802695,145.110588571429,128.641069536424,130.078074074074,139.43338,137.405727272727,95.6126,118.928058333333,11.29825489092,5.01826402221653,5.06586382356737,11.349737360741,4.47690484031618,34.2419043226279,9.70902245532987,101.48985,92.28585,93.2613,97.6724,96.45375,69.8318,99.261825,155.50525,149.70285,154.26135,161.6693,177.225925,128.0195,148.14135,179.403038636364,133.154155769231,167.8331,124.84825,155.24635,201.2913,95.37845,163.322825,7.43766249095348,2.58044039679562,0.742206803080544,0.743883357931183,-0.43010687002333,-0.426851672649152,"HNSC"
"ZNF446",0.522577587463468,0.659624285797942,0.999947784399078,0.798298588969822,0.999999860679004,0.999969989530981,0.274734761898483,0.994816099324868,0.967414818155735,0.999984356771933,0.62351157824598,0.911557322466548,0.89031758288247,0.939165215869597,0.948621345568416,1,0.912273229232532,0.947185977382653,0.942365327408245,0.80150583140111,0.698955213291934,225.600605714286,191.773183443709,195.183142222222,189.476692,184.414718181818,125.9218,225.585333333333,22.8790191083557,7.22181627158942,10.1691338682188,14.2756243333113,6.45916828997974,15.6313235930295,28.2162581570431,130.9523,134.27995,120.27045,123.1291,127.953225,110.3336,165.222375,264.0359,225.75725,235.63125,251.3614,216.515775,134.72075,252.505225,178.100895454545,193.474028461538,158.5844,168.4125,134.052975,192.9788,129.591175,228.654475,12.2790479620207,4.33226483011175,1.08631698884926,1.0619739394291,0.119445145049543,0.0867483632063659,"HNSC"
"ZNF8",0.872405921577749,0.93366927183787,0.999977038847826,0.999895341108942,0.993202933509785,0.998151353355324,0.579280508687298,0.983341649624717,0.942232473003955,0.921011139405749,0.999908767940064,0.99025735258519,0.993458384952028,0.999291923265479,0.972985498476584,0.863617698862973,0.99556159073666,0.990395820811545,0.960758744018754,0.999904008492053,0.961959096105148,83.9728571428571,92.5541920529801,91.4505488888889,87.129504,95.9621837662338,76.8888333333333,99.5222,6.60886720943824,3.09080742577074,2.9466305717867,5.82454659825261,2.94480799792637,17.2458788130511,13.5723330830172,57.2444,67.6682,68.5656,72.447,67.171975,63.01335,63.25195,100.70715,108.53275,111.7789,102.2626,122.395825,92.6961,121.9646,64.4756386363636,92.6134288461539,64.90525,86.2866,55.49175,74.3158,66.3946,112.07605,2.02739416502112,1.59601226707676,1.43640963943738,1.32942404505028,0.522467239765056,0.410801353006353,"HNSC"
"ZNF264",0.99999999980827,0.904256563325055,0.45820752819674,0.466068810954108,0.216539102887317,0.855941557972586,0.970722089693066,0.714658658398873,0.999455919181103,0.718143553682418,0.635985164217957,0.592472063575683,0.832338109903734,0.982779276586086,0.784614477850009,0.4032020798173,0.257908425137122,0.741843889536791,0.998971440354778,0.626283089143557,0.998712237658971,686.294051428571,687.930500662252,632.595747407407,564.71486,645.087272727273,443.6057,523.128316666667,37.426994965349,20.7045608632745,22.2905116396965,29.9204150259796,18.1834677412804,81.67642335254,81.9250335669916,578.8829,512.5473,471.2647,430.7774,483.215425,377.42835,349.8518,773.5974,798.0223,788.7566,675.485,795.56655,518.15155,567.310075,674.428656818182,649.597953076923,685.3849,629.32455,552.05065,791.754125,487.484425,783.531425,25.5063399364529,10.6372731908769,0.963182608730766,0.918206032843735,-0.0541187519222147,-0.123110183937991,"HNSC"
"ZNF213",0.999999798415774,0.846505398045552,0.469565377236425,0.758703497403552,0.622702187784269,0.995690172656869,0.987609486766315,0.93629492534687,0.974582809120761,0.920613396279118,0.999126924487634,0.998423774378493,0.969764099516743,0.927412303707896,0.990052329951218,0.765539115191761,0.70685058664841,0.984837869174471,0.999946918817176,0.91086315323328,0.89282336749692,518.71594,514.898664900662,474.8313,450.503452,493.258668181818,569.286133333333,432.2681,25.2205899689307,16.0351485681801,16.2219656150503,24.5382342917043,12.8480057336787,83.3107440928706,36.4460722923152,404.8165,379.5185,343.7698,363.898,386.980425,487.23045,324.12395,597.89015,617.4886,561.6637,508.3435,574.9782,622.7903,499.1677,513.7374,493.380626730769,520.21375,474.96975,430.41375,589.2388,378.335525,575.3954,21.4530887368003,7.75329035612036,0.960375138603437,0.913028058178008,-0.0583300381305492,-0.131268898673179,"HNSC"
"ZNF343",0.724115355027054,0.956017044797048,0.980153501740351,0.999999535278911,0.748615775624958,0.948818079405825,0.999999988236993,0.202505925959489,0.757211034183438,0.999989607429873,0.205931430913983,0.435289867262824,0.331487693723959,0.19744243818911,0.183875176916414,0.996606582971777,0.65897681346233,0.853219489452377,0.999102574318587,0.991246180130801,0.147572856678953,270.520505714286,240.920147019868,251.200617777778,274.092828,269.138155844156,122.790633333333,291.388308333333,19.203874180131,6.51681995689977,9.63920353264556,17.560534479058,9.15010897266642,29.1742399503588,31.3412608196048,202.25515,191.2889,179.67385,201.9737,196.165475,97.6268,227.655625,315.58885,280.9878,280.5916,326.3818,309.867575,148.15685,294.393325,215.188952272727,256.301050576923,212.0644,233.1858,188.744,253.495775,191.4902,290.073325,6.9091146421267,4.54112694499074,1.19105115699477,1.09959898974085,0.252235379917098,0.136977486484665,"HNSC"
"ZNF302",0.958642680437193,0.168302367425487,0.190313482301145,0.999999994405184,0.987444225021535,0.362978155717914,0.156834319706545,0.158919208139604,1,0.351121436605379,0.775686410734535,0.902021701175351,0.993380622453401,0.803027279206062,0.993321947914252,0.923727097764732,0.511972477159153,0.077625542257109,0.925447926312402,0.0748374375292404,0.463868736069209,268.107985714286,245.039795364238,208.91817037037,266.019896,208.932703896104,158.612933333333,314.979266666667,34.0838799302577,10.2576183206238,9.753281293118,34.4407801637523,7.91718789341631,59.9582819895171,50.6229482161864,156.7709,152.64715,124.8457,167.2154,139.242425,98.98715,213.80655,304.8695,305.8367,259.59965,337.5291,268.09235,193.8867,410.405675,277.347318181818,228.691070192308,209.65525,205.3342,161.8763,354.899225,142.664775,282.725825,26.4625849745424,5.58665258741061,0.824565644591475,0.979389736245575,-0.278293742089761,-0.0300450178372111,"HNSC"
"ZNF268",0.999355332126096,0.999990652098523,0.937365834072369,0.91478134203872,0.563897814903209,0.900716628639798,0.999946241742053,0.885257625800557,0.99999979748892,0.918485517040219,0.98148584740698,0.952936883190701,0.986199295531924,0.99989563246586,0.988132643387497,0.999999990271899,0.999826542542629,0.999999995575773,0.986326964503044,0.999999873609658,0.990014710477615,268.545868571429,280.861035761589,262.499282962963,225.10908,260.52233961039,195.798233333333,265.167083333333,25.7985356760717,12.2488951501614,12.9562776703532,19.4981452965036,11.3879678815792,32.8873702423049,39.0658964502828,168.7877,167.2402,157.7275,163.6541,153.663675,173.94605,167.3056,375.32055,374.95075,350.99165,252.2145,342.564925,228.0092,322.852875,296.294975,265.087921538462,319.4538,243.37145,239.28445,348.325775,158.7839,356.88805,14.33388086606,6.33968506454534,0.894675724886868,0.761836140311995,-0.160563222420904,-0.392447366172031,"HNSC"
