"gene","Basal-Atypical","Classical-Atypical","Classical-Basal","Mesenchymal-Atypical","Mesenchymal-Basal","Mesenchymal-Classical","mean-Atypical","mean-Basal","mean-Classical","mean-Mesenchymal","SEM-Atypical","SEM-Basal","SEM-Classical","SEM-Mesenchymal","Q1-Atypical","Q1-Basal","Q1-Classical","Q1-Mesenchymal","Q3-Atypical","Q3-Basal","Q3-Classical","Q3-Mesenchymal","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",2.27035734656766e-09,6.50983288386087e-07,0.998365851422208,0.966867522637377,4.21860324451018e-11,3.96506631972215e-08,50.0326264705882,22.3844310344828,23.1643224489796,52.07362,4.57880199292372,2.02127119459228,2.35791717161015,3.02558314011553,21.583825,9.5567,11.1016,30.8139,66.04585,27.48935,28.611,65.46715,71.5563227272727,37.6604419230769,51.77685,28.38575,32.69825,89.531425,16.182575,52.28895,8.69174001825681,1.37530345560673,0.526304881074096,0.54823246296366,-0.926029320104674,-0.867140336643334,"HNSC"
"ZNF416",0.0500532098787726,0.107558117625121,2.18647346044154e-05,0.561459618266654,0.000401750044549676,0.672707169137299,144.294742647059,168.830595402299,119.342108163265,131.492369333333,7.05306039400771,7.20689882627062,8.95504946457443,5.06142714693882,109.75275,116.9832,80.4062,97.9015,165.910775,209.21105,132.0919,160.6483,162.653415909091,146.052340769231,157.04165,135.6883,115.9805,195.4433,105.8172,173.39775,8.39018553256519,2.75354932029258,0.897935896107225,0.864027472966566,-0.155315640643991,-0.210850909254996,"HNSC"
"ZNF586",0.00342138511372259,0.999473278707613,0.0145609441951493,0.121716874606498,0.623616892355433,0.229079189047989,144.979547058824,113.811708045977,143.795697959184,124.37008,7.7540227570577,4.97731708000086,10.6575529787762,4.70146191968314,109.373925,86.28515,98.6991,97.45045,169.1124,135.1866,181.8531,143.24465,179.403038636364,133.154155769231,167.8331,124.84825,155.24635,201.2913,95.37845,163.322825,7.43766249095348,2.58044039679562,0.742206803080544,0.743883357931183,-0.43010687002333,-0.426851672649152,"HNSC"
"ZNF446",1.64071969998014e-05,0.514798352021048,0.0213150816857333,0.0272048330192731,0.216749399864038,0.65542978707926,203.703926470588,146.831967816092,184.763510204082,169.185172,10.8937289819705,6.2432354226896,11.417904069448,7.85647239024392,149.816775,106.29615,118.4765,135.5328,231.508825,170.84015,231.6623,183.43695,178.100895454545,193.474028461538,158.5844,168.4125,134.052975,192.9788,129.591175,228.654475,12.2790479620207,4.33226483011175,1.08631698884926,1.0619739394291,0.119445145049543,0.0867483632063659,"HNSC"
"ZNF8",0.00519099021040215,0.802935628076118,0.161666190114379,0.192315668162437,0.554732215092807,0.806442204997783,105.29035,85.2919724137931,99.0328469387755,92.9440626666667,4.73366403980057,3.71522566979808,6.80832888837987,3.32077767696349,82.468175,63.98575,60.6093,74.44975,125.01955,101.7914,128.6158,111.00085,64.4756386363636,92.6134288461539,64.90525,86.2866,55.49175,74.3158,66.3946,112.07605,2.02739416502112,1.59601226707676,1.43640963943738,1.32942404505028,0.522467239765056,0.410801353006353,"HNSC"
"ZNF264",0.264876056034633,0.00297678179281391,0.181055149651582,0.0575431493263624,0.846614857657914,0.583314247437321,785.438195588235,715.981543678161,630.800581632653,685.689870666667,33.3334520565853,23.1067177670904,37.7374741382055,22.6047105550265,609.74105,562.8855,472.3644,519.35345,900.983675,840.31865,747.8043,802.6283,674.428656818182,649.597953076923,685.3849,629.32455,552.05065,791.754125,487.484425,783.531425,25.5063399364529,10.6372731908769,0.963182608730766,0.918206032843735,-0.0541187519222147,-0.123110183937991,"HNSC"
"ZNF213",0.481936096994776,0.159956717289664,0.808088548084271,0.363263512965161,0.993546621016896,0.918042656986735,580.462348529412,539.955385057471,512.010640816326,532.674210666667,19.0001277340235,19.4173155508285,26.5777220081428,20.3540528135054,474.5838,417.4729,391.1294,412.20895,665.86395,609.1959,548.4133,636.28855,513.7374,493.380626730769,520.21375,474.96975,430.41375,589.2388,378.335525,575.3954,21.4530887368003,7.75329035612036,0.960375138603437,0.913028058178008,-0.0583300381305492,-0.131268898673179,"HNSC"
"ZNF343",0.432982426593086,0.187773834733472,0.00331787043889897,0.82920110181829,0.917188981042624,0.0259826510980965,258.271983823529,232.987188505747,297.188140816327,243.504097333333,11.3165782896902,9.87974147444708,20.7773637473727,10.5232825113107,198.322375,176.84945,191.1082,188.86845,303.009525,263.958,381.3448,276.4393,215.188952272727,256.301050576923,212.0644,233.1858,188.744,253.495775,191.4902,290.073325,6.9091146421267,4.54112694499074,1.19105115699477,1.09959898974085,0.252235379917098,0.136977486484665,"HNSC"
"ZNF302",9.76583258704977e-09,0.0461812320049936,0.020118250515084,0.455333038464797,1.24482791532543e-05,0.547692359539263,252.572591176471,151.26892183908,203.438269387755,227.844288,13.3181483596879,9.55387451382272,16.7810154379303,10.4943536525617,179.5428,107.0738,119.7512,170.20975,291.171225,175.29035,230.7185,258.95435,277.347318181818,228.691070192308,209.65525,205.3342,161.8763,354.899225,142.664775,282.725825,26.4625849745424,5.58665258741061,0.824565644591475,0.979389736245575,-0.278293742089761,-0.0300450178372111,"HNSC"
"ZNF268",0.0876265773899229,0.248856671248569,0.997612976935254,0.529957832977022,0.757969742675486,0.911344885043704,338.347905882353,281.554210344828,286.567146938776,304.646265333333,21.8326681957524,15.2129905421764,20.0122169228901,14.9418261317306,215.83695,177.1279,168.6661,216.79065,459.8652,373.17915,341.9698,393.2536,296.294975,265.087921538462,319.4538,243.37145,239.28445,348.325775,158.7839,356.88805,14.33388086606,6.33968506454534,0.894675724886868,0.761836140311995,-0.160563222420904,-0.392447366172031,"HNSC"
"ZNF184",2.13443093755039e-07,0.00779938214853582,0.293821424590832,0.00203166426030099,0.195180706817617,0.999999756608489,249.347354411765,174.410111494253,200.102969387755,199.971397333333,11.8696696919286,8.30949297628539,13.4528892316872,6.68326682893522,179.448025,134.3219,147.6726,155.73245,290.8184,194.54245,241.2531,218.29815,160.283836363636,199.832361923077,160.77825,182.8766,136.24805,190.5618,143.0707,235.16895,6.46633234984305,3.84142793722522,1.24674057257849,1.13744614088037,0.318161293882767,0.185798233993181,"HNSC"
"ZNF500",9.38933630845185e-09,0.245437264988181,0.00144589396011918,0.00144289172355105,0.065237064001275,0.453501545962277,232.619126470588,173.86181954023,212.313379591837,196.565316,7.7814126144101,5.46462578079012,9.398954104394,6.30869865838654,184.638225,148.23985,165.1014,158.26235,277.093775,198.7036,250.9072,224.59965,181.302470454545,199.146354807692,180.0569,189.4439,144.211775,212.588575,153.518125,235.722625,8.50066213076503,2.84669567058284,1.0984205251501,1.05213352001506,0.135430489133339,0.0733178001058735,"HNSC"
"ZNF419",0.997704125088721,0.652410218433073,0.721014535603348,0.999913156366697,0.999298506731105,0.673254619611671,102.626398529412,104.15642183908,113.661916326531,103.155661333333,6.10218729301198,5.73994218037338,9.06951440145644,4.21999324465063,68.830275,69.14875,76.6106,79.1031,125.9129,124.5167,147.3642,118.74995,101.536536363636,123.608520192308,97.0456,109.6768,84.87525,116.090525,79.2643,157.3051,4.95912416786634,2.89292963356239,1.21737971984414,1.13015736931917,0.283779237476753,0.176523675409267,"HNSC"
"ZNF175",8.56424088313545e-07,9.82354688344733e-05,0.990850744400417,0.747202228707371,6.40964421890766e-05,0.00249619658217948,130.065116176471,88.4742505747126,91.0001020408163,122.067154666667,7.37278411136757,3.88473015822717,7.52234542276715,4.81616880820111,93.192475,65.78865,55.7491,94.30045,160.6221,112.1299,121.6636,148.26625,111.374827272727,102.788986153846,111.0118,98.2012,78.369525,139.6281,68.40385,131.572125,6.04274597313672,2.23429370042515,0.922910397895777,0.884601456782072,-0.11573750637311,-0.176900476785388,"HNSC"
"ZNF14",6.76148748102179e-09,0.698904575607887,4.20840438478676e-05,0.000635739378917477,0.0981949967945775,0.0670521929317727,115.183125,59.3226287356322,104.057214285714,79.238816,7.92537054730787,4.9951176607722,9.45745361506946,5.0230063802651,79.03445,22.1677,50.1374,50.06115,154.170275,81.37995,148.9629,102.21545,105.196097727273,89.6106478846154,103.9026,78.13195,73.3445,130.921725,37.252625,126.990475,7.25887789313302,2.92158253783471,0.851843840414465,0.751973001638073,-0.23133911432881,-0.41124722966275,"HNSC"
"ZNF85",0.232351136368619,0.999964456338602,0.291904471578619,0.23928971253659,0.00058547420936228,0.343682109661677,40.8329294117647,28.5631310344828,41.1793326530612,53.4184733333333,5.72844557090868,3.38670403051367,6.9249816366013,4.06469795826656,15.8048,7.90935,9.8665,27.5697,41.25765,37.3738,53.6876,65.62435,58.3213931818182,42.0730878846154,59.26165,28.72745,40.5563,72.608425,13.80615,55.551025,3.32341980256073,1.80649766690485,0.721400597435175,0.484756161868595,-0.471127476978947,-1.04466885794619,"HNSC"
"ZKSCAN1",4.58300461037009e-06,0.834215443292135,0.00147089032983516,0.0310826820958249,0.109345548037966,0.348167106467801,1001.24479264706,667.066337931034,936.839532653061,812.573937333333,58.534273737833,32.5682069368764,60.928566642692,49.3464448117001,662.9081,437.97075,686.7372,585.27285,1219.245775,866.1997,1135.8322,939.19725,944.602509090909,705.7459625,930.03735,652.7915,592.986675,1246.80485,406.43785,931.76635,70.1430778072102,18.6470873522204,0.747135388385972,0.701898154950444,-0.420558397448989,-0.510666383456171,"HNSC"
"ZNF862",4.87831997020294e-13,1.70870753533059e-05,0.108340463263877,0.000125662497845846,0.00172937143359464,0.787355444254484,300.641448529412,118.10354137931,174.949248979592,198.998354666667,20.9090825158474,9.69143657811705,16.4844670087317,19.3859827700008,174.577025,59.861,69.7263,115.72265,389.21765,142.85265,251.0846,225.1063,291.122338636364,198.895595192308,268.13295,167.22595,211.9536,346.110275,98.270575,255.37815,17.693211777959,6.28899582157446,0.683202794137846,0.623668034831228,-0.549614219635384,-0.681149777243373,"HNSC"
"ZNF684",0.00201113115685603,0.00534888880009277,0.996157127497987,0.916951850996428,0.0142663025612634,0.026894772092848,42.0931058823529,29.9192482758621,29.096187755102,39.84358,2.56812194439891,1.35230654003819,1.78116539272898,3.49540121349737,25.192075,21.203,21.697,27.9257,50.883575,33.06725,33.0704,41.97515,33.3108295454545,37.9179798076923,32.8615,34.0129,23.89235,41.305775,25.90385,44.510225,1.88290788609305,0.890799660912107,1.13830788140389,1.03503796235717,0.186890820298246,0.0496836827971018,"HNSC"
"ZNF430",5.81567196283883e-05,0.884032576779952,0.0057380129861706,0.00504046971701144,0.711420590367824,0.0985753339227122,156.113607352941,110.684136781609,147.561657142857,121.136706666667,9.60866066932632,5.10756243844058,11.5626417298752,4.98060305287714,106.765075,85.44875,100.9191,89.00395,203.27985,131.00445,181.4589,153.8131,169.131693181818,119.383315961538,169.96145,113.40585,113.996225,211.699375,75.695225,157.228625,11.5432952115282,3.20429893398487,0.705860112410749,0.667244542806619,-0.502545796841145,-0.583712493842749,"HNSC"
"ZFP30",3.68280095308648e-09,0.00462684822910608,0.107663499129378,0.00037005466162332,0.106658366058843,0.994071076418832,166.918785294118,84.9738206896552,116.971718367347,113.253068,13.242737049834,5.78996928057484,12.5391585801501,7.27000418939546,108.304525,37.5502,53.3595,70.23505,208.455425,120.85595,161.4956,149.2612,121.582865909091,113.951864423077,118.24825,103.85215,87.3126,152.527525,59.581875,154.59765,6.23930559028684,3.4180852082455,0.93723620981496,0.878255280733541,-0.0935154015577079,-0.187287748842291,"HNSC"
"ZNF549",0.994190476784247,0.993778556206903,0.999972018160813,0.282457463007401,0.137382435189326,0.233113192484687,92.9475735294118,90.4900827586207,90.0357448979592,110.767278666667,8.53402593045945,5.3652079708713,9.79534511794602,6.06196129728173,28.557025,49.84565,46.0888,72.58935,132.12655,126.4038,121.167,144.29095,94.3184659090909,93.3680369230769,82.66355,87.28855,60.8538,126.96195,47.340075,127.7553,6.65875603085324,2.63582850805034,0.989923192909753,1.05594969003872,-0.0146115025303455,0.0785411001692077,"HNSC"
"ZNF211",0.167917092047265,0.100302094191177,0.948019280325208,0.897299983609043,0.515325385038216,0.320508571665414,168.750608823529,145.437602298851,138.650642857143,160.576374666667,9.07636714325774,6.91934328024172,9.60502653602998,8.37950881939106,118.204525,108.97005,94.1416,115.0899,203.832175,165.7689,163.5827,196.1412,152.716022727273,164.989179038462,149.51195,153.27945,115.06135,178.827,112.7532,204.33175,7.29684612098897,3.37973878138128,1.08036587184507,1.02519865468947,0.111519971748169,0.0359034905758219,"HNSC"
"ZNF205",0.161257349806249,0.984100637997351,0.432424122767865,0.979467654797922,0.0537741343434095,0.887404592444862,288.182979411765,324.188214942529,295.371246938776,281.166188,12.2786299781037,13.0328372892082,14.3091372811792,11.2065666462416,230.38385,254.0069,231.0618,225.41995,335.516375,382.3757,353.1867,316.8881,284.186747727273,359.0727575,258.5792,307.154,232.1586,315.761675,243.589,398.197125,16.2936656784148,9.8161618031464,1.26350985882211,1.18785269658194,0.337436921281716,0.248355941284361,"HNSC"
"ZNF45",1.21608279002317e-11,1.57182029170144e-07,0.908686795375608,0.00334328688992536,0.000740720407019002,0.0387511814124918,264.986229411765,181.495573563218,189.856302040816,224.310153333333,11.4372024580286,5.67641696407761,11.7576516252858,5.75749252594581,201.152775,147.1693,132.2921,187.90965,305.997675,212.88025,233.7605,249.86935,190.157031818182,207.334619230769,193.88415,195.0109,155.741875,227.45565,151.787325,241.160075,7.30887246877722,4.71720743186201,1.09033369551651,1.00581146009099,0.124769737928935,0.00835989651128495,"HNSC"
"ZNF133",0.101762356533789,0.706337209515399,0.775681520394871,0.999934206720915,0.0761523354063668,0.661175895045578,311.256060294118,370.240756321839,343.184942857143,309.746558666667,16.6897627186856,20.2367326269486,26.3193230312502,13.2421453064976,231.13085,256.957,238.6552,214.6964,371.782525,434.07025,360.5924,388.5824,270.862347727273,391.07194,259.6112,353.8567,224.721625,300.2678,262.4427,471.625875,10.0752322029403,7.99732378174044,1.44380325756374,1.36302555513784,0.529874164195182,0.446812611244374,"HNSC"
"ZNF436",0.00729999029554995,0.0148803613394389,0.995933635471149,0.247336770771895,0.531589669909241,0.514215700689499,901.482195588235,761.959017241379,751.230146938776,818.571474666667,37.4810342059835,23.1973413178867,37.7308891107168,32.0150644271705,684.267425,609.01035,533.4727,627.9789,1077.4755,909.4452,935.5245,1007.1841,814.266284090909,746.716577115385,827.0278,717.3822,576.0617,1034.6425,535.934925,929.02225,54.3749957552003,12.9478161650809,0.91704223999531,0.867422110840772,-0.124939907382987,-0.205193876503307,"HNSC"
"ZNF484",0.0730315238091142,0.983198406728166,0.265020856968883,0.999848734005002,0.0754277666243348,0.990119352050852,107.556525,90.7292885057471,104.627279591837,107.0207,5.4177213661481,4.61529504947358,5.40026529575308,5.01674550339575,80.018475,66.04525,79.1955,77.8671,125.705975,108.22395,130.6568,123.4653,51.2951454545455,88.3934838461538,50.63495,80.4634,37.798675,61.615925,58.745025,111.139,3.11948018144797,1.95759596900424,1.72323293096971,1.58908816933758,0.785117725150709,0.668199173734377,"HNSC"
"ZNF780B",3.69260177990327e-13,0.00107909446362908,0.00331710537259089,2.0608281681822e-05,0.00420977335445893,0.968147960135826,206.742020588235,105.367314942529,152.675295918367,146.270409333333,13.2279317127601,4.18306761069644,13.0045186813035,7.00644636142315,150.687,74.18525,94.1496,109.28335,235.874,124.8599,183.8698,178.85725,159.89025,151.403623076923,148.3908,129.83515,123.189075,196.82725,98.0068,185.85145,8.91079578625616,3.78543072921063,0.946922173659264,0.874954175056675,-0.0786822376095068,-0.192720635827787,"HNSC"
"ZNF557",9.15993870753695e-08,0.143573572580325,0.0136628544286763,0.000276328963668693,0.380929297278877,0.388121133397823,185.253227941176,125.314968965517,159.81037755102,141.310366666667,8.22055292443926,4.15484605924624,12.7750712997788,7.19883167332867,137.422875,100.5862,99.6745,104.50575,213.7415,150.4051,206.6906,176.49355,151.190952272727,151.3886075,152.8604,139.57125,122.458075,175.48625,110.73935,178.682425,6.38469819898228,2.74484335928074,1.00130732179606,0.913063487992966,0.00188483489741668,-0.131212916355696,"HNSC"
"ZNF337",0.000316395247025314,0.545793385156613,0.0955312435702019,0.000802735092205298,0.999564156960815,0.135318373645629,368.714032352941,263.994417241379,329.441085714286,266.647902666667,26.5491563461687,12.992724457862,26.7924933979204,11.1104699320262,248.6666,188.4839,219.0839,206.1814,433.101825,316.77105,384.773,328.01995,264.578918181818,353.212499423077,253.2307,316.77105,205.022225,309.835075,229.205,432.079975,10.8360611902416,8.11944931711064,1.3349986531442,1.25091882619287,0.416838286404842,0.32298817411717,"HNSC"
"ZNF317",0.0777037419434172,0.807859024409711,0.598680612445896,0.987272981883415,0.148905498375748,0.929200871424444,856.216391176471,730.202593103448,802.068414285714,838.210877333333,29.2252547899646,27.4395798452551,34.3597669208909,54.3832205053315,701.7158,634.04875,622.2082,697.95565,979.97425,797.2948,976.5733,864.0243,645.866459090909,764.044533269231,666.80885,727.6174,617.34375,710.44035,611.75405,849.2585,16.2786352628162,14.5040395013779,1.18297602006561,1.09119337573279,0.242420829313316,0.125906791385958,"HNSC"
"ZNF426",0.196554663760246,0.451695490220066,0.00508332557342694,0.588406221599916,0.00460945299567173,0.984144771967453,179.598629411765,224.602140229885,140.7629,150.000912,16.5397733292205,20.971213225655,10.5701379720133,10.409417594485,95.501825,104.03025,86.0032,93.66335,212.9725,293.7985,198.5485,178.8826,335.023988636364,159.5786725,261.13065,131.0523,178.05815,387.027125,76.706025,196.6638,36.4880171997655,6.23420886750218,0.476320137998259,0.501864871090391,-1.06999655022478,-0.994629129219053,"HNSC"
"ZNF331",1.95887436249542e-06,0.0892474358779134,0.105884950371827,0.936515101706539,3.72933883774351e-08,0.0190349236537904,250.857442647059,126.425688505747,186.157528571429,265.245936,16.416067080091,10.6648082234927,27.1612859526237,19.5296535903832,145.196,50.75825,63.0021,149.7962,325.890825,173.21765,247.1396,305.8051,381.668879545455,202.807558461538,260.1979,170.661,183.73425,468.880875,84.53015,272.03605,52.3858752607669,6.79485908859976,0.531370434768144,0.655889228929211,-0.91221013578302,-0.608475911703379,"HNSC"
"ZNF227",1.8994361639102e-11,0.278064971512311,2.10739456096842e-05,0.0029001525965402,0.0011592567367712,0.51848525564333,251.923155882353,168.936132183908,228.30166122449,210.609894666667,10.2732274188311,5.70281497424255,14.0529025754837,5.50244541904743,195.038775,130.7445,172.1099,180.8601,294.353825,196.47185,278.2268,233.83535,175.286279545455,212.744083846154,179.22905,193.92605,142.59005,212.189325,149.43005,251.668225,7.6450788451229,4.56514900909038,1.21369501593527,1.08200121576274,0.279405938664587,0.113702120212679,"HNSC"
"ZNF141",7.48168194064647e-12,0.000266164738996655,0.0780600792567465,0.000382283708605047,0.00509632699366325,0.951314569457535,55.8263573529412,31.2739528735632,40.0258510204082,42.013652,3.21690794448684,1.73513948169761,3.265311708798,1.85911069626794,36.990675,20.61915,25.4417,29.9766,73.7709,39.0888,51.8403,50.644,36.1644545454545,40.9327596153846,35.0804,36.4408,28.54075,45.127725,24.883125,51.2281,1.90939348553545,1.03136872915815,1.13185060109055,1.03877948940149,0.178683541835797,0.0548894335389631,"HNSC"
"ZNF304",0.964445703138172,0.205327351549482,0.3652474576124,0.997703442336156,0.902259892900085,0.134084239072149,295.809266176471,287.587101149425,256.542218367347,299.141438666667,16.5076497811609,10.2705960131087,16.7114333334555,9.02092960789906,219.4559,229.62255,181.3842,250.0945,369.598875,317.7229,307.821,334.59855,268.747963636364,262.859564423077,264.9392,264.3629,222.7308,329.640475,194.506025,318.845425,10.9769259815251,4.80792403176186,0.978089511326478,0.997824783950431,-0.0319615932706667,-0.00314159146773615,"HNSC"
"ZNF132",1.5200152247985e-10,0.00060346268684397,0.132740828404448,0.0242372136046235,0.000291967801225645,0.488675983055617,54.0557514705882,26.125224137931,35.7608163265306,42.224204,4.60810083218797,1.40643848309506,3.66419679078302,2.1652314906858,30.664025,18.56405,17.2338,29.74835,64.995175,30.6802,46.3746,47.59735,87.395875,39.2244692307692,87.39715,31.14015,55.73745,111.24535,21.0196,47.502375,6.25824741982443,1.27105315209125,0.448813736698319,0.356306241107405,-1.15581126215977,-1.48881034075703,"HNSC"
"ZNF20",7.38208595219003e-06,0.0201505504693125,0.476541110580559,0.00198758659417742,0.596540529946967,0.987836169640286,88.8868941176471,64.9759942528736,72.6289102040816,70.8361253333333,3.798877641412,2.75293118395337,4.83080585270275,3.46637637544895,66.180425,48.77275,52.2947,52.74995,107.559025,80.1919,84.3369,85.50035,98.6546363636364,80.8156157692308,96.2369,78.39365,64.1678,115.1669,58.7779,99.560125,6.92910548428189,1.5232155899657,0.819177068083736,0.814590349439768,-0.28775276556622,-0.295853372244857,"HNSC"
"ZNF670",0.0003970940863397,0.978519873016992,0.000339733352340499,0.05790721598323,0.458883293082195,0.0357112353288697,68.2931470588235,49.8081310344828,70.4027775510204,56.3374466666667,4.65871927297581,2.0269297307032,4.29528928567248,2.89111591155901,46.407325,35.02295,51.5901,42.25645,86.8227,62.3486,83.5681,63.9692,46.4290613636364,62.6298144230769,43.3508,56.5807,36.245525,54.86045,41.935775,74.592575,2.03849791442534,1.48588058509998,1.3489356145401,1.30518237264364,0.431821489279155,0.384251408117552,"HNSC"
"ZFP37",1.90092670493414e-08,0.555684525459104,0.000236991255643471,0.0221477218640445,0.00758389400126858,0.572267752114669,75.1739147058824,38.0844747126437,65.9681510204082,57.1230186666667,5.42762083826308,2.93416286042502,6.50608335977539,3.96008293428156,42.014075,19.0253,36.7069,40.3578,103.88575,48.22615,89.0575,66.43725,41.2551454545455,56.4788698076923,37.8143,47.4626,24.501275,54.110225,29.191825,73.71625,3.04012736906394,1.80698855040812,1.36901395414834,1.25514950693256,0.453137151839066,0.3278592208004,"HNSC"
