"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZNF208",0.90728827832207,0.346208169541172,0.0279052009506335,4.644225,7.25066706586826,13.546835971223,1.16143900899918,0.774833588443505,3.37426066788532,1.7965,1.6167,1.9693,4.5564,7.724425,9.39145
"ZNF714",0.291681919399032,0.349572455911262,0.981994547861635,86.6289125,119.32265239521,117.762267625899,14.6395974049092,4.70569145265875,7.25480345922646,44.181775,60.736625,54.2944,114.54275,155.850875,158.19765
"ZNF394",0.953251835390415,0.979980118937414,0.425414953980758,485.29699375,503.67052754491,472.979623021583,24.2365368958959,14.4085794204928,17.0986302819621,425.038875,376.0042,364.4832,551.97425,563.78815,522.10345
"ZNF333",0.999657161318451,0.932321877020273,0.659856918931296,110.55119375,110.234506586826,105.880046043165,10.897058539087,2.74235626016129,4.15797206404483,85.2255,77.16735,78.45065,115.0531,132.62795,124.73825
"ZNF382",0.707867345452109,0.357276000020127,0.257378320754408,11.402975,9.7383494011976,8.43327482014388,4.03222081490151,0.446936236245153,0.587750487825402,3.505525,4.509475,3.57555,11.2482,12.75815,10.71815
"ZNF577",0.946212774401243,0.485507963366499,0.0725959853025709,60.6805625,57.3738017964072,48.3247848920863,10.2207637634616,2.31622302405099,3.12318725379502,34.981525,29.002725,22.54685,73.350675,74.18615,62.3725
"ZNF75A",0.638736387548456,0.254002344102,0.154395821614973,251.46501875,224.509114670659,202.716010791367,24.3211815185536,6.59811000015727,9.21868286818825,183.659525,138.738875,125.21115,292.131925,276.924125,258.748
"ZNF496",0.515972270921774,0.754302226217682,0.633561436271602,252.6264625,294.011024550898,280.463230935252,30.3490981751186,8.44293393154698,11.1828743058751,153.92205,186.438875,179.6927,320.439825,355.637375,351.9897
"ZNF2",0.984923493144142,0.940859316345033,0.401062038508389,101.10645625,102.594615269461,98.0308100719424,10.4792930608731,2.02492242620925,2.43742804808203,70.98625,79.7424,78.1321,129.853875,121.458975,113.15205
"ZNF589",0.720433195440894,0.86733276833991,0.00311520407283417,245.5442125,280.702541017964,221.662307913669,32.2315418023581,10.6323272192404,11.5756050251346,179.594225,153.601025,125.3573,246.2268,354.7512,298.74445
"PRDM9",0.963394794821329,0.907664476560288,0.900032177110522,0.9122125,0.705244910179641,0.568031654676259,0.379453552699471,0.184779685122113,0.212503094920726,0,0,0,1.15395,0,0
"ZNF12",0.805658989511338,0.999541943272876,0.220297100451896,636.143975,597.516108982036,637.977597122302,43.637464236028,11.9773200106902,24.8029865383881,508.244425,437.842925,445.1546,780.767425,704.43705,766.9495
"ZNF202",0.449190002978467,0.425780665131302,0.977960059406219,243.95041875,219.61322994012,218.015058273381,25.1928484843851,4.38453108386773,6.14021589230503,165.37775,160.05745,167.22975,301.0238,267.841475,272.74765
"ZNF3",0.973291461611561,0.989700343538699,0.977440047444624,507.45774375,521.37981497006,516.338641007194,45.8096180292323,13.1772795786733,22.2194690539333,356.63765,372.526525,348.63595,621.597575,600.36905,599.89305
"ZNF606",0.840514586343735,0.995048143209333,0.4681819276116,110.1300125,122.246872155689,112.241766906475,19.3902836303819,4.66037294734623,7.02920485431785,59.438675,56.58125,50.23745,168.464675,172.0856,146.31045
"ZNF91",0.95975877197537,0.993224138988227,0.91493567022416,131.12918125,139.151827844311,134.495936690647,24.3330791991396,5.96795768978706,10.9641847777817,69.8263,54.6945,53.2136,154.740725,194.150625,182.01155
"ZNF226",0.939863490795512,0.540675583425807,0.135042757284961,205.6994,196.220162874251,174.858926618705,27.8821822554895,6.73130489547712,6.03666552753703,144.261275,129.620425,118.86355,256.57855,236.734925,214.8995
"ZNF229",0.999531580791988,0.833259324887248,0.255638202945752,53.06641875,54.0219568862275,33.6067669064748,22.2481769371527,8.01416421505703,6.08578392223783,4.013425,5.3857,6.5559,38.112225,44.5118,29.99475
"ZNF180",0.859289792280778,0.838298602808708,0.987708197520098,132.90229375,151.638155988024,153.747628776978,12.5347547603668,3.8987420091722,20.0786959523004,105.584425,107.210025,97.64765,142.976625,184.41815,152.72515
"ZNF641",0.243075995139578,0.228078196907516,0.97292197393985,107.6719875,146.331251796407,148.446958273381,13.5068119568327,5.18686167450538,8.07779238763792,64.531175,83.1734,92.45335,156.0296,190.0866,179.51645
"ZNF610",0.501281640127915,0.547836613754779,0.993820586711908,6.59021875,11.627174251497,11.439335971223,2.23759096904868,0.955968987155667,1.56281661541486,2.9442,3.010375,2.7407,5.79355,11.620575,12.93255
"ZNF528",0.931167748150862,0.919977995288071,0.993887561685657,99.48320625,109.24277994012,110.371213669065,27.368235835203,5.7498854106672,9.14706986049071,25.047475,26.573975,23.58625,156.5208,167.35625,164.2972
"ZNF701",0.381225609001971,0.401816180052663,0.999948063244734,30.581225,43.6849793413174,43.7228014388489,5.37712040735637,2.04900256053447,3.61346024195691,15.4906,18.23155,16.59685,44.905875,56.3132,57.15065
"ZNF283",0.850686147291038,0.345334959044342,0.0611100342973562,61.68266875,58.1385565868263,52.283528057554,4.77446373784288,1.51497861509715,1.71969270462158,48.8596,44.0024,39.802,72.4975,68.31245,59.2357
"ZNF558",0.409839732437325,0.109908020226539,0.10519454708162,370.49375625,325.553431736527,297.281398561151,32.6909668611236,7.6841405997721,11.1653036146539,272.73895,234.361775,215.41575,454.751475,389.904875,344.49155
"ZNF597",0.624889303408417,0.972311955779701,0.00976560075340571,39.87535625,45.4152353293413,38.480628057554,4.72286314384584,1.33148593579187,1.82335493074012,29.549675,30.803875,25.0472,50.80405,57.2094,47.43455
"ZNF30",0.962714287713367,0.930375698598039,0.241428794028709,45.76735,47.5064059880239,43.2948294964029,6.5620950228249,1.47329318591623,1.96133561595978,30.985275,28.870925,26.71985,59.92345,61.561175,54.8704
"ZNF354A",0.0554748038341958,0.0182702279764967,0.411881918624638,314.92,243.906171556886,228.481025899281,36.1786279652677,6.40370847002863,10.5699473986963,235.427175,161.89845,144.3968,369.618125,300.140775,256.9499
"ZNF764",0.979926809492582,0.805748609976168,0.086003592609551,156.8408625,160.212113772455,145.484394964029,17.3743686628509,4.06064130987999,4.4883063866462,119.05465,119.53705,114.9985,160.22705,182.1267,169.0543
"ZNF747",0.580794871409468,0.999045621583969,0.0238950306095199,187.1719125,208.789040419162,186.238602877698,15.4187598631636,5.12439396242536,5.25447026162855,144.29245,158.2426,147.8773,236.098125,244.226925,212.28405
"ZNF778",0.992388280459915,0.984300211585609,0.738831809631499,72.72849375,73.7049179640719,71.2789244604317,7.50888979839046,1.72059842964926,2.95643259920302,57.94295,50.629375,49.69635,83.018725,90.336075,84.6061
"ZNF212",0.417666603904027,0.379023625518957,0.957536274175916,477.97143125,434.189914071856,430.349604316547,40.2889622398562,7.50411064968906,10.9112549872409,393.980875,342.555575,340.89475,575.0675,507.6362,509.18055
"ZNF282",0.922045540859446,0.654444258521208,0.382819462603725,1060.427575,1095.10409461078,1142.26732374101,89.1307596506389,19.7250700982512,28.3380209469745,813.6992,847.756425,898.74975,1162.632075,1288.179175,1340.8826
"ZNF160",0.204399830098032,0.227888821181169,0.999771959587381,230.68580625,308.446152994012,308.08025323741,35.6386884902027,9.35147979991926,16.7899370982996,113.967075,189.17075,173.59065,314.007125,416.54385,403.39495
"ZNF415",0.294982270978931,0.373925851654399,0.956915221898111,13.74220625,26.8599398203593,25.8806316546763,2.25015450018565,1.90892142244595,2.94223678679618,6.280725,8.225125,7.60385,15.537175,30.11495,30.56245
"ZNF439",0.662690982498156,0.845249183805861,0.735024842122438,42.6935375,34.0160598802395,36.9756021582734,12.4212528011633,1.72629579635318,4.44166467486666,14.4339,14.343775,11.31075,38.399125,39.997875,36.34745
"ZNF440",0.7907350029766,0.798334795362595,0.999839408747332,370.27511875,338.24892005988,337.918785611511,28.7987330653194,10.276496435144,17.5416212192185,277.98105,220.909925,215.1299,424.9823,421.954575,371.06115
"ZNF562",0.998957902091481,0.568970454172399,0.030627626564009,630.9860375,628.250980538922,565.261910791367,63.3862629343377,13.4150749078364,20.8913274818277,475.10825,451.231025,392.5126,717.726675,769.6097,687.89095
"ZNF561",0.515486309706334,0.235185376012596,0.306035309719596,748.543825,677.356091017964,639.767768345324,64.9273645446372,14.2339501634895,19.9319686299583,513.844025,507.9687,481.33085,939.83965,801.2798,764.8008
"ZNF584",0.980462459106608,0.797126530398316,0.454478892603004,237.49443125,233.303533832335,222.830123741007,23.7238232797377,4.72234461763489,7.31336488798318,170.356225,173.3805,166.04255,306.461725,272.377525,248.372
"ZNF274",0.550693888879377,0.346381747306448,0.579656903597581,463.37870625,413.794635329341,395.099920863309,36.4559411125945,9.95383447849819,16.8754485082,347.351325,290.438925,273.9904,561.32465,507.8096,477.1058
"ZIK1",0.25740874717961,0.0734539489824366,0.191104514074957,45.11263125,30.140824251497,23.614381294964,19.7963496065788,2.07362814740025,2.26196200980292,15.116575,10.95385,9.44415,36.84945,31.069675,25.56395
"ZNF540",0.99999552485039,0.908488756798239,0.524256624130249,16.9883,16.9754434131737,15.0455539568345,3.3357891562942,0.909899680712166,1.71403417192104,8.586525,6.4085,5.5938,24.5019,22.1632,15.8334
"ZNF570",0.717967888399468,0.972567954630553,0.352236629406475,25.69513125,30.5557979041916,27.1466323741007,6.20898710373868,1.370153982082,1.95223076594133,7.4034,11.36265,8.6564,36.854575,45.6597,40.0192
"ZNF57",0.864365944350169,0.751047933406882,0.829782871738811,162.0653,151.941358982036,147.423020863309,22.7509764742417,4.28534906993641,6.07358705162574,122.011825,104.2901,98.32265,177.405575,182.624475,175.49225
"ZNF556",0.602564753806451,0.599047760921878,0.995410807899872,16.06765,22.4957473053892,22.7369841726619,3.53021209262513,1.4626859679606,2.18741914069022,8.1353,3.15735,3.91685,19.581325,30.664375,35.00665
"ZNF554",0.323752224598213,0.782234665857257,0.142274287333281,67.303925,85.0126305389222,75.8069935251799,11.3023700011417,2.77420994621206,3.56304558768507,33.32335,51.079175,43.05885,92.91415,106.90105,95.35685
"ZNF738",0.937592457391521,0.903901764183095,0.965332440204003,81.98923125,89.320228742515,91.4595625899281,22.7528042713287,4.72248620740985,6.48240512094945,33.77675,36.103175,36.46395,93.329075,111.214325,112.4691
"ZNF596",0.510037237337744,0.588405788502733,0.969216263634557,29.0119625,35.7505140718563,35.1788366906475,3.59628973827975,1.28462945748181,2.14414696275899,17.3282,19.80295,18.57015,42.93765,44.787625,43.2789
"ZNF621",0.995846828629733,0.841473783502824,0.212179580190359,315.29545625,318.363997005988,294.900423021583,33.237712816236,7.72550648237383,11.0745204105024,211.08935,222.1365,216.22495,374.48445,384.46005,360.65315
"ZNF680",0.982988292591501,0.854320711508544,0.155977600029383,129.1984625,125.22988502994,141.604905755396,18.5746152681957,4.34206597967195,9.06195088609814,87.18435,74.355325,78.18365,157.997025,160.4208,164.3773
"ZNF483",0.814405509094646,0.995173404747065,0.172941546207334,6.7665875,8.01228922155689,6.56943165467626,1.67710900512546,0.455533875473395,0.609736455561226,2.205975,2.54725,2.29705,9.39425,10.171925,8.57175
"ZNF417",0.999949545828177,0.999728780982273,0.999371862089299,95.53134375,95.653027245509,95.8223920863309,10.5501652611186,2.49043033766586,5.02349269303888,67.255575,62.8875,60.0746,111.07345,122.63345,115.7639
"ZNF791",0.844759422825542,0.910952096030947,0.942706388804895,172.70613125,184.819814071856,181.995255395683,16.0182775645035,4.60572311707224,7.68923483499924,132.971425,128.37245,121.03485,193.3394,247.1178,223.523
"ZNF519",0.83106716385799,0.998406797060319,0.379720584650547,32.35978125,37.3932805389222,32.8415107913669,5.03276733742,2.04514648947026,2.14511862768459,14.3952,16.31165,17.3496,52.386625,44.96755,38.0839
"ZNF25",0.503639105494387,0.256900987132929,0.402050772339003,114.6261,135.75102754491,145.360507913669,9.38954468338765,3.5868495188774,7.90630794606686,87.527825,90.01615,90.5134,153.002425,169.939725,173.72405
"ZNF77",0.848373651121927,0.986490710304875,0.593348012744801,87.58585625,80.9929946107784,85.6307338129496,12.248355213718,2.46715824347813,4.37640092508339,52.4988,49.975125,52.8346,122.122825,99.787,99.9521
"ZNF169",0.999893189962293,0.951954837767611,0.692651508226693,46.7832,46.8681856287425,44.9006899280576,4.95032772194596,1.25125836854238,2.24427343809838,30.280575,30.3115,28.25825,57.170775,58.88705,54.909
"ZNF613",0.996186683053196,0.994898975637134,0.888616688519659,73.1999125,74.0609074850299,72.172328057554,9.13811107212478,2.1863260826417,3.55265831420389,49.177375,46.02125,44.75605,100.371075,98.3139,94.48845
"ZNF404",0.764865439279779,0.745393468630267,0.988980344283068,21.08255625,17.7606640718563,17.494481294964,4.30874915787603,0.964857624941061,1.7708933504353,9.897975,7.502475,7.5021,25.5513,23.321775,19.82445
"ZNF135",0.414483488331435,0.747206804068519,0.390450604673514,11.531475,22.3680892215569,17.9506877697842,2.0472848248249,2.05933775554245,1.91051161384698,6.02555,5.93335,5.62715,14.36,22.305,22.95125
"ZNF620",0.538312721680661,0.919556320194291,0.217124123680708,14.63920625,21.4921550898204,17.2365302158273,3.66137611682717,1.49577931542996,1.72455008344838,3.224225,7.1072,7.11355,19.23915,22.1487,19.80805
"ZNF619",0.0755869192083456,0.263370283285502,0.319445886036366,27.6604625,40.5066601796407,37.1522,3.2871390760923,1.32346928490002,1.77155124687532,16.542925,23.445275,23.31105,33.845825,52.45795,43.7388
"ZNF354C",0.706778325645923,0.954302378817704,0.423386494881133,19.59851875,25.1489895209581,21.6987208633094,8.8684306966773,1.46791962900173,2.32744359787206,6.1495,5.56725,5.4143,13.443875,38.723725,27.7541
"ZNF114",0.166405028508723,0.301557098515361,0.748022351421693,166.3597625,103.380465269461,113.331790647482,62.7660811811735,7.2323704629817,10.6904272765044,36.94635,22.580275,32.96505,129.6848,132.98,136.6693
"ZNF454",0.382714578034499,0.550803284404452,0.803200938635809,2.91236875,5.3178994011976,4.86567553956835,0.559847862051137,0.411143801293765,0.541969398306491,1.114725,1.297225,1.43545,4.120025,5.9874,5.42495
"ZNF543",0.971641048737279,0.859187253235525,0.707115995171234,115.6316625,118.61070988024,122.692594244604,9.26290139102338,2.61388217956319,5.00930470154452,93.5443,83.389725,83.0457,128.892825,146.41275,150.011
"ZNF354B",0.282396364931565,0.164575103856858,0.638993958317049,94.96545625,77.6088808383234,73.5443525179856,11.3064297952314,2.51146248005077,3.50285556511225,60.479275,45.714075,44.54975,104.6787,98.9942,92.27025
"ZNF223",0.440465202782143,0.636285465871683,0.74713383116418,50.064425,61.071675748503,58.4870338129496,6.71866782733316,1.98169442570602,2.83380885178046,29.466225,37.3934,36.8736,61.121525,79.519625,70.3271
"ZNF713",0.955629474421516,0.911440230397276,0.936372491325681,41.0926125,37.5005368263473,35.7952964028777,11.0529558772449,2.61970620392171,4.39301429273001,17.029925,15.142825,14.31445,44.471675,40.405925,38.5671
"ZNF552",0.993777959406467,0.75318008042149,0.0817107927387623,138.3273875,140.440610778443,123.624841726619,12.0189062584118,4.52066843810439,5.6825650699583,105.778325,92.074175,77.7121,158.878225,165.61605,150.76455
"ZNF154",0.980151806345229,0.973006863296444,0.994586908569671,12.395025,12.9570880239521,13.0724316546763,1.75288465211633,0.569079088002278,1.20178274370429,7.4761,5.5432,5.2443,15.360125,16.78055,14.69045
"ZNF571",0.445601564475694,0.810614082518035,0.310116550390904,33.9857375,42.5568538922156,38.4841014388489,6.68800362388929,1.51751916584367,2.3195093150495,16.11285,22.5205,17.11045,41.3876,58.958325,51.73335
"ZNF443",0.837926737389371,0.947046231363661,0.812058508363955,45.7057,51.0703736526946,48.7743115107914,8.14720589696758,2.01929852981332,3.19435003979538,27.103625,26.680375,26.9636,44.7362,66.71845,56.03355
"ZNF792",0.925621526931434,0.997131252989535,0.727271099107718,66.001125,69.8786826347305,66.7721302158273,9.73103279986465,2.34418915451574,2.90238705039776,41.022,42.560225,40.30535,85.30585,92.3873,88.4674
"ZFP82",0.680436735674602,0.859718722554058,0.733092026549085,21.2537,27.429701497006,25.2427482014389,8.43388590633543,1.67451012841603,1.98324129629055,7.392125,9.176375,8.10795,19.812425,35.2444,34.5245
"ZNF707",0.448761873205296,0.320298081008627,0.759345560930405,389.85481875,345.191896706587,334.882220143885,38.4650829008782,8.13030664548908,11.256198223285,308.621625,237.659375,247.04275,460.28755,412.789725,408.0494
"ZNF746",0.417229921215064,0.955064876577312,0.0392886755319065,534.98915,472.670088023952,520.281297122302,65.8629620908058,10.261676829154,16.6711595524572,398.84105,361.3531,406.42145,628.0635,544.0539,575.3723
"ZNF678",0.776117696175543,0.957604846172164,0.585360999136719,26.35940625,29.7330002994012,27.7972755395683,5.53794474906582,1.06827270708366,1.60071756568748,14.4273,15.0726,15.15375,28.083975,38.478475,36.30515
"HKR1",0.89990374240189,0.913223193663646,0.077270750114947,300.377275,318.240541616766,283.282494964029,47.6289370435116,9.02024782945435,12.030445276193,182.377775,203.68255,180.61875,423.791125,413.90155,392.8302
"ZNF101",0.766296753857489,0.862238449810157,0.913016878371625,107.203925,115.426080838323,113.530939568345,9.79961052799421,2.44257968106709,4.27639813425643,86.157825,87.8488,81.6844,133.3173,133.6888,128.8812
"ZNF716",0.797988720464324,0.946422934586275,0.705386412134774,0.108525,0.633064071856287,0.37568417266187,0.0596033531635036,0.202722011916892,0.146186909081773,0,0,0,0,0,0
"ZNF708",0.912225780110667,0.845455393119397,0.912059630762603,63.05225,68.094077245509,70.0846014388489,10.8134653546246,2.5375100992456,4.49283909980719,34.79985,36.067825,33.3616,77.998825,88.07685,98.6613
"ZNF721",0.441309161529972,0.886195551467702,0.148263213085786,262.66365,304.583416766467,279.248776258993,20.2130532751363,7.65061126164083,10.5590949649753,228.722125,220.065975,187.45615,304.195375,364.85325,343.02285
"ZNF662",0.999138292116987,0.403943837184906,0.00168264360067683,55.2101125,55.9946589820359,28.8971338129496,11.3389786772732,4.99226782393589,2.48231931809137,26.3794,12.302525,8.7477,64.887525,61.28035,40.8479
"ZNF320",0.996914645346349,0.826156308845605,0.368066095893501,197.57913125,194.440063473054,172.108786330935,46.8726398758449,9.21913803801694,12.6411120503862,53.01855,56.9323,50.48045,267.810925,295.6273,259.07255
"ZNF530",0.887900160251238,0.878225627247675,0.99534782275,75.79544375,71.135854491018,70.7720223021583,10.0642564361249,1.98584742055845,3.84538513872631,43.006775,44.722025,42.28425,96.6491,92.483575,85.1761
"ZFP1",0.917189414583309,0.67983473309746,0.00424540051457789,188.8173625,182.45415988024,202.698824460432,12.0599915359246,3.16694214617925,6.31501592660607,150.641575,143.25095,152.9258,222.9681,216.354625,233.72295
"KRBA2",0.763084731656319,0.816134532639516,0.980645113618804,28.86491875,33.0436017964072,32.6008201438849,4.21542608737261,1.23179449759475,2.17520739908465,20.6382,15.32065,16.5432,34.540725,49.02945,41.3465
"ZNF93",0.923485787021309,0.681620221284452,0.442141301237528,27.7480125,31.557951497006,36.3799115107914,7.73599474551094,1.98228509900611,3.91693137258259,5.771175,8.77665,7.9593,42.40265,42.461825,40.5371
"ZFP90",0.823346199244543,0.203816150649793,0.00913480021036028,424.27268125,450.300980239521,501.388071223022,26.1730320283767,8.57646802544601,17.5338522565675,372.371625,342.379275,358.5813,490.8556,538.628875,600.1924
"ZNF479",0.879290789695794,0.9539671145697,0.889778733825744,0.0310375,0.113122155688623,0.0822762589928058,0.0310375,0.0429912352742585,0.0208352733347445,0,0,0,0,0,0
"ZNF445",0.140201877072073,0.357015321361742,0.437338405560016,276.6222125,348.825745508982,330.408628776978,22.2328040787948,8.20413446199874,12.7723627065976,220.48335,241.767625,239.33155,336.92035,429.78995,376.4577
"ZNF74",0.998316051145212,0.996349136847023,0.997078517406926,308.9529625,304.644748502994,302.405925179856,42.4617800739764,18.6371516325998,17.6709577631902,190.269025,188.4349,205.36605,384.66035,344.4766,352.50885
"ZNF829",0.412672855617898,0.809584996959447,0.246224248381472,3.74508125,7.04829161676647,5.40645251798561,0.992649445306967,0.632265858498131,0.534278522915068,1.089225,1.06425,0.9676,5.542625,7.1986,7.9503
"ZNF267",0.993884490845439,0.998481970746289,0.990704726882737,438.386625,442.946868562874,440.727632374101,38.6972742377349,9.21877754233477,14.543411534365,332.230575,329.711675,323.85225,502.42075,523.64855,520.0467
