"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N2a-N0","p-adj-N2a-N1","p-adj-N2a-N2","p-adj-N2b-N0","p-adj-N2b-N1","p-adj-N2b-N2","p-adj-N2b-N2a","p-adj-N2c-N0","p-adj-N2c-N1","p-adj-N2c-N2","p-adj-N2c-N2a","p-adj-N2c-N2b","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-N3-N2a","p-adj-N3-N2b","p-adj-N3-N2c","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N2a","p-adj-NX-N2b","p-adj-NX-N2c","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N2a","mean-N2b","mean-N2c","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N2a","SEM-N2b","SEM-N2c","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N2a","Q1-N2b","Q1-N2c","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N2a","Q3-N2b","Q3-N2c","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.999999998941722,0.999962904176142,0.999949255681902,0.999680692811346,0.999873872816369,0.99846979459847,0.761775333576911,0.921785658636355,0.949727072624237,0.999994277299366,1,0.999999999412024,0.999989136271062,0.99982930244916,0.954829000375714,0.999999893652387,0.999999981169988,0.999974220496981,0.999999673196321,0.999879565012509,0.999999900439885,0.999121137779441,0.99908172020413,0.999999803626082,0.99396498611418,0.891414096369189,0.999688083747175,0.999762499303912,36.6063696721311,36.9253457831325,33.9056,40.63455625,42.9962691358025,36.4981044444444,38.2555888888889,32.16025,1.97235903896414,3.05896348255323,5.78866536658126,6.73150768252037,4.30130742404098,5.07626476249506,9.63895566874401,5.57863339406488,16.0442,16.289,16.487,21.162725,15.527,18.3968,15.8826,15.36755,49.3149,53.25845,43.00995,54.154775,61.7096,39.77,53.1661,35.269475,71.5563227272727,37.6604419230769,51.77685,28.38575,32.69825,89.531425,16.182575,52.28895,8.69174001825681,1.37530345560673,0.526304881074096,0.54823246296366,-0.926029320104674,-0.867140336643334,"HNSC"
"ZNF416",0.998892330438095,0.998516367844709,0.987295813877736,0.99988346051134,0.999999976553065,0.994811300174564,0.406275713149481,0.339209847319456,0.999743259398797,0.860189419278457,0.418418953741854,0.324833460365678,0.997026965508143,0.781781591685003,0.999954639298362,0.999999999943801,0.999999821422628,0.99990622129018,0.999998692710522,0.991810954346977,0.977089706775603,0.983283759865965,0.99910465857767,0.947099043455102,0.99997492531724,0.544131966553248,0.461044363446597,0.999603612516634,149.041346721311,153.80023373494,139.708436842105,155.9206,132.063512345679,127.752273333333,150.153144444444,163.224161111111,4.38179682582888,7.16021936527346,12.5876157072708,13.0145219523391,6.20532556206823,6.26095533953328,17.1313145060532,13.4580560819257,106.135325,106.20135,109.804,124.0659,91.1063,97.1975,115.1811,128.902925,180.362175,177.4681,169.4926,162.480325,165.8359,151.6717,189.2763,184.539475,162.653415909091,146.052340769231,157.04165,135.6883,115.9805,195.4433,105.8172,173.39775,8.39018553256519,2.75354932029258,0.897935896107225,0.864027472966566,-0.155315640643991,-0.210850909254996,"HNSC"
"ZNF586",0.976260114862669,0.996668552494332,0.943021267371957,0.166285896959523,0.0755084092343571,0.827290867301862,0.816616119040764,0.469476038408992,0.999999998757618,0.662798453083557,0.692542219370631,0.378105785613792,0.999941803953903,0.881950194391201,0.99982140881356,0.314666845459982,0.177708510705499,0.816826747458807,0.999997034486471,0.720786913714761,0.87711410022944,0.997847926609604,0.999999942153301,0.973242879866155,0.239525212708572,0.878370552302222,0.770789682890213,0.306188395371002,128.889009836066,121.604821686747,138.730652631579,167.557425,139.937713580247,144.841835555556,173.586055555556,119.470633333333,3.5398758626295,5.87223605395214,11.5458170745297,20.2281309412587,7.61543694430554,8.13198444330864,30.638187869816,7.35568355274817,95.75295,93.2295,109.3285,124.070725,89.8094,101.7771,116.6166,102.2127,155.6718,139.10645,159.884,203.3979,186.001,186.7492,248.5932,133.467125,179.403038636364,133.154155769231,167.8331,124.84825,155.24635,201.2913,95.37845,163.322825,7.43766249095348,2.58044039679562,0.742206803080544,0.743883357931183,-0.43010687002333,-0.426851672649152,"HNSC"
"ZNF446",1,0.806736371697164,0.859306766100967,0.00165080447112198,0.00374867929782241,0.00115208619582152,0.659898391109294,0.834677347551269,0.307368960589561,0.05918514224323,0.999999999947636,0.999999999998678,0.907377668359266,0.00829543427572776,0.917509812514423,0.9999996922451,0.999999821941476,0.995968948504477,0.143585825824553,0.992596196491061,0.999999934130275,0.999982160310094,0.999985366904172,0.888335035979635,0.0981010566773161,0.999328877776512,0.999985618036445,0.999973382733978,187.756168852459,187.494796385542,153.136378947368,288.43343125,209.379102469136,186.942308888889,181.854877777778,195.39805,6.37744800250947,8.45657348012219,20.5701261136394,47.6597256049607,10.4564443146645,13.836096320164,13.7096602682883,14.4425812159088,125.620875,127.1822,109.91745,155.055075,138.7237,133.491,157.0982,160.98095,217.95675,229.66905,154.9993,323.460375,266.443,207.281,193.405,248.685625,178.100895454545,193.474028461538,158.5844,168.4125,134.052975,192.9788,129.591175,228.654475,12.2790479620207,4.33226483011175,1.08631698884926,1.0619739394291,0.119445145049543,0.0867483632063659,"HNSC"
"ZNF8",0.999700343563589,0.99994617977563,0.998862199893999,0.977328296099105,0.997073263771133,0.97275227791194,0.966266963609128,0.999794451909392,0.987450461034084,0.999874742169692,0.998660083904675,0.988008653648518,0.99999999999692,0.928571803154448,0.912176747789171,0.999995703317888,0.999999999200913,0.999845902488135,0.999933500042239,0.9999999681937,0.99956947614466,0.998170813654742,0.990214523671638,0.999999222563148,0.933311734288219,0.951588360000514,0.999999145931143,0.998805587203729,91.6661409836066,93.9449987951807,88.3570736842105,100.89884375,96.5920962962963,88.0102311111111,94.9266333333333,85.8891555555556,2.2580616610767,4.43406741739187,7.00167395200781,9.44857196951815,4.13051575755708,4.72292235262635,18.7177800966384,8.78475464338041,66.938825,67.08565,73.65315,77.610875,68.4314,64.4819,59.2612,59.49485,111.6356,111.07015,114.77165,124.31825,109.8482,107.0329,135.2681,103.8666,64.4756386363636,92.6134288461539,64.90525,86.2866,55.49175,74.3158,66.3946,112.07605,2.02739416502112,1.59601226707676,1.43640963943738,1.32942404505028,0.522467239765056,0.410801353006353,"HNSC"
"ZNF264",0.847503896962916,0.999993641634028,0.999832820502813,0.999922477921906,0.968057443009988,0.999658719576753,0.999998335605035,0.881527360566137,0.999950730540972,0.999994691387686,0.999972153715242,0.997646577799249,0.9999999999945,0.999378144076435,0.999807709917333,0.999999945811826,0.999947003272111,0.999999999976195,0.999961029758484,0.999998788607858,1,0.962162858404476,0.999985514266592,0.998929114796558,0.963869815840772,0.952718500790827,0.995760910290469,0.999526532488864,658.676230737705,614.607936144578,642.508726315789,683.9353625,665.845085185185,645.017435555556,647.082933333333,594.712122222222,14.7681594429699,25.6490665264649,69.5470114775327,68.0904650192796,27.2572568848422,39.3302466960951,75.8609892638392,75.4812164890383,499.2821,474.9484,404.0347,496.5255,534.1761,451.9637,552.595,379.5636,794.68985,759.9142,857.56225,815.313675,810.7615,772.2096,832.096,641.919025,674.428656818182,649.597953076923,685.3849,629.32455,552.05065,791.754125,487.484425,783.531425,25.5063399364529,10.6372731908769,0.963182608730766,0.918206032843735,-0.0541187519222147,-0.123110183937991,"HNSC"
"ZNF213",0.686625796431975,0.990420739284149,0.999999999867092,0.838440877712294,0.999202723206711,0.999649533024344,0.981136269650792,0.99879710279624,0.999985883111392,0.984703423240009,0.829448048702177,0.999999990032057,0.999999968757964,0.999793420575984,0.998629558208879,0.862962431537777,0.511824614027,0.712743274506003,0.468228660354613,0.696535088517287,0.525937536446073,0.901745998786,0.999944014086424,0.999970477073127,0.99999984372975,0.995555264570332,0.99999274994929,0.533443429480297,510.439190983607,472.331310843374,474.9852,444.94573125,489.019709876543,468.748622222222,593.449255555556,454.813272222222,12.3129447058849,17.992102478444,24.4366039726394,32.9717922230234,19.6741544138987,21.6002282490732,65.7968747155954,34.1600324150429,381.927575,350.7097,413.4929,343.554375,380.3797,390.6148,469.1143,346.5788,584.11895,576.6372,545.41065,499.37355,570.4762,562.8419,733.3975,576.856225,513.7374,493.380626730769,520.21375,474.96975,430.41375,589.2388,378.335525,575.3954,21.4530887368003,7.75329035612036,0.960375138603437,0.913028058178008,-0.0583300381305492,-0.131268898673179,"HNSC"
"ZNF343",0.999999999744943,0.999985556465809,0.999995892961401,0.849520997558197,0.870938111290095,0.899749463679847,0.919725549097984,0.962599177938536,0.984452591483915,0.995150258866899,0.999999899596703,0.999999703941115,0.999960214897487,0.939916793941745,0.99634704525104,0.764021389957846,0.780389334305438,0.803502070064592,0.999913787889143,0.962519337747003,0.858107529089753,0.999341066520672,0.999354669912707,0.998338293895332,0.99768772056187,0.999999997088187,0.999929937049302,0.977051719607752,251.129934016393,250.273407228916,243.387094736842,289.054025,267.620756790123,253.702995555556,306.661722222222,265.13245,5.80897994895068,13.8027891478571,27.4899449156042,46.3086416873429,11.0291295879718,12.6434659273136,35.5184426356646,24.9859523676508,190.194625,184.912,164.03685,190.37315,206.2107,202.4,274.4124,215.326025,285.64365,275.547,314.4089,341.55445,293.1223,290.5712,358.4229,288.011475,215.188952272727,256.301050576923,212.0644,233.1858,188.744,253.495775,191.4902,290.073325,6.9091146421267,4.54112694499074,1.19105115699477,1.09959898974085,0.252235379917098,0.136977486484665,"HNSC"
"ZNF302",0.999912275257439,0.999997730266375,1,0.282734396415627,0.250300455108175,0.527117032454659,0.100208023334839,0.150572080777487,0.734109766035781,0.987332632765838,0.999999857230327,0.99989186542183,0.999988299607419,0.502975897614922,0.632104371150848,0.999779778274099,0.998863150065098,0.999475073654536,0.964996253175577,0.999236108917572,0.99995987902405,0.94333793295399,0.903554707922918,0.969268422093689,0.983841465942916,0.999992051552641,0.984073277317639,0.999988496528109,218.431849180328,211.855580722892,211.201947368421,294.42603125,263.745175308642,221.737926666667,238.576833333333,254.25945,7.65245229106421,11.2014953743043,24.5314452897298,39.3753867985147,18.02765212143,18.2970549124813,31.1756974044287,36.1609229837525,139.30605,143.32125,157.59955,180.36395,163.8418,128.6746,201.2012,178.55065,274.471925,260.13215,244.89755,396.1803,331.3953,268.3677,284.3489,291.170475,277.347318181818,228.691070192308,209.65525,205.3342,161.8763,354.899225,142.664775,282.725825,26.4625849745424,5.58665258741061,0.824565644591475,0.979389736245575,-0.278293742089761,-0.0300450178372111,"HNSC"
"ZNF268",0.801377586837602,0.986995849992971,0.757807813268744,0.980995373703608,0.750327279620837,0.999999995616752,0.950395391070996,0.999988555527529,0.857980833216743,0.846028632869121,0.998513386924827,0.758610958934025,0.999920558706018,0.999693932817198,0.889209599255264,0.987111441039008,0.854624318224786,0.999998688791028,0.999999956880199,0.909814313952983,0.999385688825101,0.95621092187106,0.638083480009624,0.999999743854342,0.999999999523566,0.757155414368137,0.998860238186947,0.999999999050158,263.427936885246,291.225491566265,232.779652631579,227.9858625,284.377018518519,248.718566666667,219.817888888889,224.452077777778,9.3575382342558,16.3540685945223,26.9975664121271,31.6961753064675,17.6560023502374,18.6047422458237,52.0912843832249,26.9534468942305,158.5942,178.61045,145.913,145.6234,170.0776,136.0756,131.3763,167.108,357.800375,391.6247,318.60845,271.18265,367.5711,311.0853,268.8172,259.8295,296.294975,265.087921538462,319.4538,243.37145,239.28445,348.325775,158.7839,356.88805,14.33388086606,6.33968506454534,0.894675724886868,0.761836140311995,-0.160563222420904,-0.392447366172031,"HNSC"
