"gene","p-adj-hyper-methylated-CpG island hyper-methylated","p-adj-hypo-methylated-CpG island hyper-methylated","p-adj-hypo-methylated-hyper-methylated","p-adj-normal-like-CpG island hyper-methylated","p-adj-normal-like-hyper-methylated","p-adj-normal-like-hypo-methylated","mean-CpG island hyper-methylated","mean-hyper-methylated","mean-hypo-methylated","mean-normal-like","SEM-CpG island hyper-methylated","SEM-hyper-methylated","SEM-hypo-methylated","SEM-normal-like","Q1-CpG island hyper-methylated","Q1-hyper-methylated","Q1-hypo-methylated","Q1-normal-like","Q3-CpG island hyper-methylated","Q3-hyper-methylated","Q3-hypo-methylated","Q3-normal-like","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF81",0.879704732987726,0.999156452177321,0.954271795298984,0.412627629426126,0.717497363670434,0.586674190876229,120.097353191489,131.122433928571,122.615252777778,144.121145238095,9.23551984396186,6.52840951160852,10.9688710814788,12.789041515933,71.6452,82.297625,79.28855,84.721975,155.25085,162.9489,161.0915,172.177225,72.9919022727273,110.112524038462,72.65015,96.37585,51.937725,90.076,62.378975,139.823375,4.55669209460513,3.33583105264759,1.50855808123806,1.32657468704469,0.593170242988444,0.4077059025517,"HNSC"
"ZNF780A",0.461568268289286,0.954147614052424,0.886944830737535,0.202286815246106,0.887536596559841,0.613415568402267,181.89234893617,203.128550892857,191.520591666667,211.856146428571,7.63381685899631,6.84248596914461,10.7793875790799,12.3578140560882,143.26905,155.5703,140.22225,138.0207,219.9353,234.2533,232.53605,249.258925,215.086793181818,200.848683461538,214.33065,186.5034,160.443025,272.9133,149.490825,234.570775,11.4084971833201,3.53301557591188,0.933802956891714,0.87016672603755,-0.0988099379989944,-0.200636243601212,"HNSC"
"ZNF461",0.570034234260969,0.0505081099714165,0.269214929552436,0.0061896277126986,0.0481704461913827,0.999036016460791,40.6570382978723,48.6939607142857,61.14745,62.1413130952381,5.1802352734025,2.56908711547767,4.95603797180372,5.11390632967737,12.357,27.5534,40.536675,34.56005,55.73895,64.253325,80.646775,76.871625,62.161575,52.6485438461538,63.88165,45.38905,49.01465,79.258775,26.984775,71.301325,3.2457810855067,1.64466970269778,0.846962835902305,0.710517809104806,-0.239629428323691,-0.493057283863804,"HNSC"
"ZNF181",0.902478825190743,0.963023053763512,0.999902258795756,0.0124035035731394,0.0132114582850991,0.106592953053644,92.3677276595745,98.1880955357143,97.5819972222222,119.707396428571,6.83451724609949,3.98348317353553,7.72753571152721,6.36407949240047,59.8557,67.029975,58.545425,77.2785,113.4276,119.402775,111.53655,143.3092,152.786906818182,109.497389807692,121.86305,98.88795,88.38845,190.889625,69.123775,137.81485,14.3688766936964,2.39894973660403,0.71666736429186,0.811467873157614,-0.480624436543747,-0.301394116754515,"HNSC"
"ZNF44",0.999931688795323,0.793896099050261,0.742536372761367,0.264939467358729,0.117519794711846,0.917900024595362,110.450421276596,111.027186607143,122.221672222222,129.617567857143,11.1793566239129,4.14183493044813,8.92718322772946,6.90888565955459,57.43525,82.5407,81.355725,87.75105,143.60585,134.387475,157.332975,152.233,169.265152272727,135.732159423077,160.33895,125.2496,142.388225,185.50405,94.154575,169.12865,7.45489993620871,2.85179901988623,0.801890747153788,0.781155171591182,-0.318522403439387,-0.356318935702062,"HNSC"
"ZNF790",0.173512959882373,2.63797914897834e-05,0.00248755183437432,0.0547363507821654,0.875236025707355,0.0225269202674785,38.2196021276596,51.9548151785714,78.259725,56.1523738095238,5.57659491291523,3.25002710996668,6.5442069119746,4.75186834858136,7.5439,26.74815,50.4879,23.342875,68.0126,72.373825,105.35555,79.74695,88.1953,54.6138103846154,83.9312,46.37005,71.5972,108.41405,22.919475,78.86545,3.67363711251538,1.78342699741867,0.619237197272591,0.55247690965934,-0.691435958823522,-0.856013925435029,"HNSC"
"ZNF677",0.155555302517471,1.4205894771635e-07,2.01909784476317e-05,0.010890526949074,0.499042120961619,0.00259437040927046,4.6580829787234,9.68311607142857,22.1884083333333,12.4691976190476,0.702963511983119,1.02398817066841,4.41926850636025,1.38645731452606,1.20785,3.611875,5.355125,4.9239,5.5617,13.651,31.852675,15.44615,38.9059795454545,10.6113476923077,32.1735,5.88655,21.382875,52.0792,2.92635,12.222525,3.43535585455984,0.649044372384212,0.272743362749941,0.18296268668314,-1.87438400610843,-2.45037863887,"HNSC"
"ZNF823",0.757329771983878,0.927672800698555,0.377917843558124,0.872452869543193,0.995760695403403,0.51487453918441,105.817725531915,97.9488526785714,112.056580555556,99.4659345238095,7.26294732206711,4.07363904982304,8.46630020077343,4.91953048880069,71.22925,68.525475,77.95055,70.9203,125.38295,121.99735,133.341875,115.22355,188.680911363636,109.697425961538,175.47055,100.9221,110.455475,235.806475,73.3259,135.2695,15.6673237085186,2.18828233150462,0.581391223779513,0.575151214833486,-0.78241880102817,-0.797986785422166,"HNSC"
"ZNF311",0.701011153734057,0.960832279101976,0.976292109103331,0.0653178240521162,0.262729432484236,0.314875967237132,43.2051553191489,37.4093392857143,39.8457083333333,29.2782583333333,4.91434721774207,2.3871633693682,8.83079234029982,2.39704582905138,17.55345,20.46275,5.34395,13.616625,56.70325,52.169075,49.856025,40.4449,27.7504818181818,41.3555626923077,27.10285,33.84735,16.335325,36.5489,18.086175,56.958625,2.08953435756656,1.48383934893991,1.49026467227722,1.24884836834503,0.575568577313022,0.320598319606688,"HNSC"
"ZNF347",0.155107459715553,2.87498727968849e-06,0.000380032583419676,0.0102631162009096,0.485245248218259,0.0230062787120544,23.6240340425532,40.6562892857143,76.8739777777778,50.2422821428571,4.91837363635319,4.10935611257515,11.3014315368945,5.00652366457854,5.64365,14.7673,23.594925,14.984725,23.8964,48.491575,120.109875,70.227325,72.8843340909091,39.6262911538462,67.5825,22.2054,55.1834,96.75365,9.656125,52.71435,4.5377725271771,1.96027956338142,0.543687359541764,0.328567306625236,-0.879150808297058,-1.60573915968814,"HNSC"
