"gene","p-adj-Head & Neck Squamous Cell Carcinoma Basaloid Type-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma","mean-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","SEM-Head & Neck Squamous Cell Carcinoma","SEM-Head & Neck Squamous Cell Carcinoma Basaloid Type","SEM-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q1-Head & Neck Squamous Cell Carcinoma","Q1-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q1-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q3-Head & Neck Squamous Cell Carcinoma","Q3-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q3-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","count-Head & Neck Squamous Cell Carcinoma","count-Head & Neck Squamous Cell Carcinoma Basaloid Type","count-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant"
"ZNF610",0.687426431817788,0.998425939696281,0.950872238546469,11.2716917322835,15.87447,10.3373,0.773414591299595,6.05406953656519,NA,2.86485,5.03895,10.3373,11.65755,20.830425,10.3373,508,10,1
"ZNF528",0.691449727044691,0.802861612704765,0.93350522277757,109.306467322835,136.78808,175.7338,4.64333380553654,40.2200054658093,NA,25.830975,51.298125,175.7338,164.835125,179.23025,175.7338,508,10,1
"ZNF701",0.792087649353081,0.960116855440118,0.997934091707436,42.4983905511811,50.39393,52.835,1.69390897569924,8.28021573436143,NA,17.523825,36.140625,52.835,53.9209,71.280325,52.835,508,10,1
"ZNF283",0.993910941907651,0.397380318536822,0.412760727310572,56.3074021653543,57.15541,23.546,1.12189145433467,6.91631067145628,NA,41.9084,44.360325,23.546,66.172475,64.2945,23.546,508,10,1
"ZNF558",0.0726501504220142,0.937775325847702,0.58052864901401,313.024259645669,408.57836,266.4722,6.01646944392491,52.790165319175,NA,228.9382,267.343475,266.4722,369.847525,576.4904,266.4722,508,10,1
"ZNF597",0.830847554222735,0.607791684119486,0.744782327090663,43.6016614173228,39.25541,21.2489,1.04113595846508,7.3886135912625,NA,29.661325,30.508725,21.2489,55.331275,54.2521,21.2489,508,10,1
"ZNF30",0.0578266473108247,0.896430039186084,0.959857266645035,45.7773177165354,64.90136,57.4293,1.14502806508367,12.7669352849043,NA,27.1837,41.7953,57.4293,59.567675,71.87955,57.4293,508,10,1
"ZNF354A",0.0314742556352536,0.907386943960252,0.471249540736314,238.683868700787,334.22499,188.9426,5.22718025497495,45.572139985935,NA,156.2495,219.011875,188.9426,286.4141,438.702975,188.9426,508,10,1
"ZNF764",0.0788282291561067,0.940367313539095,0.591747323438334,154.114234251968,200.78191,131.5132,2.99441379433257,23.2397223553861,NA,116.937,157.6203,131.5132,174.650525,211.8716,131.5132,508,10,1
"ZNF747",0.053936016706659,0.997280017998368,0.79848080989165,200.247709448819,262.44334,206.1541,3.71530221133914,30.0662076940068,NA,152.67285,186.84775,206.1541,235.2899,312.142525,206.1541,508,10,1
"ZNF778",0.934149342192274,0.551043182791917,0.648810711779263,73.2996783464567,69.67334,39.6262,1.43230516305275,10.5452555160571,NA,51.14525,48.637825,39.6262,87.2099,81.060975,39.6262,508,10,1
"ZNF212",0.946504200299681,0.739212979190725,0.701120481362011,432.680363385827,446.53496,330.793,6.09405775822011,43.7601221741926,NA,342.401775,320.225925,330.793,507.15485,535.12095,330.793,508,10,1
"ZNF282",0.150398378720366,0.923957882330838,0.976912259241965,1116.1062507874,901.20876,979.1704,16.0431085157154,105.213320410997,NA,869.29525,676.54695,979.1704,1306.202775,1163.05675,979.1704,508,10,1
"ZNF160",0.994405388449102,0.937703777306216,0.953062105775044,306.216453543307,312.10204,368.6964,8.15596114437132,32.1393881695315,NA,177.432925,280.76685,368.6964,412.9222,353.89835,368.6964,508,10,1
"ZNF415",0.754729447288771,0.819368023869897,0.932410321498472,26.4822080708661,34.51582,47.6664,1.56106993637458,11.1524507962231,NA,7.6743,12.193075,47.6664,29.475825,63.536975,47.6664,508,10,1
"ZNF439",0.1346192884693,0.980694765602665,0.913793586699789,34.0972736220472,57.69237,41.3491,1.70165884978267,14.9341297345752,NA,13.0503,23.555325,41.3491,38.30115,89.0944,41.3491,508,10,1
"ZNF440",0.0339223330266666,0.391853196281956,0.1110816875341,336.521016141732,486.52652,90.7384,8.26297947550923,83.3101368933027,NA,222.3632,357.406525,90.7384,415.334375,563.794025,90.7384,508,10,1
"ZNF562",0.162906807923348,0.192527135831381,0.5130379075375,615.759878346457,474.14431,192.9626,10.7952480046833,74.9388229395321,NA,441.22445,357.796325,192.9626,751.791925,510.46405,192.9626,508,10,1
"ZNF561",0.365883346161821,0.491706288421544,0.779399889708682,671.463319291339,562.7473,385.3509,11.1872573994234,64.4771860444107,NA,505.0161,484.34435,385.3509,801.8814,701.40245,385.3509,508,10,1
"ZNF584",0.760113902207787,0.85315069019988,0.74734835806931,229.280653149606,248.60585,183.1996,3.82048061575671,19.26678763882,NA,170.471075,198.606775,183.1996,265.130025,287.70075,183.1996,508,10,1
"ZNF274",0.971017316218153,0.517864763051797,0.505240035106901,407.491728149606,421.12216,205.0228,8.20529683355083,55.8314837880369,NA,283.803625,305.27925,205.0228,502.602075,514.7295,205.0228,508,10,1
"ZIK1",0.860116969636735,0.97919401339757,0.936282627342426,28.4092771653543,34.52671,21.2489,1.62380410367342,12.095953991576,NA,10.835675,5.864,21.2489,29.97495,58.539325,21.2489,508,10,1
"ZNF540",0.0308641388110122,0.965074456075392,0.856786677937483,15.732106496063,29.6471,20.1003,0.759050388576741,6.64218685966201,NA,5.9778,14.8644,20.1003,19.312825,33.3096,20.1003,508,10,1
"ZNF570",0.714386585477403,0.623398926568627,0.79427655863509,29.1302942913386,35.19838,51.6864,1.07694955127981,8.25529501616723,NA,10.3309,13.26365,51.6864,42.969925,45.55175,51.6864,508,10,1
"ZNF57",2.31843103715157e-07,0.324630989724907,0.0072877678165687,147.691058858268,276.05274,41.9234,3.25398901149347,29.4351726765152,NA,101.323075,229.63805,41.9234,175.878475,303.290375,41.9234,508,10,1
