"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZNF716",0.884252402763755,0.977689941291017,0.477889831883257,0.530885714285714,1.12967746478873,0.252939583333333,0.398132753807861,0.449135761390716,0.139683060407168,0,0,0,0.3069,0,0,14,142,48
"ZNF708",0.997922775050333,0.953132704697372,0.798237093415032,67.6755642857143,66.7997288732394,72.2393583333333,13.7500936528583,4.28732183793209,7.24809507159855,31.035175,35.79065,32.845825,93.4657,86.8033,99.182725,14,142,48
"ZNF721",0.62107157118228,0.800869237307435,0.912770033892531,262.530064285714,300.788736619718,290.82379375,27.3161808699344,13.4966548034404,15.4516365604936,183.2663,212.01815,238.939675,333.1905,350.65155,351.414425,14,142,48
"ZNF662",0.96034501177364,0.554428015857212,0.052527370001428,66.4766714285714,74.3032767605634,33.9970104166667,15.6737962610044,10.0847033057698,4.99017996628975,26.89105,15.76165,10.643025,96.366075,84.7528,49.230775,14,142,48
"ZNF320",0.493584485955044,0.868405702915927,0.588017308259552,226.161764285714,175.243908450704,201.54181875,50.0560567135021,12.8989368039371,24.6082771033769,80.964425,46.65045,44.48165,353.620625,279.08005,318.294625,14,142,48
"ZNF530",0.984894285866536,0.704542198119198,0.470433141845951,77.4658285714286,75.6978598591549,68.2567895833333,8.80016264096975,3.33996914558701,4.82486079894675,51.34485,47.548025,50.5597,95.771675,101.619275,78.99315,14,142,48
"ZFP1",0.906237322049072,0.95017590510164,0.986794972797046,172.578028571429,166.151429577465,167.558352083333,12.2808391962216,4.71760946686907,7.25809751022988,143.26245,124.869525,130.1449,201.916425,201.66255,200.21855,14,142,48
"KRBA2",0.521488726050267,0.37687004393832,0.819028241870783,33.1328,27.1815471830986,25.2212895833333,6.04946038532582,1.66576717269932,2.50593312222249,12.577475,12.26285,12.5981,47.83295,35.4708,34.23105,14,142,48
"ZNF93",0.858628857083321,0.882915197729631,0.190109660712196,30.4721928571429,25.3940992957746,35.4485979166667,8.51141024589328,2.25547613024965,7.40075245568293,7.893775,7.733575,6.708225,35.569625,33.665175,40.97325,14,142,48
"ZFP90",0.759066248625737,0.952350344437195,0.794650488607262,451.6017,422.215384507042,438.205391666667,30.1022977871428,12.4307591551695,22.6204254430766,402.990775,309.253875,339.429,516.53895,514.849375,515.5413,14,142,48
"ZNF479",0.904682602607125,0.74086755501291,0.804831879924617,0.20385,0.138019718309859,0.080225,0.118774327872392,0.0529671569517595,0.0319403754552112,0,0,0,0,0,0,14,142,48
"ZNF445",0.866591001677973,0.993896042487794,0.547966784297589,283.178535714286,302.263765492958,278.901841666667,28.3873648329396,12.2825651369054,13.6551566954416,188.973175,211.460075,220.550925,368.02465,348.62385,351.304225,14,142,48
"ZNF74",0.996573371484882,0.912838552743054,0.658193327134452,301.831714285714,297.454863380282,326.303727083333,42.7811255921178,14.6212141333352,38.0595231150803,193.796025,192.830075,206.836625,378.545725,331.166625,341.740075,14,142,48
"ZNF829",0.890611873771798,0.99354103344492,0.598741295674151,3.34384285714286,4.21690211267606,3.12005625,1.04598806260466,0.645713880919293,0.570838425107277,0.501725,0.640525,0.529975,3.42575,4.889325,3.8857,14,142,48
"ZNF267",0.572049377661325,0.864695673880526,0.729090489693926,378.803535714286,427.300978169014,405.583689583333,28.0780865953544,15.2529368122502,22.2422609172893,297.841,315.25905,310.510875,449.1491,500.1224,477.21945,14,142,48
"ZNF566",0.999842431444584,0.706874039327583,0.334087847324791,86.8482428571428,86.5857422535211,73.4729479166667,18.0431140423712,4.77818796295761,6.69599146415133,50.772,46.03675,39.02625,102.460525,113.934325,93.560875,14,142,48
"ZNF224",0.903433509513227,0.473942999467533,0.340896096170325,151.636285714286,142.042904929577,123.349983333333,11.8953843017146,7.45866155951723,7.85129243128169,117.981575,94.44655,90.000125,178.6441,162.73875,152.2026,14,142,48
"ZNF529",0.953819039386893,0.48409327235283,0.247087030483612,158.650571428571,151.842585211268,129.648004166667,27.0554982349395,7.43163874911361,8.01010077040806,88.7128,90.6792,96.6997,216.452075,188.2654,167.454375,14,142,48
"ZNF284",0.95503091845497,0.619141462298527,0.445522460403156,32.6759214285714,30.4219633802817,24.77174375,4.19070993890029,2.63299460307113,2.47883261616828,25.995125,13.32905,14.045975,40.741325,36.96305,30.50045,14,142,48
"ZNF749",0.940616540351149,0.594264808902504,0.447236377160674,65.99525,63.2405908450704,57.26879375,7.64682760177652,2.66101223023523,3.16015989238207,49.162975,37.4701,42.589975,84.948775,84.951825,71.7471,14,142,48
"ZNF17",0.999996463547842,0.901773139793675,0.71331877799799,114.70045,114.672771830986,109.5664875,11.7907632869168,3.28157911662386,5.36783620457165,84.02,90.86185,93.83305,142.886375,137.5104,124.2577,14,142,48
"ZNF555",0.262569248680053,0.192134500326851,0.851062679837781,48.43585,58.8822971830986,61.0334479166667,5.26665490193979,2.04851582971523,3.31815554207063,34.203,42.370475,45.381725,59.46085,73.40195,72.42595,14,142,48
"ZNF75D",0.226587852588205,0.884471646434926,0.137858680646887,179.201228571429,228.340278169014,194.4325125,17.7328912487887,9.09988666391546,15.6437823721768,136.495575,172.441375,146.531525,207.836875,256.88995,225.87415,14,142,48
"ZNF197",0.520832599809125,0.289373593020248,0.632735483462118,226.094435714286,248.514700704225,259.6984625,17.7655034179517,6.5324579179747,8.68456754372601,195.706,195.520375,213.013125,280.5925,287.936225,298.026675,14,142,48
"ZNF732",0.232700171533945,0.127885431244261,0.703840787550489,9.7041,5.25854295774648,3.96436458333333,3.79451476408185,0.827513139198585,1.06714677207982,1.146075,0.566725,0.4422,11.159375,5.522325,3.18605,14,142,48
"ZNF546",0.997024194567956,0.432001590290056,0.0864551063294053,23.7779571428571,23.4608676056338,17.9867041666667,3.7081066977565,1.36870224902767,1.8393354285655,12.862175,11.3708,10.663475,30.7303,32.006625,23.51325,14,142,48
"ZNF286A",0.961367185917151,0.952366438363538,0.584029261840436,235.110685714286,243.360901408451,225.153591666667,25.4852793591871,9.69042224047623,13.9740948169573,161.1372,170.244325,158.679,324.32765,283.0063,270.802375,14,142,48
"ZKSCAN4",0.786173083525579,0.519968732800146,0.655027520796591,105.129307142857,98.7086204225352,93.62971875,11.4983411544069,2.95545647414877,4.34197316330863,77.821725,75.248,71.131625,125.418825,117.605825,121.95505,14,142,48
