"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZKSCAN3",0.91584597529464,0.00495565144646271,0.0169769213355737,0.99950354673418,0.999999999478326,0.88371382605885,0.999999981649116,0.999624034863043,0.948081034729124,0.999907088244643,82.2595227979275,87.3469151515151,65.7731833333333,87.1862,82.64155,2.21886165620326,6.98839787036955,3.95395343477561,21.1087,4.91075,59.7964,59.7015,41.15865,76.63185,80.186175,102.0324,111.5506,87.5714,97.74055,85.096925,193,33,60,2,2
"ZNF676",0.9999995553971,0.915380174695004,0.973353236680598,0.957771075206877,0.959263104420961,0.986180433234094,0.981044441689582,0.98380294474527,0.950653674609039,0.900957484598144,18.2190751295337,18.4768787878788,13.6306866666667,0.1646,32.7099,2.91647588991466,4.55937708645093,3.4980959897541,0.1646,30.0453,0.8351,0.3369,0.51595,0.0823,17.68725,15.7825,27.8731,15.9191,0.2469,47.73255,193,33,60,2,2
"ZNF699",0.978557646626806,0.792041738213142,0.710449473067696,0.998905243442528,0.999966602340085,0.987861032407611,0.733572333887908,0.660199193357644,0.861964082195608,0.825190204260103,19.4376937823834,21.1692515151515,16.7765366666667,22.45045,5.46895,1.12058007054648,3.52798128753692,1.89636693344099,12.11175,1.66235,7.7801,8.7568,7.573525,16.394575,4.637775,25.8524,23.3111,23.346125,28.506325,6.300125,193,33,60,2,2
"ZNF250",0.666848912142135,0.181292231885363,0.0614987962940291,0.673832257904857,0.87695710026322,0.395236930472551,0.960189878032316,0.849597189969636,0.999463988320021,0.609481496038386,454.175266321243,515.908387878788,374.475116666667,685.17385,335.5287,15.8681321734176,74.5412263721976,21.3866474692556,322.57465,137.7023,307.926,269.0251,242.764425,523.886525,266.67755,561.9317,609.1767,448.746125,846.461175,404.37985,193,33,60,2,2
"ZNF79",0.949043459467357,0.989828015460298,0.873838456776356,0.980070565055772,0.946930172930797,0.990677100878371,0.734678610956947,0.850681192707198,0.684065915250957,0.70723115552286,84.8495373056995,80.213496969697,87.1954083333333,98.3444,55.46555,2.2716612025685,4.84788216330291,5.43829391769712,25.27,18.38295,64.0558,57.1842,57.21275,85.7094,46.274075,100.5587,99.3053,109.2859,110.9794,64.657025,193,33,60,2,2
"ZNF681",0.0186029998922724,0.0372760410408068,0.946948908965375,0.89167427152651,0.999983551674947,0.997815673339004,0.988976603351783,0.710252493668199,0.82533971128481,0.859036990727872,44.8819554404145,68.7530212121212,62.1756816666667,71.50835,30.8356,2.18246082030092,13.0307273081342,5.86841232849808,22.96165,19.7964,28.2073,32.1569,30.9711,60.027525,20.9374,52.7288,74.3671,76.905625,82.989175,40.7338,193,33,60,2,2
"ZNF766",0.999995822635758,0.741126608878156,0.901430869006446,0.999961923937666,0.999982128776713,0.996278572871448,0.956201280073164,0.956172308485586,0.992020397453383,0.978079654338485,344.575144041451,345.610178787879,329.464676666667,351.36785,302.76075,5.64623082260173,14.9717568592726,12.8601732877985,18.28325,48.09765,298.3985,285.243,260.99675,342.226225,278.711925,383.4567,387.8969,394.94845,360.509475,326.809575,193,33,60,2,2
"ZNF471",0.982978424541755,0.00930468900953729,0.383756813913796,0.993175902466553,0.981320392572034,0.8063211186304,0.809401983273276,0.885806309114243,0.994484725647715,0.816892205510091,157.99570880829,143.050157575758,86.2656916666667,202.28795,43.88875,11.1372811501839,29.1040481286701,13.4612318524124,8.08125,25.99765,35.6065,26.0078,10.397425,198.247325,30.889925,236.5981,196.3555,127.5718,206.328575,56.887575,193,33,60,2,2
"ZNF836",0.995075279973231,0.0111838228898344,0.331421582461937,0.999305400212994,0.997376838229476,0.895826229305595,0.851111938253622,0.902694529632214,0.997455097008439,0.902204644367425,97.3724704663212,94.7484090909091,80.2170066666667,103.37185,71.77105,2.46278096729145,6.24185570937479,5.14718510246237,41.78945,0.967849999999999,74.2836,67.451,53.736575,82.477125,71.287125,116.6227,112.3596,93.223125,124.266575,72.254975,193,33,60,2,2
"ZNF493",0.983942968819147,0.0657920434209704,0.159783142849604,0.978292655401865,0.956071601488713,0.99999986176333,0.539339848409423,0.474510504524576,0.865599309000044,0.96024519879784,214.159507772021,228.755906060606,157.348573333333,154.42975,55.18325,10.8963123447993,25.6882935341878,16.2712833391313,20.02715,29.67885,127.7933,118.5336,85.9247,144.416175,40.343825,254.3964,315.8544,190.426075,164.443325,70.022675,193,33,60,2,2
"ZNF167",0.989980977147133,0.000907984188534217,0.0176434556081347,0.963789811605378,0.939022040301929,0.999864558150064,0.989331841349503,0.976837134058628,0.997070939154696,0.999929691581184,122.153220725389,129.116890909091,76.1369083333333,84.9916,95.4395,5.36692436321337,16.0859639322929,10.7974035403093,74.6529,13.4299,67.7305,65.2045,23.69885,47.66515,88.72455,152.7484,157.9712,102.9521,122.31805,102.15445,193,33,60,2,2
"ZNF565",0.950408770967632,0.991038111698267,0.880243910229782,0.709202336272755,0.609881836364796,0.77239727196024,0.674903067362076,0.574729569087553,0.74098884950175,0.999999449259118,44.6364321243523,47.1990090909091,43.37254,27.703,26.96405,1.23905120293415,3.45198592081528,2.93330417456508,4.6615,8.69225,35.1201,34.7777,29.678875,25.37225,22.617925,52.349,52.04,52.636425,30.03375,31.310175,193,33,60,2,2
"ZNF34",0.991659161916107,0.999834550935639,0.987183616288712,0.999999150102149,0.999993567623143,0.999991875060426,0.947965767317135,0.919887551203724,0.957746796048931,0.981357593459608,113.465944041451,117.127642424242,112.40935,114.8221,90.75845,2.7928916158787,9.43606770693735,6.57024967308082,15.0854,22.29825,83.8184,73.2601,79.1645,107.2794,79.609325,138.881,146.3572,133.6811,122.3648,101.907575,193,33,60,2,2
"ZNF140",0.637003317162062,0.870296912388205,0.339512309695445,0.988885715697667,0.99996347505482,0.961469881657396,0.999994050909257,0.992951685650675,0.999939434706411,0.994889660848345,403.643903626943,439.453484848485,384.06847,450.7033,396.6747,9.30734672538896,31.79050692652,17.3261456409403,10.9403,98.2354,317.7125,289.613,295.130175,445.23315,347.557,465.1867,537.9395,461.0482,456.17345,445.7924,193,33,60,2,2
"ZNF658",0.989435180239101,0.063438022624828,0.630257460442295,0.999969447490293,0.999999975553984,0.992227912052855,0.583596147853239,0.684985570467352,0.894291837648044,0.869579172128106,49.5332113989637,47.7752424242424,41.8452466666667,48.03335,29.0818,1.47544937584614,2.48970800111859,2.49767858029869,0.962949999999999,5.8614,34.0852,38.8649,28.027425,47.551875,26.1511,60.933,57.7833,54.805,48.514825,32.0125,193,33,60,2,2
"ZNF765",0.998452498549134,0.940291308025562,0.937947163673022,0.999683446093436,0.999961384098803,0.996801233676527,0.445274212261779,0.423942943089998,0.558037983296996,0.669613320091809,152.353588601036,155.276421212121,146.297381666667,159.7299,88.26445,3.76025875306523,9.29201122761098,7.45884475396482,41.0601,25.83585,121.5084,109.3542,109.926425,139.19985,75.346525,179.4311,182.5189,182.23935,180.25995,101.182375,193,33,60,2,2
"ZNF124",0.999999949513867,0.800021678971478,0.936965360760544,0.930761577173564,0.934710593644778,0.980456351307926,0.854373931222972,0.862607677805941,0.941205403028046,0.999902191290861,73.0331626943005,73.1944393939394,66.54382,50.6188,44.92505,2.87657027443945,7.23972355572196,4.79569299313457,17.189,5.70305,44.6065,43.7683,38.1365,42.0243,42.073525,95.4617,90.4634,86.868875,59.2133,47.776575,193,33,60,2,2
"ZNF569",0.8747425800681,0.556557614063435,0.999642906865149,0.999433784675545,0.990263760312259,0.983922397535271,0.39887202000325,0.58210306642852,0.60869464674538,0.621186618421022,103.484992227979,95.5647818181818,93.6584466666667,110.50925,48.411,3.06267463323733,7.60010878774619,6.35303148690995,6.67315,17.1967,77.4754,67.4308,64.39115,107.172675,39.81265,123.781,113.21,113.37335,113.845825,57.00935,193,33,60,2,2
"ZNF777",0.993848773503491,0.4494123816039,0.561001674123888,0.965211896605529,0.944807372023636,0.99811693847334,0.560640822359725,0.51467522858906,0.783851168427113,0.974687972830155,455.378013471503,446.363863636364,484.080305,509.4326,579.11675,7.49061957901626,24.7417516059193,16.7853356398167,22.1671,216.84825,383.5979,378.8273,404.1649,498.34905,470.692625,517.6832,496.6075,560.2872,520.51615,687.540875,193,33,60,2,2
"ZNF605",0.380179017522352,0.530064627815996,0.070201032845723,0.958088829399034,0.999549231829344,0.853699450516536,0.460537339278624,0.229973425938829,0.677500124180638,0.453130987105306,514.758272020725,584.495903030303,467.392638333333,616.3809,271.0335,14.1304718874699,46.4776643416034,26.3215589207338,108.4381,55.5786,385.7021,379.2979,327.183575,562.16185,243.2442,621.8444,765.3317,552.94465,670.59995,298.8228,193,33,60,2,2
"ZNF799",0.998844094855604,0.00476685139379829,0.199175045654476,0.904767431679371,0.934104439919709,0.999893445332057,0.738176811751848,0.793893768104225,0.988422923431772,0.9992025835764,163.654569430052,160.546893939394,131.882218333333,125.38705,110.3739,4.59012706540715,12.1342662147801,6.03914538174111,34.58665,42.2353,125.7276,110.5617,98.618975,108.093725,89.25625,196.8722,199.7978,158.6487,142.680375,131.49155,193,33,60,2,2
"ZNF782",0.714058834684978,0.975829355507012,0.561168177006592,0.996556534604692,0.961887642407182,0.999382291495575,0.416021075403143,0.260398351592519,0.50481525570015,0.864950161314409,56.5226943005181,63.0819,54.1000483333333,49.5517,22.58645,1.98056909004144,5.43355850832841,3.33896452200302,11.3436,13.06985,34.9484,41.2667,35.916175,43.8799,16.051525,72.0926,76.8009,71.021575,55.2235,29.121375,193,33,60,2,2
"ZNF846",0.870869758614159,0.0109563120699189,0.0203312380453105,0.672478348360349,0.532162347117754,0.967350974317935,0.915300000284761,0.818276857767378,0.999818673601623,0.997013068024221,77.3086948186529,85.069003030303,56.7396866666667,36.916,51.56695,3.10709702565,9.58149791218681,4.21735753963493,9.4961,33.29515,49.5519,44.4576,32.431825,32.16795,34.919375,94.0427,106.3348,72.789875,41.66405,68.214525,193,33,60,2,2
"ZNF136",0.999974287829323,0.135300050665789,0.559078613935997,0.672404782883061,0.708676121949322,0.919747968250242,0.732644099971437,0.765216099269222,0.947658882773963,0.999994540503455,166.229833678756,165.095775757576,146.04218,111.0433,115.1272,4.15730988039991,10.8092774271399,7.19526273846881,96.6591,48.892,129.199,128.2591,112.046425,62.71375,90.6812,200.3046,188.8525,182.171,159.37285,139.5732,193,33,60,2,2
"ZKSCAN5",0.736879726576663,0.0767198800307519,0.0402696956880014,0.996854856320485,0.999999942770089,0.906147460784109,0.670430002870231,0.486754104721887,0.93392734239782,0.754317691585009,457.053340932642,490.804278787879,401.26194,493.1883,318.39745,10.0098668530327,35.9141015748662,16.9141020583683,62.1112,35.99925,351.7049,328.9864,296.550125,462.1327,300.397825,560.0522,570.0185,448.587775,524.2439,336.397075,193,33,60,2,2
"ZNF33B",0.98633513940261,0.66242341062276,0.652797418948814,1,0.999932311521772,0.998699428200286,0.363045952208967,0.31434682946799,0.547386655609635,0.694454760836162,1231.08458549223,1276.86167575758,1136.26072666667,1231.2287,614.1154,32.9323593353852,85.1763595596276,68.4320301058242,128.5296,351.4584,952.8545,1013.2919,752.4584,1166.9639,438.3862,1479.4474,1553.1915,1296.4179,1295.4935,789.8446,193,33,60,2,2
