"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF157",0.038822503573696,3.80672077922078,3.0062544600939,0.386095937066246,0.185286044561258,0.8111,1.0373,5.6609,4.1564,77,213
"ZNF182",0.681408920414726,207.278435064935,202.323792957746,9.82607481961485,6.3180103372444,146.5284,141.0196,239.9381,243.7562,77,213
"ZNF673",0.103226656800714,199.214411688312,186.128854929577,7.47992850371012,3.98312639694687,168.0361,148.5243,226.1465,211.6496,77,213
"ZNF41",0.0324520146935107,211.54428961039,187.872589671362,9.71418798874224,5.61502862283737,159.8147,133.933,262.1053,228.862,77,213
"ZNF7",0.653274885502952,330.212164935065,323.563130985916,12.3328741781926,7.69069837205768,266.1249,247.4922,380.1793,373.0388,77,213
"ZNF214",0.768749011940061,78.6583012987013,80.2450460093897,5.59329833794675,2.53608855753514,50.8345,53.2074,94.6411,105.5525,77,213
"ZNF215",0.251950363745884,45.8567922077922,41.5712319248826,3.67998364417288,1.80894435992208,21.9298,24.5439,64.8512,50.5725,77,213
"ZNF547",0.507390327429718,41.0558077922078,43.7318938967136,3.63055756723605,2.03846491894411,22.1231,23.9183,50.1937,56.4843,77,213
"ZNF773",0.0438019696330494,90.1047337662338,79.1006417840376,5.0476701915089,2.71122121627261,65.3247,57.1429,110.6997,97.7205,77,213
"ZNF776",0.183890203911856,319.613468831169,296.602702347418,17.3100637873874,8.29483128693903,204.6796,216.7198,395.3552,356.2679,77,213
"ZNF256",0.146642358426087,81.4968662337662,74.5436629107981,4.29653556529564,2.41668317237883,57.0995,54.7002,92.5317,88.3225,77,213
"ZNF599",0.326827482978446,110.463905194805,117.731084976526,6.50077043911652,3.77750567670976,78.5213,80.869,137.1732,149.8042,77,213
"ZNF18",0.0197234360636013,224.400280519481,259.20624741784,10.858412500882,8.01292362518107,169.3885,185.5871,258.2956,301.9976,77,213
"ZKSCAN2",0.961978079714639,264.088092207792,264.63416056338,10.0043579238747,5.85455434309313,192.2438,208.0057,316.0687,310.7421,77,213
"ZNF689",0.106279998638626,150.97535974026,135.44503286385,9.02038878098597,4.75353080352424,107.6084,86.0681,205.4645,176.9675,77,213
"ZNF19",0.00404797752255259,130.99931038961,156.352851173709,7.17131747634442,4.57700132753405,85.2715,104.7878,170.9904,196.2396,77,213
"ZNF230",0.00820623182158065,89.9027909090909,80.1080093896714,3.28127172564688,1.86772645516055,72.161,61.0623,111.3611,94.0405,77,213
"ZNF222",0.00176775911387539,49.3679272727273,40.8973159624413,2.29067907126867,1.38493256224969,36.365,29.7974,59.7082,49.2857,77,213
"ZNF221",1.93725083952323e-05,16.3878051948052,10.8583248826291,1.3035165833763,0.603418570557532,7.3741,4.9478,24.0437,14.8728,77,213
"ZNF233",0.0215249361888304,21.0407805194805,14.112196713615,3.28019366673138,1.35907346247808,5.814,5.1256,28.5477,14.5867,77,213
"ZNF235",0.0673473114033064,64.0158545454545,57.4819431924883,3.36829546738202,1.75970616066691,45.3704,37.7389,82.1916,72.6871,77,213
"ZNF208",0.205507161780584,131.903502597403,92.1739309859155,27.6622596644985,15.9515220366568,3.7168,3.0651,160.7802,78.258,77,213
"ZNF714",0.00621420015417673,97.9580116883117,70.7802253521127,9.69465709978523,4.78355093990103,46.129,33.8028,121.5753,84.5638,77,213
"ZNF394",0.00762047489563333,407.731367532468,466.347576525822,13.6501235664782,12.1432130757046,329.829,360.5263,463.0626,548.121,77,213
"ZNF333",0.0453477512110146,153.637574025974,135.063507981221,9.45890935725399,4.38199839318654,99.5642,91.9661,191.1357,160.7419,77,213
"ZNF382",0.972037504044789,66.2224363636364,66.0451746478873,4.25207764117962,2.62013314313948,39.7445,39.3829,90.2862,86.5701,77,213
"ZNF577",0.393011965234847,167.495864935065,196.719859624413,23.9263954276033,18.621671223752,42.26,42.0516,198.4611,233.4283,77,213
"ZNF75A",0.460548465410255,243.569172727273,256.319430985916,14.4729838459264,8.95806185845892,164.3836,172.359,287.3841,303.9181,77,213
"ZNF496",0.000901959134468666,288.76268961039,241.677864788732,13.981684973869,6.76273711165458,191.2903,175.4292,366.5268,295.8264,77,213
"ZNF2",0.643913203580262,124.313379220779,122.313762910798,3.97728955083358,2.16470925315479,101.975,101.4308,139.73,140.5763,77,213
"ZNF589",0.0147303860057696,251.047203896104,217.044679812207,14.5079570375081,6.47981788618739,171.2485,151.3388,294.7368,268.0739,77,213
"PRDM9",0.116931835714725,1.77863116883117,0.517820657276995,1.20478563949505,0.209219834619219,0,0,0,0.2722,77,213
"ZNF12",0.351419622712818,822.23201948052,859.211537558685,33.9601035144315,20.4145210703316,602.7397,637.5698,979.7634,1061.1912,77,213
"ZNF202",0.636239648946571,207.415983116883,202.093390140845,8.98602753194736,5.92621543048879,148.8287,152.502,253.3092,226.8908,77,213
