"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF747",0.0835112067512226,0.163560222792522,0.427596465278821,357.504151256281,292.18197,332.214611666667,6.96414263687725,39.3016995816128,9.29838256732289,289.43135,264.768825,275.7784,410.06065,336.382425,380.6984,199,10,60
"ZNF778",0.18069214372357,0.362831961021592,0.517877620614215,61.2782733668342,43.8321,55.19075,2.17286715679487,3.87274796724209,4.04298763434843,41.9245,38.426325,36.817375,71.39275,44.756675,64.147275,199,10,60
"ZNF212",0.999827937810417,0.853490588880027,0.9666570483062,381.801326633166,380.93679,393.729958333333,11.1402559508283,42.418402519741,16.9181206593166,273.8858,281.3715,284.5174,451.46615,424.169075,477.85215,199,10,60
"ZNF282",0.998480624628107,0.782689685657144,0.939142363358169,913.976424623116,908.45668,945.849525,23.644502115215,112.771603108449,36.8481176285211,711.1476,693.637075,742.563425,1030.5094,1102.255125,1104.884425,199,10,60
"ZNF160",0.695342127087059,0.877119374938637,0.589075445608811,650.198935175879,760.22281,620.189085,29.5907657544839,188.87999712603,49.5197702131224,417.15775,438.695925,395.07095,778.4551,671.2412,712.4989,199,10,60
"ZNF415",0.775860885707748,0.996184211139017,0.775204104039733,136.240214572864,155.55555,135.16383,6.2603687360209,28.232783207837,11.0575758449816,66.09805,110.984375,72.693325,196.16405,204.42705,183.4459,199,10,60
"ZNF439",0.918173346399068,0.758097906175265,0.775695191448372,120.29058040201,108.43219,130.004341666667,6.25611367631981,28.9812169851304,13.8686117468437,55.46325,33.3766,58.7657,164.17235,145.59245,160.7908,199,10,60
"ZNF440",0.862450846095099,0.172401242968998,0.956754624802956,231.525709547739,207.6178,193.850406666667,10.8816561377221,41.9248195857246,12.6205161891897,141.11325,141.576,119.271675,279.8447,208.25885,252.5917,199,10,60
"ZNF562",0.90249108917147,0.34668064001917,0.980163873780471,290.067991959799,276.30726,269.900096666667,6.95519332979332,46.0193847398468,11.6266913516565,229.1092,165.099525,204.85475,337.98295,319.65235,317.22465,199,10,60
"ZNF561",0.483772747520498,0.999983914803623,0.521386948208002,519.735008040201,577.68106,519.858613333333,11.0225009271117,73.972468613908,17.9604813736115,415.17885,457.933375,434.595425,593.9591,636.65345,589.693075,199,10,60
