"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF721",0.771142638050882,0.972845236948293,0.673701455319023,0.92278656916182,0.656705148912097,0.985987076170485,387.904304069767,357.624791304348,397.607198076923,411.897266666667,9.48513268160885,35.6126263500253,23.8969498322967,42.7256683965446,306.5289,245.5294,288.85055,322.67605,463.604675,430.48755,448.2212,440.3843,172,23,52,15
"ZNF662",0.517372467095908,0.0305637773311024,0.0172274502022837,0.492596947698342,0.167617493438724,0.99727443924237,150.413102325581,210.197891304348,64.4927423076923,75.83192,9.8831809898603,111.297281660914,12.7600216899028,40.8035779640897,44.536075,38.6463,5.624525,8.50535,220.8298,173.21705,112.5433,68.0419,172,23,52,15
"ZNF320",0.718083435875521,0.00376742369383121,0.602027479779075,0.569460407685482,0.986144383323546,0.907775649232086,1236.55363604651,1071.73505217391,852.919811538462,991.611626666667,56.8790954775249,130.465813818036,75.1677115576056,211.289935849417,745.4417,549.7205,472.728075,346.3614,1559.37635,1290.1288,1195.54435,1614.6439,172,23,52,15
"ZNF530",0.99893980580129,0.428091561418458,0.839203422509544,0.213439536262265,0.451858627606345,0.770264854409833,42.0842790697674,41.4514956521739,37.3184884615385,31.7167466666667,1.41095306559348,5.09705412384083,2.71538770418093,6.9911394222147,29.12455,29.79955,24.83545,19.33795,50.017,46.4707,51.394225,35.7076,172,23,52,15
"ZFP1",0.910453742044807,0.947438860522081,0.786510914278787,0.988207177266871,0.997878731679228,0.934182416174273,244.035853488372,256.207139130435,236.897488461538,251.23956,5.65574863721859,25.563001613139,10.8788961508985,28.6625217143386,193.60525,165.65295,184.2918,178.0987,276.987175,322.17615,292.0349,313.71525,172,23,52,15
"KRBA2",0.500881978335393,0.0891448346520101,0.0342563196303658,0.163814456869701,0.0457261921831861,0.92011868936973,135.173172674419,161.321091304348,103.84145,88.1400533333333,6.11412276531712,27.4441526181498,10.4998365108814,16.1121365918569,81.435925,70.44005,59.05255,47.90355,174.0407,227.52015,130.423725,120.1066,172,23,52,15
"ZNF93",0.875999830041836,0.663506523539096,0.999937281846414,0.468903596747971,0.906766077929938,0.890774462004203,34.2675488372093,38.989452173913,39.3853846153846,45.32298,1.98554504496022,8.86598713939758,3.39999225324664,9.83125022549063,20.85275,20.7964,24.242675,15.4705,43.0181,41.43705,48.044825,64.00695,172,23,52,15
"ZFP90",0.917557601787036,0.0386483477690902,0.108645256726251,0.933844839982215,0.798123550294777,0.803174305323096,962.893654651163,1014.50763913043,809.626059615385,905.172793333333,25.5108234964047,90.789056246473,52.7648996609364,117.950943226819,725.03825,706.7981,556.10485,637.3276,1158.48795,1364.09785,1004.6838,1034.4164,172,23,52,15
"ZNF479",0.999951703447053,0.291978428542295,0.651552040237609,0.060597086385377,0.165408327250877,0.530340427715179,0.0520936046511628,0.0168739130434783,0.918215384615385,2.14648,0.0248850547255421,0.0168739130434783,0.77873951509534,2.01207204765919,0,0,0,0,0,0,0,0,172,23,52,15
"ZNF445",0.934665903566512,0.939355007580455,0.811175316073273,0.998858756261881,0.992636920897615,0.970344978778643,451.76778255814,473.125756521739,436.950651923077,458.218946666667,11.8096957867237,43.5274876224285,21.9630135979088,48.3021686652324,336.931725,334.8463,315.2965,341.20255,542.890225,564.5594,555.4437,527.72535,172,23,52,15
"ZNF74",0.970955650621505,0.559553358945964,0.615804252918163,0.665990828692029,0.614820647606781,0.986402642575311,216.539522674419,208.9586,232.485725,240.178953333333,5.02039042167275,19.4989391868271,13.0179739435732,26.8381996075297,171.7694,146.88635,177.578375,175.62905,243.478425,245.11865,272.839275,268.94145,172,23,52,15
"ZNF829",0.993792261367873,0.995372768985445,0.981278335583296,0.982675083650237,0.964658073382026,0.996601737788668,8.62768953488372,8.23821304347826,8.87901923076923,9.29840666666667,0.481191228511714,1.15390234304501,1.11490222782184,2.09075538423583,3.628275,4.6753,2.305875,3.0975,11.87055,11.876,14.47325,15.12575,172,23,52,15
"ZNF267",0.890098800840265,0.372852312279559,0.980775678838385,0.937756917947524,0.999999760792279,0.986726844370209,290.597606976744,311.337473913043,323.842173076923,310.960473333333,9.92987281200462,26.1969965327736,19.2452264169653,26.2029177576367,210.20775,219.68025,232.455575,251.08725,343.496525,414.5003,408.141775,371.5384,172,23,52,15
"ZNF566",0.214134806412874,0.110326103873871,0.991352084508801,0.999866209417614,0.602495349486869,0.656296988759324,140.233615116279,121.467452173913,124.649446153846,139.389733333333,3.21932171087065,9.5875754802268,5.8403186915852,15.1426939354379,107.806575,83.577,95.0543,93.9005,162.918175,147.813,146.12045,175.6913,172,23,52,15
"ZNF224",0.426955404836692,0.047883573875986,0.99087542415886,0.778377558385832,0.994691532029479,0.950834528630674,219.617448837209,180.411008695652,171.771701923077,189.93678,9.55158575201634,20.486664598872,11.8883369772145,31.7356592703437,138.83665,125.4079,114.432475,126.8017,275.3365,228.0715,209.412975,173.99845,172,23,52,15
"ZNF529",0.424936324858975,0.411826190763195,0.982137983653585,0.353639801342713,0.088382961756626,0.0899720597321103,264.808188372093,223.355456521739,234.830463461538,319.18446,8.51875326284889,18.3885896605064,13.0784518189047,72.8999589628396,188.947325,147.8847,167.826125,174.3855,312.755375,282.1942,286.15465,313.85885,172,23,52,15
"ZNF284",0.999997162532976,0.109242600901459,0.492229710651494,0.109778253728692,0.265515524889864,0.827786951959659,33.5099831395349,33.4174173913043,26.0022442307692,20.7501333333333,1.64067183222631,4.90807032530791,2.66200431506826,3.85346879740056,18.402275,16.85065,9.5038,12.2232,42.707775,47.244,34.0081,27.0265,172,23,52,15
"ZNF749",0.994820217429473,0.388756446241516,0.861376175065986,0.819305782363589,0.948225387520712,0.999940160113567,56.0941686046512,53.8477260869565,45.7333269230769,46.3989066666667,3.54309145106132,6.22116956549943,4.15277254817534,5.0840620033635,38.628675,39.4381,25.7424,33.40865,65.695175,64.78705,58.081925,55.68945,172,23,52,15
