"gene","p-adj-mRNA.Cluster 2-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 2","mean-mRNA.Cluster 1","mean-mRNA.Cluster 2","mean-mRNA.Cluster 3","SEM-mRNA.Cluster 1","SEM-mRNA.Cluster 2","SEM-mRNA.Cluster 3","Q1-mRNA.Cluster 1","Q1-mRNA.Cluster 2","Q1-mRNA.Cluster 3","Q3-mRNA.Cluster 1","Q3-mRNA.Cluster 2","Q3-mRNA.Cluster 3","count-mRNA.Cluster 1","count-mRNA.Cluster 2","count-mRNA.Cluster 3"
"ZNF7",0.949369592562856,0.000369366283197614,0.00121983515485835,314.812772727273,309.670145901639,223.537552173913,10.8969452340663,13.7073952784505,15.7665289770534,246.74,240.8663,169.4355,361.9072,351.7712,270.2115,77,61,23
"ZNF214",2.21515124598781e-06,1.56241818988212e-05,0.598645037851848,96.2114623376623,64.6147180327869,56.1550695652174,4.36862117070955,4.36759361148627,6.34615029078719,65.6713,44.4664,29.8789,127.769,78.0052,67.51215,77,61,23
"ZNF215",0.825928284713207,0.102315736839945,0.255347863140691,44.6790454545455,41.9672655737705,31.5634304347826,3.00685209242142,3.97059977294857,2.50354077852559,31.3825,16.6278,23.2538,50.5725,62.2861,38.37555,77,61,23
"ZNF547",0.0043246312289732,0.0357551899488531,0.984811359501914,47.3815922077922,31.793006557377,30.6437739130435,3.86132866088267,3.04027612299776,2.96541032017572,28.2122,16.8627,19.92495,56.4843,45.7965,42.2877,77,61,23
"ZNF773",0.874078443479422,0.667911603250692,0.877928217479814,82.9266142857143,79.6967950819672,75.1621739130435,3.694644120679,5.9807089675102,6.07892204440762,58.0841,49.8074,53.97955,101.0017,104.2743,87.88855,77,61,23
"ZNF776",0.00841731991907846,0.0225285403624388,0.878766182832466,340.056084415584,276.199413114754,261.543404347826,14.5199289603361,15.6364303367161,23.7903979270422,252.6264,191.1729,186.0064,400.8639,336.0619,304.2324,77,61,23
"ZNF256",0.584265397539253,0.460188249390261,0.888532691464192,71.5602558441558,66.9516721311475,63.8730608695652,2.47874726003966,4.34308000106817,4.77721753237282,57.676,43.9228,49.2354,85.6044,86.4469,78.9377,77,61,23
"ZNF599",1.39085791920346e-05,0.00428693308950923,0.981009122128297,138.058288311688,92.6218147540984,95.1723347826087,5.2280402901999,9.12130670629876,7.58078174868072,111.4413,59.2869,69.92005,163.341,104.6312,113.9538,77,61,23
"ZNF18",0.0072146598446251,0.323859117891577,0.734354589414193,253.291412987013,206.776647540984,223.021186956522,10.8820890803811,10.9571624759441,14.5523226136935,193.087,147.5379,174.0471,291.0143,256.7734,286.965,77,61,23
"ZKSCAN2",0.00351889473119937,0.203813392683849,0.797124185535261,301.669775324675,253.979083606557,267.264230434783,9.8049444404284,10.3377261578603,18.6587014327276,245.7927,201.487,216.9986,373.3058,295.5282,293.825,77,61,23
"ZNF689",0.875270369085774,0.757237751351644,0.936138186038455,150.70341038961,157.368609836066,164.062882608696,9.19053707259053,9.83561183717642,16.5731414504668,87.2431,107.0632,115.79115,202.0982,205.4645,207.6105,77,61,23
"ZNF19",5.33684207937313e-13,0.0242806352786424,0.00672293736678342,177.669784415584,104.443708196721,144.409930434783,6.51822291902127,5.83399243160445,11.6972260654677,141.1595,75.8591,105.54845,204.331,117.1695,155.88635,77,61,23
"ZNF230",0.996294203596971,0.0890813444124773,0.0898183640773548,81.0747935064935,81.4454868852459,67.8002,2.78086646157941,3.92458953127409,4.00218417086344,62.8875,60.1281,55.99655,96.8936,98.2828,79.9953,77,61,23
"ZNF222",0.753889386223066,0.706032925591094,0.411274596728987,39.943861038961,42.0477672131148,36.7052130434783,1.77130658516451,2.61466276938129,2.40998164696491,27.3656,29.4143,30.8197,50.6392,53.7123,43.27725,77,61,23
"ZNF221",0.587649392887837,0.371867739420347,0.810702779685305,13.9386038961039,12.1704180327869,10.5871434782609,1.18235881725866,1.44270836677416,1.746630489268,7.1807,4.01,4.36685,16.8592,18.0461,15.20765,77,61,23
"ZNF233",0.0555264004033603,0.659468319815415,0.0382202010504368,11.2081636363636,18.2020344262295,7.57364347826087,1.33885487498115,3.1784879116925,1.58855345576134,4.2155,3.7749,2.89725,11.9184,16.1725,9.23745,77,61,23
"ZNF235",0.0102324710274165,0.00544701203621434,0.579502877982777,65.0736012987013,52.0176868852459,45.7119913043478,3.02596822487184,3.45198236581594,4.03831796751512,47.727,30.1589,33.23045,79.3147,72.9967,50.23255,77,61,23
"ZNF208",0.695078244292877,0.693392201483034,0.362873615272398,84.9143532467533,115.70771147541,42.0822956521739,24.6877322371283,33.3587044373403,11.0001846129289,3.744,6.7734,7.9466,60.1132,143.7126,53.8877,77,61,23
"ZNF714",0.594358461540669,0.0477784075902685,0.00881999061285144,83.3188324675325,94.9352295081967,43.8952695652174,7.00415666212051,11.3057022924931,4.45184701068432,44.337,37.8942,29.9675,111.8463,114.897,54.18045,77,61,23
"ZNF394",0.00964710569200977,0.0449710084158742,0.963428305580822,443.320574025974,381.378914754098,373.6331,16.6612966853017,12.3134776983789,17.9290406381994,333.4895,311.4551,316.48955,557.1375,444.2539,435.403,77,61,23
"ZNF333",0.289513554259779,0.0419955060002913,0.392451802226752,142.414575324675,125.201926229508,103.890143478261,8.99842838601727,7.45354332446429,6.69255404591868,100.1094,76.9388,82.1274,158.9101,166.4075,127.499,77,61,23
"ZNF382",0.0886420073440972,0.350088662178158,0.989338916327278,74.2970753246753,59.6986704918033,61.068047826087,4.4050148063004,5.70828414352035,6.54951233444794,49.7719,32.9381,40.5423,92.1087,77.1061,79.19625,77,61,23
"ZNF577",0.000937237633846899,0.0297575849920357,0.996396644497462,228.756674025974,87.1272196721311,91.5762739130435,35.1559994317956,11.008055446905,24.4057100487328,73.1587,28.8812,33.66945,236.1951,113.3759,109.07045,77,61,23
"ZNF75A",0.997617658316484,0.0274719894045927,0.0296717353358175,252.359579220779,253.720475409836,177.806352173913,11.6878896275648,18.9682017345682,19.1648844768752,185.306,149.4424,113.3864,301.9888,307.4399,190.92695,77,61,23
"ZNF496",0.0147185778667793,0.653689578930885,0.0143497316067532,241.96892987013,297.430247540984,218.010908695652,13.5869638468243,15.4303747928727,15.5398079797489,154.8848,206.6703,159.98705,296.4871,369.6112,266.6955,77,61,23
"ZNF2",9.00571051302146e-05,3.64745507319686e-06,0.144077644023001,138.601266233766,115.28791147541,100.618326086957,3.8499768235588,3.93680491784864,5.45000797654425,116.0242,94.4845,80.07975,155.9844,126.3091,114.81565,77,61,23
"ZNF589",0.190950682857674,0.907108299533329,0.693959761906247,218.116963636364,187.469798360656,207.887804347826,12.997146686775,11.6399992534433,18.3102102965804,155.6793,122.6092,152.13125,244.8764,232.0338,242.3597,77,61,23
"PRDM9",0.0762271522121479,0.994056314415747,0.234338828884792,0.33327012987013,3.32816065573771,0.136008695652174,0.162135606560623,1.6458471861191,0.0466277610370666,0,0,0,0,0.3723,0.2898,77,61,23
"ZNF12",5.29199239984735e-10,9.23036715949621e-08,0.656132449394215,1041.19079090909,729.171672131147,672.005839130435,33.6990652345054,30.77693655654,47.0978802726441,851.8283,539.0307,489.539,1213.0142,918.1791,823.76315,77,61,23
"ZNF202",0.0360297177539649,0.00259813256213393,0.276969036087267,210.645425974026,179.08506557377,151.361608695652,9.63022888186056,8.70960753174078,8.82824119270412,157.1186,125.3717,115.78085,228.9907,211.0847,181.5293,77,61,23
"ZNF3",1.9022272645941e-10,2.10313256254757e-07,0.831025842226912,925.944158441558,597.559872131148,558.806295652174,41.1877061985304,18.7072792221858,33.7005328760801,728.5971,510.2798,464.7539,1069.1718,693.3637,636.9156,77,61,23
"ZNF606",0.000285530203128714,0.000214370064017255,0.481935333506668,232.077232467532,175.140963934426,151.670252173913,9.59553752370546,10.8235630711004,15.548306153299,169.4426,117.2965,102.91655,267.4934,224.3935,170.15125,77,61,23
"ZNF91",0.985353203731985,0.0267472335721174,0.0240542414360807,295.25281038961,298.526440983607,222.876252173913,12.0978660502321,17.2974694617272,19.9560554980651,218.8295,223.7671,171.1068,349.5431,415.6366,269.08375,77,61,23
"ZNF226",0.00136184597655364,0.0200019332042669,0.989929664418729,290.830951948052,226.582703278689,223.102882608696,12.3068290666369,14.1154127304899,15.7133289955237,212.4113,155.218,181.5829,343.2637,272.5587,238.32945,77,61,23
"ZNF229",0.938015843632675,0.919345059620654,0.989144573663595,120.44747012987,115.042437704918,111.856634782609,9.32907492149397,14.245537223661,14.1076944587711,58.8235,27.5689,60.51525,166.5488,172.3381,144.9561,77,61,23
"ZNF180",0.627184691358004,0.012752074873902,0.00216211399507971,99.3322233766234,105.039885245902,74.6714043478261,3.59277033857077,5.67202946379009,5.02489145974247,78.8203,71.1479,62.44745,113.2222,124.354,85.1077,77,61,23
"ZNF641",0.40414455472377,0.9278614359542,0.419866730984892,103.647744155844,116.884196721311,98.3947391304348,5.8884969327397,9.11825752441116,10.9716515251478,73.6004,70.6416,69.1441,140.5152,155.8721,139.26085,77,61,23
"ZNF610",0.174275391228512,0.637511091863321,0.924123859701881,103.023772727273,88.7894229508197,93.0717565217391,4.8788990032393,6.50215297209396,9.30577611677641,74.663,52.4678,61.72615,129.1675,113.6114,126.79475,77,61,23
"ZNF528",0.990622191000193,0.680874833904605,0.751506547513026,288.013728571429,283.728339344262,249.996008695652,19.5785995191104,29.0721190348255,29.5467630645605,182.6961,152.4619,148.6223,321.4483,361.6236,307.53335,77,61,23
"ZNF701",0.88602627798267,0.329007107817633,0.54131898764186,116.600693506494,112.368019672131,98.7263217391304,5.53213699802241,7.68626448870922,9.22814673969836,79.37,65.7084,68.55555,137.8556,136.2799,119.58755,77,61,23
"ZNF283",0.923040160035579,0.225972949155122,0.149578946307231,34.4927246753247,35.5207508196721,28.3071434782609,1.75768937608429,2.23691369759902,2.31078380699729,24.2256,25.0329,19.64385,42.04,47.3684,33.1975,77,61,23
"ZNF558",0.00105254095286766,0.00298199365744056,0.769067230731097,425.709631168831,292.902260655738,256.955256521739,29.6207820020842,21.2129145385863,26.6532335788817,279.0811,180.6787,172.81495,493.0597,370.0583,277.7041,77,61,23
"ZNF597",0.420199925316466,0.973014412007397,0.783542606406684,46.6067831168831,41.8744459016393,45.4463956521739,2.63949196943727,2.5048166836097,4.90597809716078,29.0528,28.1083,28.9119,57.936,51.7544,63.34015,77,61,23
"ZNF30",0.69401884287038,0.00313643897118865,0.0234386147105156,62.1143701298701,58.6858852459016,42.7329956521739,2.40491497611055,3.90751432744461,3.24608264191798,48.2554,39.8839,28.6881,71.7545,71.8044,50.7338,77,61,23
"ZNF354A",0.666793328524716,0.459911316745078,0.186853501116009,317.315042857143,375.722004918033,205.01002173913,14.8408737524693,79.975280172117,17.5376368126047,237.3272,194.3575,149.752,357.3846,382.0175,261.0749,77,61,23
"ZNF764",0.136611763857098,0.298137230012303,0.994147523300168,225.027406493507,206.448021311475,205.022082608696,5.84048395106312,8.70199791021796,7.33210601145318,189.4175,167.2485,179.0319,254.6501,230.3876,229.4954,77,61,23
"ZNF747",0.196899988513984,0.915244504163108,0.247813163387035,367.922709090909,338.606309836066,377.337465217391,11.3802272231899,13.8051637435354,13.1262369053842,285.0063,271.0096,323.2381,447.9484,395.7274,415.94295,77,61,23
"ZNF778",0.786345081761549,0.998541540990393,0.865094300021204,60.3010454545455,64.0776672131148,59.8935608695652,3.76629440793473,4.48317462017265,6.11700916367854,38.4009,42.4595,38.17345,72.3234,74.8733,67.70305,77,61,23
"ZNF212",1.0430685859486e-07,4.66460758535847e-05,0.962502647737655,440.693441558442,307.331336065574,298.689826086957,19.0733583958751,13.0651965685676,13.1916594318073,328.4211,238.4596,256.96695,524.7323,376.9994,333.06335,77,61,23
"ZNF282",0.00100501023674526,0.000995471039079932,0.582733247097182,1036.07680779221,831.548231147541,752.328091304348,46.519346748847,31.3245913302124,33.2833798759969,781.2007,661.1173,637.3876,1137.8078,970.8561,823.51355,77,61,23
"ZNF160",0.00306755384698454,0.00190088212728057,0.552680789363082,694.625488311688,496.346845901639,407.982408695652,48.8503648012604,33.611934723432,43.1855107901514,420.0611,347.2709,257.6622,790.8065,586.1887,473.6632,77,61,23
"ZNF415",0.72291548366179,0.384268970489002,0.165214176182951,136.979915584416,147.807608196721,111.126169565217,9.37716013370508,11.4655528806433,11.9340845517152,65.8864,77.6928,67.8391,192.1897,206.5386,160.20855,77,61,23
"ZNF439",0.000113102168828205,0.000113592839640742,0.487551135749431,141.983,87.1649393442623,66.0075130434783,10.340555310077,7.99888228192163,8.90566841786869,77.2655,27.2364,31.4359,175.6495,137.0934,87.21195,77,61,23
"ZNF440",0.00618400002930264,0.0174711562131643,0.869923472625109,241.282307792208,184.419955737705,171.30362173913,12.9278097575821,13.9801166020618,14.0811723344054,153.8766,107.2232,109.10425,304.185,207.6942,217.3604,77,61,23
"ZNF562",0.0908074648392787,0.180064054493664,0.966550551195162,322.478167532468,282.156986885246,275.383034782609,13.1576400838686,14.0701289737993,21.0390791743341,235.7117,202.2538,198.8759,381.1104,344.8708,316.78035,77,61,23
"ZNF561",0.556777081442974,0.232936727707009,0.0566933170999963,523.887887012987,550.837785245902,464.697908695652,15.9101870520385,23.1741895581069,20.3026530425042,427.5457,420.9446,403.74935,590.5201,656.5789,526.19825,77,61,23
"ZNF584",0.179478516488378,0.0195474722086222,0.000427196875569913,165.551161038961,179.084244262295,136.848273913043,4.45433659317615,6.92250976329427,6.16066998227327,137.7226,144.314,115.9396,191.229,211.8948,152.30265,77,61,23
"ZNF274",1.86605937524398e-06,0.249211625436768,0.095935904597671,526.628741558442,372.482055737705,460.860686956522,21.7645103037373,20.2057380623175,30.4564450365222,390.5852,277.2074,346.2854,616.2153,457.2014,530.2671,77,61,23
"ZIK1",0.105765333832633,0.499971648440415,0.939245964806195,65.3326649350649,50.1582344262295,53.7371260869565,4.71732084331408,6.24081942667949,6.93830840093825,35.8555,14.0026,26.81645,89.3398,71.5397,71.7963,77,61,23
"ZNF540",0.000186478670229806,0.000543411361576762,0.680103525572362,89.7851935064935,53.510237704918,42.9542652173913,6.51201195526076,6.59318164441262,4.79431385832414,45.7206,19.8036,27.95975,110.6518,72.4271,49.89425,77,61,23
"ZNF570",0.535863318305474,0.269129526150625,0.727516305387159,58.4253792207792,53.2110032786885,47.9039086956522,3.16619626277061,4.00577559363306,4.66362491695505,41.1398,30.368,28.62225,79.5106,70.4647,64.2058,77,61,23
"ZNF57",0.677730615359373,0.660951841156136,0.965122184720528,104.329780519481,97.2211147540984,94.1610652173913,4.51181709718285,8.19516453619781,6.07816107182784,76.6445,64.5554,68.7074,116.2098,112.8702,119.80775,77,61,23
"ZNF556",0.0961015098431722,0.0832175561310192,0.805438565482943,9.65498441558442,5.93589672131148,4.33936086956522,1.38264380909176,1.1552493695978,1.42692422004553,0.9042,0,0.34205,11.6861,7.5652,6.6161,77,61,23
"ZNF554",0.00112108193552019,0.000284003627540996,0.372673799085695,130.528151948052,106.718595081967,94.1161826086957,4.67979805861218,4.97046168093375,5.10648717203599,103.9906,81.1112,78.69265,147.1059,125.7291,105.6661,77,61,23
"ZNF738",0.237477580690745,0.00891539558762378,0.183583840019824,148.419981818182,127.436857377049,94.870347826087,9.27088457908618,9.98798741530751,7.28225204833295,91.6785,85.623,71.91365,168.6666,166.6808,116.10915,77,61,23
"ZNF596",3.45750672336997e-06,6.3396376668301e-06,0.433192855199599,110.950135064935,67.6185426229508,52.4922391304348,7.05034115565725,4.60130388562955,7.19490188886443,69.6203,41.0256,32.66805,132.9777,93.2779,54.07945,77,61,23
"ZNF621",9.2556146098044e-05,0.0703148569171215,0.676231638680607,917.689694805195,614.660690163934,699.819204347826,51.5006052368216,49.7309804571749,67.2695101076726,632.6152,376.7616,490.21985,1056.2113,709.8269,872.93295,77,61,23
"ZNF680",0.174403615023698,0.053995483039792,0.57200556519195,219.835046753247,192.769909836066,171.048234782609,8.65720636825026,13.8285944061025,12.8443868120488,157.8947,125.7398,122.57665,270.2519,229.9502,200.0821,77,61,23
"ZNF483",0.400356951060356,0.0352117650045578,0.281648320257551,25.2159714285714,21.330137704918,14.792352173913,2.19354412718814,2.23799150027218,1.97108451298939,12.8383,7.9051,8.8481,30.2443,30.9056,17.79135,77,61,23
