"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX"
"ZNF354C",0.814624111363851,0.998550093449803,0.997927098497462,0.987986170859367,0.999999964519169,0.999444219484572,0.96244853017363,0.994075915306231,0.985955608660187,0.996513790766626,41.6586680555556,33.7975047619048,37.9271833333333,33.4653714285714,21.45155,5.77764943713129,4.35062243089692,10.0231808843666,14.2344405761371,16.65925,9.529425,9.13125,12.2567,7.90025,13.121925,50.376375,45.86735,68.039725,41.16145,29.781175
"ZNF114",0.418170304612192,0.836330648096793,0.999989924762748,0.985365264563629,0.712955708645191,0.799121121715066,0.995221974399776,0.929738204655818,0.933907666124601,0.9999853015076,71.3228736111111,42.475919047619,39.9975333333333,91.1621714285714,98.09695,14.2198977788306,6.93486318766252,13.1488330140689,59.2155913016911,93.19695,4.11295,3.0912,12.5279,2.75995,51.498475,89.7071,75.7696,43.467125,86.2948,144.695425
"ZNF454",0.999369270273823,0.831301986578661,0.770642329665522,0.991664875286724,0.982526416543414,0.997802441899797,0.999999691417454,0.999985437327812,0.994716383936684,0.999704251107912,8.83287916666667,9.23696507936508,5.50323333333333,7.03375714285714,8.5847,1.27857861767222,1.312766517919,1.50238064207672,2.16215123538893,3.393,2.20135,2.61225,2.004725,3.1453,6.8882,12.32745,11.25685,7.032375,8.47625,10.2812
"ZNF543",0.99980947914693,0.999993024521926,0.999999965143148,0.754076228780763,0.798923251201618,0.878217593350028,0.999999992070657,0.999999872479762,0.999999978301815,0.97811296738118,199.2282,196.971328571429,197.448908333333,162.879371428571,198.47755,9.34536314652012,9.39304411870435,22.2296628618312,28.2180489673062,23.16785,146.827425,146.0918,120.9324,106.9303,186.893625,235.9073,254.79075,269.82715,220.0403,210.061475
"ZNF354B",0.998197349270869,0.999999393302051,0.999604623830034,0.998544882943983,0.993817365416479,0.999556770568579,0.965776507617101,0.950568071812657,0.975384909211071,0.991911358519289,130.464790277778,125.623355555556,131.637483333333,140.984514285714,174.147,14.1941574644354,7.11183351677516,20.450586039098,17.8116679209822,93.0255,73.549625,95.49435,72.90615,109.0652,127.63425,141.613425,148.72925,185.6591,176.5446,220.65975
"ZNF223",0.894905463598269,0.956688529103383,0.999670398293765,0.991934820782583,0.920325497938017,0.922093534290763,0.999994440666617,0.99849756917764,0.996722740870226,0.999865378541448,59.8401222222222,65.8991333333333,68.2914833333333,53.0252857142857,57.8857,4.10594168684119,5.41473175403421,10.9282016817196,16.316222607656,8.9514,37.176425,38.37285,34.695075,26.8868,53.41,79.4191,78.81795,98.840525,81.4897,62.3614
"ZNF713",0.994394649259943,0.863267366934344,0.943951504291754,0.364145795873152,0.476134377093088,0.905948883725234,0.768399821000788,0.821113578230926,0.956753409822698,0.999897068859496,81.1166958333333,76.6648492063492,61.5213916666667,34.8985142857143,27.40875,8.81783462510153,7.22068028982372,10.705412400924,8.03423627666325,8.15955,36.90145,46.4823,35.4374,15.3332,23.328975,95.970625,88.10445,72.1248,51.01715,31.488525
"ZNF552",0.171636982978527,0.80404026533269,0.999930118334368,0.999992678088309,0.898674007237522,0.964238243460332,0.986004224002787,0.831947082701562,0.884059267216347,0.987686928700877,168.024681944444,212.15349047619,207.387566666667,171.428171428571,126.01695,10.9096005637076,16.1413184227468,45.7927411189831,40.873492445423,9.00415,107.405075,132.66585,125.108475,77.8788,121.514875,217.405125,251.53935,210.919025,227.69205,130.519025
"ZNF154",0.985148196193582,0.999535653946229,0.987604053923878,0.999986395375834,0.997903002495352,0.999995469312871,0.936852239653324,0.966309229785538,0.925225779862718,0.947187029536445,62.2533263888889,66.6202825396825,59.0218,60.5633714285714,89.3311,6.29194102977666,5.35704613457738,13.8533131692331,18.2190402849499,38.6123,28.308175,32.48655,25.861625,18.54995,70.02495,79.33975,92.31745,65.005875,78.8781,108.63725
"ZNF571",0.999576896354459,0.999998823602555,0.999995393916988,0.995980120269207,0.998692720002631,0.998704632584458,0.931000301224558,0.915719126065999,0.939408654964951,0.89816861533343,60.8523847222222,62.5361380952381,61.5477666666667,67.7121,34.06415,5.49844320556666,6.22776245440954,8.8613563397,17.7415998424472,31.26865,25.55505,29.2649,43.69515,41.55775,18.429825,76.1031,75.1795,70.26385,93.10085,49.698475
