"gene","p-adj-Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","p-adj-Current smoker-Current reformed smoker for < or = 15 years","p-adj-Current smoker-Current reformed smoker for > 15 years","p-adj-Current smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current reformed smoker for < or = 15 years","p-adj-Lifelong Non-smoker-Current reformed smoker for > 15 years","p-adj-Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","count-Current reformed smoker for < or = 15 years","count-Current reformed smoker for > 15 years","count-Current Reformed Smoker, Duration Not Specified","count-Current smoker","count-Lifelong Non-smoker"
"ZNF671",0.993707670054723,0.974809506006793,0.992564240397357,0.999976495697335,0.986345565162864,0.968303153437758,0.99521631079884,0.999995535380787,0.990360432822081,0.988280742394439,61.5256514285714,67.3987735294118,82.7432666666667,60.0905454545455,66.531418,8.78876301971608,8.38618520055189,24.807960248835,14.8657836720334,6.68381142098666,29.34615,38.31255,58.35425,18.201,28.4635,74.92275,81.729475,98.86945,73.5391,88.85485,35,34,3,33,50
"ZNF416",0.720873303513356,0.152277372250838,0.382255382154972,0.999997740602164,0.763943522551753,0.161562636362402,0.962861937862778,0.957642086036187,0.236521966403854,0.975478022521117,101.423314285714,117.261764705882,173.9575,102.137615151515,109.162852,6.66475419863611,10.9324062756838,16.7591181728037,9.26659391554256,7.41614246610358,76.16665,77.562775,163.98675,56.8871,71.380625,127.4377,148.4527,190.6086,121.7391,133.939975,35,34,3,33,50
"ZNF586",0.406904773223735,0.904422684873523,0.999773669186308,0.0627162313797092,0.884582576352833,0.999643245305885,0.652838745478032,0.982381114288203,0.995342384686274,0.529019056540322,248.199082857143,206.149782352941,195.459066666667,183.453866666667,218.243448,19.0942929545456,17.7626284470241,24.3655441200844,15.0751657354945,13.738875789814,184.4346,144.0179,175.37655,130.2752,157.220775,286.93005,250.949525,217.44935,224.196,257.080775,35,34,3,33,50
"ZNF446",0.152764366102158,0.882805490087692,0.999999980336248,0.413462265533081,0.983774841399767,0.999338684957657,0.306163605901083,0.979085778859668,0.999364387730498,0.999999988006557,238.717397142857,172.002105882353,170.7573,187.744696969697,187.335046,34.7336591773578,12.8006181810442,42.723799676995,11.6349289003941,13.0284627659993,139.06015,117.32595,129.8129,142.848,126.75615,229.02205,227.779025,201.7964,217.2606,226.451325,35,34,3,33,50
"ZNF8",0.998762439126131,0.996691862899744,0.990664589426526,0.7404590908608,0.880479229771784,0.917291828036793,0.999991183180371,0.995786289264001,0.997516248253876,0.631190978311458,238.870314285714,231.867376470588,261.371366666667,207.410918181818,240.717254,19.1321775142105,16.6183096811003,26.7011254646899,21.3249620374655,13.8128782278707,155.02045,155.046775,245.1882,134.918,169.165825,301.7948,298.78855,287.85565,261.8401,302.739625,35,34,3,33,50
"ZNF264",0.999541374496298,0.999883447061279,0.999995819708059,0.521678582465348,0.66343192113983,0.989087466210187,0.999334155242545,0.999999999999348,0.99999572516017,0.587168151514425,1224.15143714286,1197.90131764706,1177.71326666667,1029.30797878788,1197.74953,88.8097759816614,97.5029791642384,82.1838728332458,85.4580165668139,68.9566835370488,795.3353,858.91745,1101.2773,693.5208,791.603825,1584.76975,1380.744,1242.0808,1208.9305,1447.61365,35,34,3,33,50
"ZNF213",0.862566635369708,0.968605905922125,0.999206625072718,0.48063580118596,0.0778683720380933,0.696329948318758,0.783039685151449,0.999994826850072,0.999458813544967,0.0355691104692301,754.299294285714,687.490544117647,645.9823,865.929551515152,683.165696,42.1806365302874,37.4829406120772,146.547695930381,70.1495690585595,34.5767032949445,607.202,525.34515,510.6418,600.3612,493.077625,895.06695,872.0198,762.32885,983.4862,821.2377,35,34,3,33,50
"ZNF343",0.999242552447872,0.999704881365,0.999982555847917,0.633068974366288,0.782059633663971,0.995934537721913,0.999419223454575,0.988625771101298,0.998713159427714,0.419540154860235,297.176788571429,302.883670588235,308.4115,330.370396969697,292.293384,14.4439136454956,16.4220764099944,50.3822851994958,18.4683116583599,14.5727187496408,239.2131,235.4905,262.2039,249.2754,210.194625,335.02655,352.798325,348.90565,388.2938,357.05775,35,34,3,33,50
"ZNF302",0.999999576547965,0.610301698559415,0.6208446044164,0.798455835172742,0.821239183931056,0.865437295466515,0.950178710170871,0.941609544592749,0.427951816485191,0.311483371906262,401.244022857143,399.310961764706,214.071233333333,342.322096969697,436.093276,27.531396258915,47.1169427411614,30.4975924934703,22.6746177963481,35.9940597993382,299.2197,248.7843,189.3009,261.1271,268.0409,501.08475,475.77615,241.8642,405.1233,546.5298,35,34,3,33,50
"ZNF268",0.121620411809524,0.631400005819758,0.992455879392797,0.993321525644563,0.298995192654673,0.738239622788376,0.999446980430989,0.127549898018288,0.673070308560594,0.999290730183168,407.99742,294.837611764706,243.4312,387.936651515152,398.370646,39.4911004009896,26.3248365205287,29.7937019564538,32.0213312293102,28.8629701610069,306.8211,205.645375,217.00515,275.4786,285.611075,480.7896,396.6688,268.56045,457.5569,545.08115,35,34,3,33,50
