"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF133",0.213518155730924,340.0131,308.490127777778,15.085189868019,19.3160792940545,233.339375,220.68365,401.9679,356.729725
"ZNF436",0.188080120915179,753.746551886792,660.288177777778,44.514326371962,46.525877617579,397.311375,376.225325,988.12875,929.8054
"ZNF484",0.217044566579837,162.777976415094,179.349683333333,7.01312961159129,12.7211567855405,107.9035,114.5243,199.555275,213.01435
"ZNF780B",0.803031178841561,354.617299056604,362.846898148148,19.420400825841,26.0017753470815,219.27335,217.815,420.137925,436.456825
"ZNF557",0.845614323064251,191.859983018868,189.444759259259,7.73648857969139,8.37260601816081,141.916,144.949625,221.249325,219.000025
"ZNF337",0.428214741314333,441.879388679245,413.612727777778,21.10251057447,27.7386908194756,314.673575,252.856275,544.085575,488.585475
"ZNF317",0.879447189390493,935.240999056604,941.478183333333,25.765595051693,27.3402558223215,733.363525,744.159075,1064.8821,1086.861075
"ZNF426",0.953584355833536,226.902987735849,224.804268518519,22.7626824349157,23.3351201428828,109.46745,119.38115,273.2038,275.0323
"ZNF331",0.811374150511351,264.632489622642,275.594261111111,26.928869294989,36.506215990733,66.971675,78.225725,337.45185,360.294925
"ZNF227",0.911742597483303,254.351250943396,256.311390740741,9.41575802209544,16.4589957722486,185.271125,178.94655,306.43625,296.649325
"ZNF141",0.124604639586545,68.0808877358491,83.7678203703704,5.69614340247924,8.81509374615951,29.1946,39.5724,87.2285,116.49065
"ZNF304",0.586334146597342,302.803359433962,290.875944444444,12.9411335263759,17.1380737968101,224.0991,211.784525,354.63995,373.329075
"ZNF132",0.272792272276921,51.8981622641509,59.6833722222222,3.37032102811342,7.39367398294863,30.0215,28.833,63.318775,71.8936
"ZNF20",0.77949447060145,99.2237688679245,101.086262962963,3.62664714164706,5.99607453119421,74.215925,76.647675,120.59195,118.61215
"ZNF670",0.951125135462891,92.9888056603774,93.4844851851852,5.16594035637868,4.99696875299022,57.7057,65.977525,115.736525,119.889675
"ZFP37",0.292281094416009,59.5180141509434,68.7963314814815,5.03223722593153,7.33472385098596,28.513675,26.464275,76.454725,92.8763
"ZNF189",0.790469327026252,484.880901886792,494.689061111111,21.48992198709,29.7690797824003,309.8451,347.818625,633.109475,662.20215
"ZNF434",0.0692963946449011,358.654469811321,330.704687037037,8.69105501587175,12.9422123037333,288.248775,277.24945,415.65145,380.11255
"ZNF287",0.341420851952945,58.7573518867925,51.19355,4.60756588068808,6.44433185895877,21.938,15.1674,84.844125,75.082725
"ZIM3",0.997053463587919,0.582346226415094,0.57995,0.380740137406236,0.514933371418429,0,0,0,0
"ZFP14",0.734318397281833,152.168266981132,146.339683333333,10.5629789529584,12.1057283356492,74.83055,81.36665,199.942025,195.753325
"ZNF473",0.862414414972496,338.945245283019,334.716122222222,14.810866245396,17.8675466528088,231.552625,233.57235,431.53455,413.03565
"ZNF614",0.0454569421900967,238.389793396226,309.122611111111,18.4669083960873,33.2290170189666,106.737025,151.7368,314.19315,405.947225
"POGK",0.306616729504279,2041.26034056604,1919.36775,75.2635155755871,76.5829246380952,1554.0352,1544.46465,2394.9883,2257.388075
"ZNF514",0.803848632602728,269.404353773585,275.28327037037,13.9084285306591,18.7227265287157,170.8987,177.08365,321.26955,336.62845
"ZNF300",0.334182445571358,113.080160377358,133.702568518519,8.86214774307419,24.2835964747684,45.380675,48.28295,154.41075,155.80225
"RBAK",0.858509277198744,833.890262264151,824.660318518518,28.807546220842,45.2727970520298,631.624,612.48555,1006.283825,960.4933
"ZNF92",0.88226297490203,343.016195283019,349.757692592593,30.5658910860345,21.1130252334099,211.42035,237.14545,411.957575,411.333325
"ZNF157",0.458656799897989,1.84832452830189,2.30388148148148,0.308048949955026,0.611283892376924,0.0644,0.051675,1.801225,2.22735
"ZNF182",0.129623289351338,180.756538679245,207.709607407407,9.8112356618443,15.6134710723559,106.011325,146.871975,226.878,238.276825
"ZNF673",0.188454632646333,170.091335849057,188.526066666667,7.39424948298609,13.1176943075594,121.97005,127.5287,205.48445,223.47965
"ZNF41",0.847412927132076,302.269294339623,297.171014814815,17.2669005059349,14.9156474786264,194.97445,217.81775,354.13495,348.88205
"ZNF7",0.707866781812746,497.883369811321,509.734033333333,16.265330363069,30.6485198360194,374.53365,351.9043,589.045075,647.966725
"ZNF214",0.819266943146919,29.7058943396226,30.7620574074074,2.80957977227836,3.37058883262562,14.01175,10.570225,38.753825,41.95725
"ZNF215",0.437945338459313,70.0223424528302,61.8633074074074,6.38578395115933,7.67027612874445,14.982225,9.338975,108.8694,96.357825
"ZNF547",0.559985502865219,45.6907764150943,43.0369814814815,2.67617360607287,3.59399310656288,28.21315,24.432475,58.848275,63.1759
"ZNF773",0.403563238373892,68.6359349056604,74.5770407407407,3.91551279477157,6.3055851070181,40.1402,38.622525,91.21475,106.2965
"ZNF776",0.340337426632624,393.754359433962,419.627681481481,15.9421480709532,21.3794796848868,270.5481,276.226975,467.750625,520.663475
"ZNF256",0.493846597963775,73.7433679245283,65.7921296296296,7.0432810198786,8.51878065043718,15.219325,15.724325,106.05775,92.823725
"ZNF599",0.343151799217881,74.0148783018868,66.686612962963,4.89552139830218,4.91126038563422,43.3219,37.476875,94.147725,90.589875
"ZNF18",0.923530798929949,176.727200943396,175.558644444444,6.37749446921268,11.5588962814045,130.974775,126.638325,212.667025,205.4337
"ZKSCAN2",0.784945099786315,156.602329245283,160.289059259259,8.01918799457792,10.4494742275394,92.596,111.6686,186.63065,177.019
"ZNF689",0.555453833514158,191.141558490566,181.96717037037,9.09102023851981,12.439625093692,132.441725,125.67115,221.63385,213.242425
"ZNF19",0.0064615917617209,42.3824216981132,52.7419,1.89475658279119,3.72297287508,28.318925,30.389575,54.246825,68.711775
"ZNF230",0.763500319640067,75.6118849056604,73.8776277777778,3.36551798964646,4.61930597375,49.163375,51.487575,89.0853,86.98085
"ZNF222",0.516806639461488,28.0639254716981,29.7754518518519,1.43088104032943,2.39629847909367,18.44805,14.147775,34.1128,38.4655
"ZNF221",0.737393118056224,31.4434811320755,29.8669759259259,2.72185441556608,3.83333892204035,13.301025,8.37155,41.8037,40.08325
"ZNF233",0.542902011065818,28.1147075471698,30.7583092592593,2.5545563939604,3.42722540515571,12.7833,11.2202,33.750325,41.85455
"ZNF235",0.987991572288154,83.5580726415094,83.4493814814815,4.12761997970021,6.03464698918227,55.1133,52.980625,102.8832,113.92625
"ZNF208",0.512666665252861,42.0325320754717,29.0482759259259,13.3267531628846,9.09128167108145,3.35055,3.379625,22.52485,22.421625
"ZNF714",0.613053739846971,353.901131132075,374.105062962963,21.6240022783757,36.3497041314151,169.2994,193.47515,499.028975,537.611775
"ZNF394",0.614263483726656,544.85505,583.834525925926,34.5319696472852,84.4362386893592,361.67995,381.914225,587.38585,581.281225
"ZNF333",0.370526915816598,169.756959433962,158.294622222222,7.81480891498449,9.17868783562602,119.7525,110.614525,215.711575,194.951975
"ZNF382",0.922698395848282,27.4220773584906,26.8415537037037,3.66658227485794,4.26396006250014,7.24555,11.383825,27.8902,27.49425
"ZNF577",0.233745596811365,87.5803518867925,105.922918518519,8.30097333747367,14.0387815492868,31.2517,46.243775,115.811925,139.91495
"ZNF75A",0.366986020942342,223.564301886792,244.730575925926,13.5136080696709,19.256210640784,127.843475,152.7066,302.38735,283.5792
"ZNF496",0.251698043590071,452.15340754717,408.784477777778,24.6715461766832,20.9657052453683,288.398875,302.828725,525.21375,462.242775
"ZNF2",0.500520484276372,111.322046226415,107.114514814815,3.35892205193646,5.7281722458546,85.559525,83.353025,126.827,123.792525
"ZNF589",0.488682688800555,282.859776415094,263.977425925926,17.310148074555,17.2234292511418,182.91965,167.47045,339.8105,304.59495
"PRDM9",0.183523220834703,2.49796509433962,0.652216666666667,0.978274993184117,0.220900085900241,0,0,0.46035,0.3516
"ZNF12",0.926721516148741,1018.78480188679,1012.79548333333,37.1030364920971,54.7312619201169,746.187475,674.6488,1263.9118,1271.0361
"ZNF202",0.984476900111186,270.878466037736,270.5569,9.09383928617766,14.7028057044482,209.74625,201.558875,325.51935,297.695775
"ZNF3",0.401626669496324,811.302328301887,750.430661111111,47.2471955393864,40.8163195952935,512.784475,557.080375,953.57705,863.226975
"ZNF606",0.599236906548684,176.968721698113,189.668601851852,13.5738954476053,20.7926585206578,81.740275,73.63125,264.2116,279.968025
"ZNF91",0.327093193378119,459.295304716981,519.584812962963,35.7518757990813,49.5775576217937,185.931775,220.26565,622.798625,819.68855
"ZNF226",0.314803237267236,205.598997169811,223.338433333333,9.823523395753,15.3593643053857,137.007525,147.363775,235.702875,271.035025
"ZNF229",0.532614014832898,62.7273688679245,76.6006981481482,11.9691359405157,20.365959420519,5.90245,6.98045,47.43525,58.723225
"ZNF180",0.0849435780022488,183.628435849057,205.79687962963,6.7218738172137,12.1345450639367,137.727225,152.7311,209.621925,235.159825
"ZNF641",0.567939378601301,184.935411320755,177.461346296296,7.98921246736821,9.41498669653685,138.1668,131.991375,217.3363,212.947625
"ZNF610",0.304579778010261,16.1494075471698,20.2911925925926,2.32149201949519,3.31300405316297,3.704725,5.39445,17.47685,23.6525
"ZNF528",0.203377066299562,135.147614150943,98.6680814814815,19.0668961655481,14.0427715403518,28.38965,30.731925,134.620075,123.773225
"ZNF701",0.0218842785086274,94.5080301886792,126.659025925926,7.93656349271418,11.6571779037951,35.57525,50.03235,133.11175,175.345725
"ZNF283",0.967363483075886,77.7175462264151,77.4510462962963,3.99155545495697,4.64380291320138,51.9851,53.125325,88.25495,100.571175
"ZNF558",0.607345389547182,399.720531132075,382.658612962963,17.6589067186182,30.9180161399975,283.6562,230.913075,500.3561,448.266725
"ZNF597",0.912475528550421,60.9755783018868,61.7079277777778,3.5507110579218,6.19399751057386,35.5717,24.03845,80.6233,92.577175
"ZNF30",0.0563036533477412,76.5099547169811,98.3779055555556,4.42769449250751,13.3871241170082,47.790675,49.34335,95.6816,113.4788
"ZNF354A",0.999845152359176,279.124268867925,279.118342592593,18.8756124099252,21.2188833442705,169.062,174.736025,316.838175,354.005275
"ZNF764",0.4865339701984,204.582253773585,191.817137037037,9.42326114007611,17.7828608913192,145.1946,129.22235,226.739325,206.344
"ZNF747",0.459361847649005,212.772341509434,201.968201851852,8.82689530103093,10.7730869721042,146.524275,153.5583,269.700425,257.387275
"ZNF778",0.846096007441959,102.221083018868,103.704764814815,4.62840690442936,5.63104874996111,68.319975,76.1114,124.864175,121.586425
