"gene","T2-T1","T3-T1","T3-T2","T4-T1","T4-T2","T4-T3","TX-T1","TX-T2","TX-T3","TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX"
"ZNF416",0.254017139862994,0.00630849783600873,0.271146580758622,0.963499220407493,0.887094881278678,0.263599601524734,0.99998015531651,0.3876977348259,0.0353691511325573,0.960273102811481,181.61922,124.952764285714,91.3205611111111,156.006966666667,185.329866666667,31.9480699146819,15.0387903340676,7.32814705177678,59.4333830215627,32.6958048143455,181.2213,82.39175,55.29535,97.45785,160.7721,230.3327,151.778325,110.42345,194.1272,216.3023
"ZNF586",0.735558572182478,0.984737126810441,0.728890358461638,0.389826323152181,0.831331275929481,0.406849748430858,0.999202593526589,0.701799214962748,0.953277296756076,0.373661081960355,168.70564,226.488335714286,191.2303,286.794033333333,152.654633333333,27.4279707491932,30.7454309880679,13.0976895807329,88.1994634801772,34.9863603281018,140.7571,179.95275,137.3465,213.3698,121.96155,204.5784,262.593875,229.15715,365.8266,182.5437
"ZNF446",0.994886006454755,0.987292862129104,0.999970668022041,0.745526799206344,0.821784728916893,0.818171844502113,0.997669886168772,0.999998921724428,0.999999999589316,0.930578776964514,161.1847,187.773728571429,192.120183333333,276.362633333333,191.613633333333,14.2387846476797,17.3926859696652,25.6251652529276,80.886661385347,65.0574056482512,150.6413,155.596625,136.75705,200.13075,127.6298,181.715,202.26195,198.437475,337.89895,233.79875
"ZNF8",0.4316371444187,0.693724381606823,0.904841144620919,0.0517587866483747,0.376689632590829,0.136616402426559,0.886196591658066,0.996853940928449,0.999982496457573,0.453423671758903,155.12738,257.050107142857,225.659427777778,388.3903,232.026533333333,19.4255604307932,18.8813890225254,18.9885225583541,167.679983805651,71.7649889824728,126.9031,205.237475,137.233625,220.98645,160.54835,189.0702,316.118425,279.159775,480.42265,273.3165
"ZNF264",0.427369851172521,0.999967910162742,0.0683530174657305,0.248611538756015,0.871470348204675,0.123310673477656,0.999985920824839,0.685316146923696,0.999999953929386,0.400798525647952,937.6227,1348.91275714286,961.277555555556,1628.60176666667,967.067,125.107328939419,94.5869127812795,77.2340821630172,500.953157849212,357.362684960256,843.8074,1081.818825,632.236,1164.5208,618.44025,1184.7285,1537.15515,1342.810675,2024.0044,1209.3922
"ZNF213",0.999999823288841,0.994232236340544,0.963834107368,0.975501614194504,0.954406491596374,0.99442635183209,0.999981635681354,0.999988380746364,0.992327370615426,0.972097649135164,801.17088,804.869314285714,754.705780555556,696.720133333333,817.740066666667,94.4933147582378,72.3144988508999,39.9907893274697,79.5798441444468,106.367831151784,669.2393,586.971675,599.62355,652.69135,723.00325,935.8022,989.65285,915.787425,776.1437,906.9927
"ZNF343",0.999240113531697,0.909971380326279,0.89323430407,0.288713043097687,0.244502651215392,0.428175491220016,0.890052124007539,0.91246544656629,0.992793731858097,0.874502213048976,268.17108,279.269992857143,304.584747222222,396.4186,327.401566666667,35.9655444038513,24.9210949509492,14.8207650556889,48.6723897108343,41.530407867663,220.1397,217.923825,251.285175,352.38295,301.60585,286.8024,321.606375,353.210875,436.39185,368.4866
"ZNF302",0.424646771001204,0.713182344212311,0.878571774474139,0.886128237384881,0.996506874690921,0.999953434230359,0.344495268110016,0.948158298717622,0.710820538770284,0.914697681053623,246.26868,434.336128571429,372.310538888889,387.223033333333,531.5072,26.7417761966067,60.5940843914519,31.8475863436712,50.159309740477,278.041076026409,211.9955,315.5584,227.0504,341.14795,257.1056,263.958,482.4585,482.022125,427.4298,707.54035
"ZNF268",0.998655980825612,0.999977874781486,0.997935682190572,0.998541534612459,0.98112368707695,0.993123703251471,0.982908132535913,0.915095177804683,0.947939650268781,0.999383241524712,398.67784,426.878307142857,407.853988888889,358.3154,322.053533333333,35.0364397777314,61.9501882166042,30.9995763412284,65.845398349872,166.75471980728,356.9851,301.595775,314.3902,314.0607,183.3149,434.8862,552.4228,506.482625,422.6666,471.5418
"ZNF184",0.562219893376145,0.834469979074276,0.890544715736722,0.992576959214746,0.946388366966619,0.998099281207182,0.973346250135527,0.983074159169058,0.999984849468198,0.999858102150574,177.86394,262.597942857143,231.551369444444,211.873933333333,225.732933333333,16.6835588236024,25.2429069292867,20.3295429524401,11.2726129620027,38.7497203603386,155.6932,208.1765,156.9541,201.2415,194.943,187.4764,310.4456,274.8771,220.4332,261.5029
