"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF417",0.908580403227139,240.48397826087,244.426441891892,33.0061059283095,12.5057466816799,141.35825,144.187025,260.31725,290.8892,285.962236363636,242.937208152174,264.5349,213.33145,229.04165,345.90885,139.65185,287.058275,29.5873442471432,12.0525534081095,0.849542971972178,0.806439717405908,-0.23524117057005,-0.310361401122087,"ESCA"
"ZNF791",0.657000031558749,345.774160869565,359.607531081081,25.7104057198873,11.5826999493852,274.9401,259.885525,370.31285,438.186525,409.982690909091,354.956289130435,394.4198,332.5408,327.68115,492.90725,258.89085,425.954925,31.156245132722,10.0520506526866,0.865783597701061,0.843113859902571,-0.207921625983538,-0.246200619088274,"ESCA"
"ZNF519",0.146321876697149,54.4112565217391,71.1452202702703,6.90507424618226,4.38437296444916,28.6945,37.3162,67.3875,95.971525,33.5337272727273,67.1058260869565,32.0326,53.76695,26.515,42.0877,36.0714,90.450825,4.73814492896056,3.68714654543157,2.00114426711919,1.67850720828156,1.00082517821558,0.74717873264448,"ESCA"
"ZNF25",0.631639629336148,185.42332173913,196.312089864865,16.4910727068031,8.55292157887764,116.72345,116.171775,254.2547,260.732625,438.688372727273,195.514735326087,291.8919,168.77405,233.92075,571.25265,116.171775,258.487375,90.6906643646252,7.91452287491617,0.445680231072904,0.578207377457202,-1.16591912578247,-0.790341078336289,"ESCA"
"ZNF77",0.675370003949205,85.5395826086957,89.6840824324324,7.42525745616288,3.71612094957652,65.6427,60.79015,93.3265,108.385875,79.8217545454545,88.1839570652174,78.3784,77.74875,59.9566,96.1899,61.8837,105.3673,9.41681876596206,3.16208058394366,1.10476094602758,0.991966536698886,0.14373422546149,-0.0116366417680146,"ESCA"
"ZNF169",0.850516990651764,108.513430434783,110.933118918919,9.67044071229524,4.82058135203666,74.47575,65.9859,145.6688,142.6918,101.804763636364,107.839064673913,95.2801,95.0268,70.40025,116.3099,65.45595,138.985175,15.5161613034238,4.14799904808406,1.05927326798875,0.997341522521492,0.0830748192784308,-0.00384047945352042,"ESCA"
"ZNF613",0.872531972484176,80.2512260869565,82.3306067567568,10.0685641055651,4.85146988521879,58.53285,45.70155,101.02075,106.37625,91.7629181818182,83.7677875,102.0926,72.85205,70.77915,105.58125,43.357275,103.874725,8.86806288720493,5.03665723464031,0.912871878529662,0.71358795838288,-0.13151570256443,-0.48683682453929,"ESCA"
"ZNF404",0.799650394898948,35.531952173913,37.5516506756757,5.43486814914326,3.01242264651492,17.2396,15.253575,43.3038,43.081925,71.9516636363636,36.2691461956522,80.5661,23.7173,60.01175,85.44805,15.1015,43.081925,9.95711895425281,2.55603188072896,0.504076547541037,0.294383121436932,-0.988285261217175,-1.76423313856478,"ESCA"
"ZNF135",0.537282370596067,26.9160956521739,35.753402027027,10.8541448297376,5.37221089278918,7.73275,9.116875,19.82015,36.2658,108.672709090909,35.1461293478261,62.5,16.68315,55.7961,163.8763,8.34875,33.98365,21.4534473832294,4.76666117424817,0.323412654767122,0.2669304,-1.62855196396515,-1.90546447531338,"ESCA"
"ZNF620",0.23092855021008,50.7200782608696,63.938397972973,7.19139290780755,4.18185814624754,23.73935,24.204,71.05285,94.7914,75.0419818181818,62.4222527173913,92.0543,46.83695,56.44265,98.47035,23.428225,92.048625,9.77875657150203,3.98822398499102,0.831831079150246,0.508796981781405,-0.265637506442763,-0.974837982405649,"ESCA"
"ZNF619",0.359943056973474,69.9972347826087,78.2196966216216,6.84749883599818,3.36391861671405,56.7881,48.69195,78.2239,100.769025,90.1420727272727,77.8812173913043,96.8992,67.9281,68.85435,106.1173,49.35555,99.17165,7.3406032090891,3.06306794259252,0.863982988575557,0.701018171460652,-0.210925188215393,-0.512476253309969,"ESCA"
"ZNF354C",0.629944902755092,33.3461347826087,38.4656121621622,9.32109727503031,3.92101792403971,9.0076,8.021275,36.6162,48.2553,76.2406636363636,38.4848592391304,63.964,20.93675,45.5936,98.1506,8.021275,48.2553,15.3966564461797,3.51019452515102,0.504781272926574,0.327320836720655,-0.986269706668962,-1.61122264992382,"ESCA"
"ZNF114",0.210142619221138,31.8607913043478,58.1426709459459,8.21551193839782,8.11953702449567,3.4622,3.831125,54.1051,78.091275,4.1652,59.0151885869565,1.9023,22.83375,0.7041,3.28935,3.831125,77.1174,2.43938759263281,7.56861727507695,14.1686326195516,12.0032329285602,3.82462862885397,3.58535112587372,"ESCA"
"ZNF454",0.859106282259888,8.93960869565217,8.54108648648649,2.89706413439041,0.762761095328809,1.76065,2.149,8.41735,11.439025,28.9314727272727,8.51490326086956,24.7031,4.9805,13.58635,35.03685,2.126525,10.45955,6.8625299343489,0.73602711466989,0.294312817779333,0.20161437228526,-1.76457771963592,-2.3103296084027,"ESCA"
"ZNF543",0.644725342691133,206.122765217391,197.683120945946,17.2405635669439,6.68612774604147,154.60275,144.613775,269.0902,247.30775,186.638718181818,198.071845652174,176.2431,183.29155,144.2091,235.8596,143.925525,248.522,18.3079292518238,6.08895101257876,1.06125806896733,1.03999277134821,0.0857755229325151,0.0565735006968186,"ESCA"
