"gene","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Locoregional Recurrence","mean-Distant Metastasis","mean-Locoregional Recurrence","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Locoregional Recurrence","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Locoregional Recurrence","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Locoregional Recurrence","Q3-New Primary Tumor","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF777",0.828266324539663,0.998268377222167,0.925052338997876,553.259925,696.036685714286,574.05385,107.654160666827,127.923784060171,0.874549999999999,430.9687,415.16675,573.616575,593.592725,763.99015,574.491125,535.475290909091,606.97557173913,520.9945,557.53145,471.08975,602.2102,434.8759,733.461375,29.2850388462295,18.5620875795187,1.13352676032661,1.07012924320698,0.180818450659441,0.0977850464149339,"ESCA"
"ZNF605",0.924508309372967,0.898821466386902,0.714430486746614,495.8751,563.355514285714,375.60455,111.694900388805,89.4982458210448,194.58215,321.639975,268.8105,278.313475,626.107375,835.132125,472.895625,486.591963636364,382.3721125,449.5495,327.4439,405.959,562.5947,188.052475,493.769775,44.6553289378267,20.6872639306509,0.785816743956239,0.728382302727508,-0.347735186233967,-0.457232224848047,"ESCA"
"ZNF799",0.154268893313321,0.419291255901752,0.999905026194119,111.50905,60.0829857142857,59.6224,41.8209709732948,9.26436144192829,3.6,68.5729,39.7891,57.8224,118.39245,69.7665,61.4224,55.1607090909091,67.6116597826087,53.5215,55.57315,50.72585,58.41025,38.971,86.5458,2.75558433395481,3.04151980728795,1.22572136756218,1.03833319320273,0.29363106114755,0.0542694678259657,"ESCA"
"ZNF782",0.98318977131278,0.695901280001233,0.54397024121968,97.397625,92.5092142857143,132.30815,27.2125664146296,12.7878246841698,34.70865,55.763025,63.14725,114.953825,128.21415,110.6439,149.662475,93.2714545454545,82.2897913043478,96.8992,72.9946,68.8133,114.9835,54.7633,97.939475,8.94152222675315,3.12692153755314,0.882261263163265,0.753304464845943,-0.180722151966731,-0.408695014658066,"ESCA"
"ZNF846",0.183708324151674,0.888480101228327,0.674928371685838,59.94835,131.643385714286,87.46495,18.0415640438729,20.2395540144661,21.98875,36.71505,79.497975,76.470575,72.7051,169.38215,98.459325,118.310681818182,82.9397755434783,131.7365,68.89415,81.59105,147.99125,46.4402,110.764075,11.9817586123226,3.63711381689003,0.701033704386379,0.522969336516455,-0.512444286910859,-0.935201736087298,"ESCA"
"ZNF136",0.265828222605253,0.5125449823292,0.996838242751373,138.500475,206.199957142857,210.4318,23.2571586552892,21.7683260029809,1.4029,105.07545,121.62255,209.73035,161.549425,277.951725,211.13325,239.502709090909,182.285404891304,237.2582,175.20015,202.4222,299.7939,119.08295,225.199325,26.1370311384944,5.84860447696619,0.761099553250204,0.73843664834345,-0.393842921596446,-0.437453939694422,"ESCA"
"ZKSCAN5",0.822895470148112,0.991841168780768,0.948878797697723,430.022225,728.338014285714,522.8914,104.814365121425,267.055390016344,137.3872,266.860225,362.220925,454.1978,547.3827,650.395375,591.585,310.569827272727,440.9666125,321.8604,366.96355,265.3908,346.533,295.347575,450.7901,18.0608423337194,26.5423336858436,1.41986301880113,1.14013264757019,0.505751752526585,0.189201683038168,"ESCA"
"ZNF33B",0.165011489724463,0.663105518048757,0.902021812813535,801.2257,595.757264285714,657.8498,124.437699979635,47.4841863867094,80.9457,699.612025,460.770775,617.37695,901.343925,679.602675,698.32265,1135.62341818182,703.738707065217,1070.0967,621.27565,810.9185,1465.56425,486.03055,855.590325,157.716278122531,24.3307971566922,0.619693725752797,0.580578979451109,-0.69037273343785,-0.784435756458153,"ESCA"
"ZNF431",0.587138763106223,0.969728493213223,0.882140996395955,186.6694,404.829642857143,265.47585,20.3101685557178,117.296406408444,73.94925,162.898375,226.8288,228.501225,207.759675,395.54895,302.450475,331.905581818182,287.539647282609,258.5738,236.959,209.1736,294.2443,169.685025,334.852975,97.2625432285858,16.081227094369,0.866329652268768,0.916407617477099,-0.207011996958995,-0.125938644046214,"ESCA"
"ZNF418",0.99294511796238,0.892118347047238,0.817615556576565,50.348175,55.3800571428571,19.3794,38.0755783433724,21.7741744009993,16.5783,10.71085,5.47915,11.09025,56.774175,53.856625,27.66855,80.0539545454545,36.7745543478261,81.5666,13.4662,58.4317,100.4557,5.732425,37.2139,9.98299495978822,4.30006819962443,0.459372114177639,0.165094536244002,-1.12226481317957,-2.59863571942188,"ESCA"
