"gene","G2-G1","G3-G1","G3-G2","GX-G1","GX-G2","GX-G3"
"ZNF283",0.978659498000681,0.898432303300703,0.410407023544915,0.353884598646071,0.0223803991641798,0.607578121231205
"ZNF558",0.900661332502769,0.831504527827306,0.991216123288341,0.140777605992798,0.135554171616976,0.334576201919669
"ZNF597",0.74750040072609,0.673051222578006,0.992795633891056,0.0322156194097516,0.0460998323048284,0.154410479630263
"ZNF30",0.424302716567051,0.148032170261893,0.738759491637962,0.606856943964588,0.994125286288752,0.679016129690733
"ZNF354A",0.565053719546451,0.665406046002964,0.999538623246156,0.443581410297344,0.975090389434143,0.965555094394963
"ZNF764",0.145745369145663,0.262034486453689,0.994987161275056,0.0873890073428096,0.943405490980094,0.891793842022704
"ZNF747",0.278557527619973,0.896703518927732,0.487457278964665,0.933105206277073,0.423742500257539,0.999321844913114
"ZNF778",0.788969477489535,0.3765023662339,0.706827083365315,0.256386362327458,0.494179101179499,0.98806365244486
"ZNF212",0.606755262927854,0.882744388790195,0.929839784922676,0.167157619530286,0.543433463065816,0.315890496357353
"ZNF282",0.0116685831435567,0.0224573284577654,0.999990941269272,0.00356748056750122,0.824460012975622,0.856111487914153
"ZNF160",0.758629804260759,0.173401512465984,0.358262546033283,0.690472509148003,0.993020993828409,0.633362944023251
"ZNF415",0.984115444370809,0.883310846366274,0.408980515257961,0.999986558683811,0.973637863379302,0.765214491308575
"ZNF439",0.565335817149339,0.613214133722756,0.999999324165603,0.980440826146444,0.647843327413772,0.717233828431137
"ZNF440",0.633800115733857,0.987098592242247,0.157211792148997,0.47409577014491,0.960955082072369,0.108514425835368
"ZNF562",0.700497335828622,0.371894489807487,0.817048548318011,0.93168764455102,0.103012333469955,0.0274822055076039
"ZNF561",0.949909143647713,0.698804843758095,0.101242719420552,0.906743638617343,0.994192971625018,0.117011764712171
"ZNF584",0.42337582377969,0.553246293167403,0.998483042931012,0.504191208587003,0.99999421206448,0.999397677211403
"ZNF274",0.959543437688978,0.995985769650141,0.748897860695621,0.991534077478993,0.705806091527073,0.999770157752674
"ZIK1",0.996700757783769,0.349199354344951,0.150819559018866,0.954074922375175,0.966121829694435,0.48015603393507
"ZNF540",0.224791231673476,0.418248178389397,0.982236851887131,0.98404422409903,0.182648793673449,0.448480376049217
"ZNF570",0.335852282513815,0.959001252315633,0.404881270710644,0.998940862062749,0.0742149048507166,0.846285159776154
"ZNF57",0.878848239915251,0.968618798042353,0.985142224436715,0.75385084106438,0.0791822326039197,0.254735190696452
"ZNF556",0.941105906262796,0.970708213098976,0.999240380342741,0.9887254320876,0.99084789551118,0.998706304987503
