"gene","T1-T0","T2-T0","T2-T1","T3-T0","T3-T1","T3-T2","T4-T0","T4-T1","T4-T2","T4-T3","T4a-T0","T4a-T1","T4a-T2","T4a-T3","T4a-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4a","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4a","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4a","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4a"
"ZNF790",0.999999821600309,0.907850275317263,0.0194704696887826,0.995235514992599,0.359058322505819,0.424198217273004,0.973388439926811,0.767896408841732,0.999982655266347,0.993420113640664,0.97035647209338,0.921034861801842,0.999946933752113,0.992238886568733,0.999818391945902,35.0284,32.6260233333333,72.2910916666667,53.6639746987952,67.949125,82.7549,25.5187,6.31186412455309,9.42625943350385,5.74221140539324,9.40619007244476,NA,22.26905,10.138125,30.6292,18.373,51.928475,82.7549,47.78775,37.115125,97.78805,72.4128,83.324,82.7549
"ZNF677",0.999914302943173,0.949514342760391,0.388982038787205,0.985808041490982,0.70242165019348,0.957117650780508,0.997303994162805,0.997876264846965,0.997378988016893,0.999991904440504,0.914901601274228,0.90004685629953,0.992058783602061,0.974293883363258,0.975876092885213,4.2958,6.87481666666667,14.2615083333333,11.6286373493976,10.505025,23.4109,2.5127,2.19022804282228,2.9556852598871,1.74364496312827,3.22397483715754,NA,3.03945,2.674575,2.38825,2.7522,7.626375,23.4109,5.55215,6.377925,17.7939,14.59235,13.89755,23.4109
"ZNF823",0.999999613466345,0.991890874432001,0.669832568230428,0.958415631410814,0.109783623905128,0.945716476464797,0.778242423190599,0.331327639233835,0.75725280459366,0.904580268144703,0.936756495434185,0.891957802033826,0.9804321038675,0.994543534251214,0.999999999993634,205.48775,201.040833333333,171.860955555556,157.636955421687,115.6296,114.8768,102.38745,16.4643040481852,13.2693550020018,8.21232042892247,9.30808335417842,NA,154.294025,146.435725,117.624775,103.4449,99.848975,114.8768,256.681475,225.191125,199.70325,196.27705,129.820825,114.8768
"ZNF311",0.993043321937151,0.94348200496716,0.916780416937895,0.8605922581676,0.397907977241071,0.966753484174152,0.674565753125327,0.574229709279224,0.843225155355321,0.944007746900571,0.999908337159988,0.999995057936003,0.999044322514238,0.994658019220313,0.946721615185601,2.87725,17.7626,26.6782944444444,32.441956626506,49.174975,13.0666,0.68885,4.83244132457615,4.00865516060362,4.69343692535448,18.2486290154619,NA,2.532825,1.22395,7.63575,5.056,22.126025,13.0666,3.221675,19.44715,42.4444,47.9125,77.69025,13.0666
"ZNF347",0.998069092331704,0.940244283872061,0.705218943282634,0.966259294987549,0.824378219298479,0.997049741103261,0.978986895348846,0.992041512525413,0.999999370732149,0.999998806851362,0.831188390113843,0.860143206217807,0.966867520585115,0.945665402894555,0.972646865101857,27.62505,56.47022,88.9584666666667,80.3435096385542,84.86415,163.332,5.93115,20.2616568689619,13.948126525238,9.72587983471446,29.8616094115979,NA,24.659475,12.417225,22.195325,20.547,41.653075,163.332,30.590625,48.592075,142.510775,99.51935,116.289025,163.332
"ZNF273",0.998492023004392,0.854176027359656,0.24239905930733,0.947170869483147,0.598752407449026,0.910761212006007,0.999997168699555,0.999009685278386,0.719237823236403,0.897379560043647,0.999994182524151,0.997534178580001,0.91968045347968,0.967462781926835,0.999902233140636,110.433,156.43771,240.159630555556,208.883586746988,125.70475,85.4771,31.0868,12.959284911422,34.5508373169957,16.6606553371876,14.6283739113125,NA,94.8896,92.306975,124.9389,111.9487,103.0961,85.4771,125.9764,208.919675,258.8389,255.353,148.17675,85.4771
"ZNF84",0.999950998672548,0.999999969951145,0.997220265741205,0.999575209644646,0.49594059250046,0.784753754332587,0.999241890528889,0.999673683230012,0.995298551583735,0.902685363589171,0.999434953345113,0.999845221323667,0.999064965333091,0.988457403429446,0.99999909744647,546.7212,493.362923333333,534.684836111111,627.786738554217,436.22575,399.6189,239.6087,39.1366560667396,56.7570706636153,45.0101061066184,48.5237792979294,NA,426.91685,365.324125,340.84415,391.37525,370.230875,399.6189,666.52555,597.52595,679.119825,761.62735,467.891425,399.6189
"ZNF667",0.999999999999479,0.978530456734504,0.268791445123764,0.990469523146721,0.317442283609271,0.997144982089699,0.999335911990247,0.992811141374606,0.998064895034674,0.999830034029875,0.977829201387348,0.949748304475658,0.999160878612726,0.997413707128499,0.994760797608384,7.5378,7.40122,26.1825472222222,22.8764746987952,18.134725,39.1997,2.1886,1.28249580767301,6.46879735021883,4.42127952597063,6.24539481970182,NA,6.4435,3.7997,4.0245,3.969,12.22245,39.1997,8.6321,8.275825,19.230625,19.74185,19.979675,39.1997
"ZNF649",0.241683120514435,0.294799762887017,0.999268784741862,0.288486952735296,0.996925698348488,0.999999746947732,0.622242036601444,0.996869917849294,0.999567776289013,0.999676409819715,0.936291226815878,0.997506233627905,0.999074504435267,0.999202091008129,0.999968207126357,308.6535,127.64739,137.452658333333,139.03896626506,156.2193,179.6652,60.1429,18.9204771829489,14.4364200967676,13.8214736845867,34.104623432437,NA,278.58205,46.5273,63.52995,57.72285,103.665625,179.6652,338.72495,203.97895,194.077875,174.905,197.940575,179.6652
"ZNF248",0.998839996206112,0.991871510963061,0.9925896990376,0.927251043810504,0.392957202947313,0.761813832566591,0.999966721526213,0.999917513267191,0.996197268329734,0.905418854888666,0.999999983334192,0.999485580034669,0.997124053417396,0.976765847122626,0.99996446973635,206.8822,240.637873333333,257.531386111111,289.396189156627,226.3008,200.8983,10.6512,22.5424878128472,12.4198058969069,14.7347425680493,33.0096625141286,NA,201.5566,165.0086,189.976275,183.3574,178.62795,200.8983,212.2078,256.590275,318.697775,380.1902,255.26005,200.8983
